section,arm,gene,role,cell_type,n,pct_pos,mean_counts,pct_pos_senders,pct_pos_nonsenders,enrich,on_panel
sbr,SBR,Ackr3,receptor,B-cells,772,0.259,0.0039,,0.264,,True
sbr,SBR,Ackr3,receptor,Biliary/ductular,32804,0.171,0.0018,0.18,0.171,1.055,True
sbr,SBR,Ackr3,receptor,DC,2767,0.325,0.0033,0.0,0.333,0.0,True
sbr,SBR,Ackr3,receptor,Hepatic stellate cells,15119,0.668,0.0074,0.573,0.67,0.855,True
sbr,SBR,Ackr3,receptor,Hepatocytes,30103,0.246,0.0026,0.31,0.239,1.298,True
sbr,SBR,Ackr3,receptor,Kupffer cells,13212,0.288,0.003,1.034,0.265,3.899,True
sbr,SBR,Ackr3,receptor,LSECs,12963,0.987,0.0105,0.842,0.996,0.845,True
sbr,SBR,Ackr3,receptor,Proliferating,674,0.148,0.0015,0.0,0.184,0.0,True
sbr,SBR,Ackr3,receptor,T/NK cells,6307,0.254,0.0029,0.781,0.243,3.218,True
sbr,SBR,Ccl2,ligand,B-cells,772,1.554,0.0181,,1.585,,True
sbr,SBR,Ccl2,ligand,Biliary/ductular,32804,6.033,0.1172,7.554,6.007,1.258,True
sbr,SBR,Ccl2,ligand,DC,2767,3.614,0.0542,6.557,3.548,1.848,True
sbr,SBR,Ccl2,ligand,Hepatic stellate cells,15119,7.123,0.1431,10.315,7.048,1.464,True
sbr,SBR,Ccl2,ligand,Hepatocytes,30103,2.498,0.0344,3.964,2.342,1.693,True
sbr,SBR,Ccl2,ligand,Kupffer cells,13212,5.828,0.0838,8.527,5.747,1.484,True
sbr,SBR,Ccl2,ligand,LSECs,12963,2.499,0.0328,3.226,2.457,1.313,True
sbr,SBR,Ccl2,ligand,Proliferating,674,3.116,0.0549,5.385,2.574,2.092,True
sbr,SBR,Ccl2,ligand,T/NK cells,6307,4.265,0.0701,10.938,4.127,2.65,True
sbr,SBR,Ccr2,receptor,B-cells,772,3.886,0.0427,,3.567,,True
sbr,SBR,Ccr2,receptor,Biliary/ductular,32804,0.783,0.0084,0.719,0.785,0.917,True
sbr,SBR,Ccr2,receptor,DC,2767,16.227,0.2114,21.311,16.112,1.323,True
