tile,pair,role,det_pct,trimean_max,truncmean_max,mean_max,n_types_trimean_zero,n_types
7259_t0,Ccl2->Ccr2,ligand,4.62,0.0,0.0,0.06733741798031498,9,9
7259_t0,Ccl2->Ccr2,receptor,2.82,0.0,0.03335486594520321,0.12608241899447006,9,9
7259_t0,Tnf->Tnfrsf1a/1b,ligand,1.13,0.0,0.0,0.061435278494593126,9,9
7259_t0,Tnf->Tnfrsf1a/1b,receptor,51.07,0.44573812186717987,0.3904288429520185,0.4802075577976095,1,9
7259_t0,Tgfb1->Tgfbr1/2,ligand,7.87,0.0,0.04121026617310107,0.12853681312666998,9,9
7259_t0,Tgfb1->Tgfbr1/2,receptor,35.71,0.3091193735599518,0.28605308878559826,0.39632953537835014,1,9
7259_t0,Il1a->Il1r1,ligand,2.75,0.0,0.0027840175550349435,0.07098178739226706,9,9
7259_t0,Il1a->Il1r1,receptor,16.12,0.028313051909208298,0.052111482667957676,0.143066036697299,7,9
7259_t1,Ccl2->Ccr2,ligand,4.95,0.0,0.0,0.06457897617804761,9,9
7259_t1,Ccl2->Ccr2,receptor,1.99,0.0,0.027109068744587447,0.11934381137459965,9,9
7259_t1,Tnf->Tnfrsf1a/1b,ligand,1.13,0.0,0.0,0.03410425486090856,9,9
7259_t1,Tnf->Tnfrsf1a/1b,receptor,49.54,0.4714914858341217,0.4059526288772752,0.5008190763461126,0,9
7259_t1,Tgfb1->Tgfbr1/2,ligand,6.03,0.0,0.012563805177420579,0.09052579606766309,9,9
7259_t1,Tgfb1->Tgfbr1/2,receptor,32.32,0.3904775232076645,0.32250182118349285,0.4214392830412109,1,9
7259_t1,Il1a->Il1r1,ligand,2.24,0.0,0.0,0.05633744852805855,9,9
7259_t1,Il1a->Il1r1,receptor,15.12,0.029131389688700438,0.06168792024518817,0.15622394656458374,8,9
7259_t2,Ccl2->Ccr2,ligand,3.93,0.0,0.0,0.05888292100742642,9,9
7259_t2,Ccl2->Ccr2,receptor,2.36,0.0,0.03352597039102932,0.13083106162755387,9,9
7259_t2,Tnf->Tnfrsf1a/1b,ligand,1.14,0.0,0.0,0.03375791220644557,9,9
7259_t2,Tnf->Tnfrsf1a/1b,receptor,44.08,0.43214621022343636,0.358862245006369,0.452124291323986,0,9
7259_t2,Tgfb1->Tgfbr1/2,ligand,7.01,0.0,0.025310972141563345,0.10626182183463773,9,9
7259_t2,Tgfb1->Tgfbr1/2,receptor,30.37,0.30467429757118225,0.3064021343621639,0.4055118967130436,1,9
7259_t2,Il1a->Il1r1,ligand,2.67,0.0,0.0,0.05556317783000386,9,9
7259_t2,Il1a->Il1r1,receptor,13.08,0.0,0.038470502861121136,0.13536613336149253,9,9
7260_t0,Ccl2->Ccr2,ligand,4.99,0.0,0.0,0.08099123137126707,10,10
