split,level,method,null,n_interactions,n_real_sig,real_sig_rate,sig_survival,score_sf_median
arm,sbr,COMMOT,N0_perm,2172,475,0.21869244935543278,0.8258947368421051,0.9350684053328182
arm,sham,COMMOT,N0_perm,3860,874,0.22642487046632123,0.7760869565217391,0.8943792381207728
arm,sbr,COMMOT,N0_type,2172,475,0.21869244935543278,0.8482105263157895,0.97649288623603
arm,sham,COMMOT,N0_type,3860,874,0.22642487046632123,0.7915331807780321,0.9517860859828147
arm,sbr,COMMOT,N3_lig,2172,475,0.21869244935543278,0.8347368421052631,0.9252372643841734
arm,sham,COMMOT,N3_lig,3457,819,0.23691061614116285,0.7894993894993896,0.8936623219221916
arm,sbr,COMMOT,N3_type,2172,475,0.21869244935543278,0.8077894736842105,0.92374907415751
arm,sham,COMMOT,N3_type,3860,874,0.22642487046632123,0.747254004576659,0.898594030377128
arm,sbr,COMMOT,N4_lig,2172,475,0.21869244935543278,0.8423157894736841,0.9164112157012321
arm,sham,COMMOT,N4_lig,3457,819,0.23691061614116285,0.8064713064713065,0.9098201705886796
arm,sbr,CellChat v2*,N0_perm,2172,589,0.27117863720073665,0.9446519524617997,0.958941988580823
arm,sham,CellChat v2*,N0_perm,3860,1120,0.29015544041450775,0.9451785714285713,1.0083107708078913
arm,sbr,CellChat v2*,N0_type,2172,589,0.27117863720073665,0.9659592529711376,1.0
arm,sham,CellChat v2*,N0_type,3860,1120,0.29015544041450775,0.9738214285714286,1.0
arm,sbr,CellChat v2*,N3_lig,2172,589,0.27117863720073665,0.9691680814940575,0.9946878556675877
arm,sham,CellChat v2*,N3_lig,3457,1036,0.29968180503326586,0.9763320463320464,1.0
arm,sbr,CellChat v2*,N3_type,2172,589,0.27117863720073665,0.8967062818336162,0.8864574896724035
arm,sham,CellChat v2*,N3_type,3860,1120,0.29015544041450775,0.9215714285714286,0.9971429441312843
arm,sbr,CellChat v2*,N4_lig,2172,589,0.27117863720073665,0.9712054329371816,0.995013335998645
arm,sham,CellChat v2*,N4_lig,3457,1036,0.29968180503326586,0.9777606177606178,1.0000594298281715
arm,sbr,NCEM linear*,N0_perm,2172,36,0.016574585635359115,0.003888888888888889,-0.01406022298614814
arm,sham,NCEM linear*,N0_perm,3860,51,0.013212435233160623,0.004901960784313725,-0.013948943335165005
arm,sbr,NCEM linear*,N0_type,2172,36,0.016574585635359115,0.008055555555555557,-0.03287058753287642
arm,sham,NCEM linear*,N0_type,3860,51,0.013212435233160623,0.009215686274509804,-0.021542812466464684
arm,sbr,NCEM linear*,N3_lig,2172,36,0.016574585635359115,0.495,0.9056519886616069
arm,sham,NCEM linear*,N3_lig,3457,48,0.013884871275672549,0.856875,0.993862543066967
arm,sbr,NCEM linear*,N3_type,2172,36,0.016574585635359115,0.0897222222222222,-0.008722827180350497
arm,sham,NCEM linear*,N3_type,3860,51,0.013212435233160623,0.07294117647058825,-0.02299823433673877
arm,sbr,NCEM linear*,N4_lig,2172,36,0.016574585635359115,0.4936111111111111,0.8829413546278067
arm,sham,NCEM linear*,N4_lig,3457,48,0.013884871275672549,0.8568749999999999,0.9939350260143551
arm,sbr,SpaTalk*,N0_perm,2172,532,0.24493554327808473,0.8211466165413535,0.9443049456107228
arm,sham,SpaTalk*,N0_perm,3860,959,0.2484455958549223,0.7747653806047967,0.9420541901545485
arm,sbr,SpaTalk*,N0_type,2172,532,0.24493554327808473,0.8123120300751879,0.9432578932494644
arm,sham,SpaTalk*,N0_type,3860,959,0.2484455958549223,0.7638164754953076,0.9400028673923503
arm,sbr,SpaTalk*,N3_lig,2172,532,0.24493554327808473,0.8084022556390978,0.9369052740675308
arm,sham,SpaTalk*,N3_lig,3457,901,0.2606306045704368,0.8172031076581575,0.9580364219594336
arm,sbr,SpaTalk*,N3_type,2172,532,0.24493554327808473,0.8110338345864662,0.950262232627947
arm,sham,SpaTalk*,N3_type,3860,959,0.2484455958549223,0.7688842544316997,0.9558950891008083
arm,sbr,SpaTalk*,N4_lig,2172,532,0.24493554327808473,0.8144924812030075,0.9416324925658572
arm,sham,SpaTalk*,N4_lig,3457,901,0.2606306045704368,0.8239178690344062,0.9666353008914166
section,7001_liver_sham_Male_52-U1,COMMOT,N0_perm,1200,269,0.22416666666666665,0.8052044609665429,0.9465203385621126
section,7248_liver_sham_Male_26-U1,COMMOT,N0_perm,776,153,0.19716494845360824,0.7653594771241831,0.8107665402733336
section,7259_liver_sbr_Male_26-U1,COMMOT,N0_perm,972,219,0.22530864197530864,0.8210045662100456,0.9398310365246434
section,7260_liver_sbr_Male_26-U1,COMMOT,N0_perm,1200,256,0.21333333333333335,0.830078125,0.9348043531173202
section,7352_liver_sham_Male_2-U1,COMMOT,N0_perm,1048,261,0.24904580152671757,0.7850574712643679,0.8796048453429705
section,7435_liver_sham_Male_10-U1,COMMOT,N0_perm,836,191,0.2284688995215311,0.731413612565445,0.8935264602997405
section,7001_liver_sham_Male_52-U1,COMMOT,N0_type,1200,269,0.22416666666666665,0.8275092936802974,0.9768698081545676
section,7248_liver_sham_Male_26-U1,COMMOT,N0_type,776,153,0.19716494845360824,0.7908496732026143,0.9531817031770873
section,7259_liver_sbr_Male_26-U1,COMMOT,N0_type,972,219,0.22530864197530864,0.8378995433789954,0.9711839072927395
section,7260_liver_sbr_Male_26-U1,COMMOT,N0_type,1200,256,0.21333333333333335,0.85703125,0.9777791154439075
section,7352_liver_sham_Male_2-U1,COMMOT,N0_type,1048,261,0.24904580152671757,0.7988505747126436,0.941858970469294
section,7435_liver_sham_Male_10-U1,COMMOT,N0_type,836,191,0.2284688995215311,0.731413612565445,0.9004131502664373
section,7001_liver_sham_Male_52-U1,COMMOT,N3_lig,1200,269,0.22416666666666665,0.803717472118959,0.8966229919494596
section,7248_liver_sham_Male_26-U1,COMMOT,N3_lig,582,131,0.22508591065292097,0.76793893129771,0.8354637607032979
section,7259_liver_sbr_Male_26-U1,COMMOT,N3_lig,972,219,0.22530864197530864,0.821917808219178,0.9304143023317445
section,7260_liver_sbr_Male_26-U1,COMMOT,N3_lig,1200,256,0.21333333333333335,0.845703125,0.9101830724242758
section,7352_liver_sham_Male_2-U1,COMMOT,N3_lig,1048,261,0.24904580152671757,0.7919540229885058,0.8883891432412069
