method,null,pair,n_interactions,n_real_sig,real_sig_rate,sig_survival,sig_survival_all,score_sf_median,score_sf_q25,score_sf_q75,n_rep_median
COMMOT,N0_perm,ALL,5376,1146,0.21316964285714285,0.7835951134380453,0.23573288690476193,0.9061303195064685,0.6521112902669024,1.079802393987345,10.0
COMMOT,N0_perm,Ccl2->Ccr2,1344,221,0.1644345238095238,0.7506787330316742,0.16897321428571427,0.9573820272576656,0.611177251510373,1.22558959315509,10.0
COMMOT,N0_perm,Tnf->Tnfrsf1a/1b,1344,203,0.15104166666666666,0.6482758620689655,0.16681547619047618,0.6536421114488259,0.3210935243357146,1.0197256394671506,10.0
COMMOT,N0_perm,Tgfb1->Tgfbr1/2,1344,550,0.40922619047619047,0.8592727272727273,0.4646577380952381,0.9291180843255483,0.7666633805026566,1.0676681622343849,10.0
COMMOT,N0_perm,Il1a->Il1r1,1344,172,0.12797619047619047,0.7436046511627906,0.14248511904761904,0.9267504211471533,0.6892585073819053,1.0498836073153683,10.0
COMMOT,N0_type,ALL,5376,1146,0.21316964285714285,0.7930191972076789,0.21997767857142855,0.9432566266790514,0.7279840078169687,1.071752129409961,10.0
COMMOT,N0_type,Ccl2->Ccr2,1344,221,0.1644345238095238,0.7656108597285068,0.16674107142857142,0.9747435573644542,0.6442320603424512,1.2530257420367932,10.0
COMMOT,N0_type,Tnf->Tnfrsf1a/1b,1344,203,0.15104166666666666,0.6630541871921182,0.16324404761904762,0.7482733145147169,0.32517429656568186,1.0133889316448559,10.0
COMMOT,N0_type,Tgfb1->Tgfbr1/2,1344,550,0.40922619047619047,0.8681818181818182,0.41703869047619047,0.9646220262443514,0.8545533502649516,1.06164113487233,10.0
COMMOT,N0_type,Il1a->Il1r1,1344,172,0.12797619047619047,0.7412790697674418,0.1328869047619048,0.9240666002322405,0.7112132981411023,1.0261336829273509,10.0
COMMOT,N3_lig,ALL,5022,1101,0.21923536439665472,0.7934604904632153,0.23552369573874948,0.9039393997657035,0.6585266608151519,1.06192364509421,10.0
COMMOT,N3_lig,Ccl2->Ccr2,1344,221,0.1644345238095238,0.7294117647058824,0.1619047619047619,0.7941664356547079,0.5251488284322624,1.0865995826561943,10.0
COMMOT,N3_lig,Tnf->Tnfrsf1a/1b,990,158,0.1595959595959596,0.6848101265822784,0.1714141414141414,0.7576909607989357,0.42493603976869604,1.0491562588717156,10.0
COMMOT,N3_lig,Tgfb1->Tgfbr1/2,1344,550,0.40922619047619047,0.8574545454545455,0.4494047619047619,0.9377707752850843,0.7618310535139627,1.0634198916181896,10.0
COMMOT,N3_lig,Il1a->Il1r1,1344,172,0.12797619047619047,0.7709302325581396,0.14248511904761904,0.9299554085480755,0.7669361739019539,1.0584832075237407,10.0
COMMOT,N3_type,ALL,5376,1146,0.21316964285714285,0.7347294938917975,0.21497395833333335,0.8661760504793534,0.578403643397752,1.0332350064411,10.0
COMMOT,N3_type,Ccl2->Ccr2,1344,221,0.1644345238095238,0.7253393665158371,0.16257440476190477,0.8470187735328348,0.5430381271842708,1.0812914624996202,10.0
COMMOT,N3_type,Tnf->Tnfrsf1a/1b,1344,203,0.15104166666666666,0.5684729064039409,0.14263392857142856,0.5966728898447229,0.18921528567412021,0.9473046118983228,10.0
COMMOT,N3_type,Tgfb1->Tgfbr1/2,1344,550,0.40922619047619047,0.7956363636363636,0.41212797619047625,0.8841537657557715,0.6762117085299834,1.0287659730166916,10.0
COMMOT,N3_type,Il1a->Il1r1,1344,172,0.12797619047619047,0.7482558139534883,0.1425595238095238,0.9328563582167522,0.7131848537480048,1.045594894302761,10.0
COMMOT,N4_lig,ALL,5022,1101,0.21923536439665472,0.8084468664850135,0.2390681003584229,0.9161705441916055,0.7008442397317303,1.0561769173360953,10.0
COMMOT,N4_lig,Ccl2->Ccr2,1344,221,0.1644345238095238,0.7506787330316741,0.16584821428571428,0.8283061897872671,0.5353649693956778,1.0215903245889888,10.0
COMMOT,N4_lig,Tnf->Tnfrsf1a/1b,990,158,0.1595959595959596,0.7101265822784809,0.1728282828282828,0.7949158211224461,0.47783062477222465,1.0685264282134952,10.0
COMMOT,N4_lig,Tgfb1->Tgfbr1/2,1344,550,0.40922619047619047,0.8745454545454545,0.4569196428571428,0.9477777875031508,0.7949297858967181,1.0619272134963647,10.0
COMMOT,N4_lig,Il1a->Il1r1,1344,172,0.12797619047619047,0.7616279069767442,0.14322916666666666,0.9403776196996195,0.7727083251873571,1.0414239656134892,10.0
CellChat v2*,N0_perm,ALL,5376,1452,0.2700892857142857,0.9589256198347108,0.3143973214285714,1.02140607377388,0.9225972621822394,1.160080526664861,25.0
CellChat v2*,N0_perm,Ccl2->Ccr2,1344,283,0.2105654761904762,0.9734275618374559,0.23354166666666668,1.0299872169167412,0.9164407035415644,1.129397343025888,25.0
CellChat v2*,N0_perm,Tnf->Tnfrsf1a/1b,1344,307,0.22842261904761904,0.9284690553745931,0.25726190476190475,0.9927926586989784,0.8876393594659296,1.1487663771080845,25.0
CellChat v2*,N0_perm,Tgfb1->Tgfbr1/2,1344,653,0.48586309523809523,0.9745788667687597,0.5869345238095237,1.0197529941204797,0.9236712694274293,1.1570830704725614,25.0
CellChat v2*,N0_perm,Il1a->Il1r1,1344,209,0.15550595238095238,0.9351196172248804,0.17985119047619047,1.0547088449323938,0.9566414567915047,1.2093474186701958,25.0
CellChat v2*,N0_type,ALL,5376,1452,0.2700892857142857,0.9694214876033057,0.2701767113095238,1.0,1.0,1.0,100.0
CellChat v2*,N0_type,Ccl2->Ccr2,1344,283,0.2105654761904762,0.9729681978798588,0.2128794642857143,1.0,1.0,1.0,100.0
CellChat v2*,N0_type,Tnf->Tnfrsf1a/1b,1344,307,0.22842261904761904,0.9433550488599349,0.22854910714285712,1.0,1.0,1.0,100.0
CellChat v2*,N0_type,Tgfb1->Tgfbr1/2,1344,653,0.48586309523809523,0.9839356814701378,0.4866741071428572,1.0,1.0,1.0,100.0
CellChat v2*,N0_type,Il1a->Il1r1,1344,209,0.15550595238095238,0.9575598086124402,0.15260416666666668,1.0,1.0,1.0,100.0
CellChat v2*,N3_lig,ALL,5022,1380,0.2747909199522103,0.9721739130434782,0.28127439267224214,1.0,0.9791360853255243,1.0201905287459607,25.0
CellChat v2*,N3_lig,Ccl2->Ccr2,1344,283,0.2105654761904762,0.9687632508833921,0.21241071428571429,0.9993865062626486,0.9816236642731171,1.0077240680086592,25.0
CellChat v2*,N3_lig,Tnf->Tnfrsf1a/1b,990,235,0.23737373737373738,0.9460425531914894,0.2385050505050505,0.9978101779787716,0.9857000363644529,1.0028461849715475,25.0
CellChat v2*,N3_lig,Tgfb1->Tgfbr1/2,1344,653,0.48586309523809523,0.9865849923430322,0.506875,1.00369094176167,0.962551146079693,1.0490560385920242,25.0
CellChat v2*,N3_lig,Il1a->Il1r1,1344,209,0.15550595238095238,0.9611483253588516,0.15604166666666666,1.0013032382308213,0.9923358604725936,1.0149004337407683,25.0
CellChat v2*,N3_type,ALL,5376,1452,0.2700892857142857,0.9013498622589532,0.2632291666666667,0.9531140733667769,0.7881384596741614,1.0463114981262687,25.0
CellChat v2*,N3_type,Ccl2->Ccr2,1344,283,0.2105654761904762,0.942897526501767,0.20812500000000003,0.8966932326958871,0.7640066745940963,0.9964496166465023,25.0
CellChat v2*,N3_type,Tnf->Tnfrsf1a/1b,1344,307,0.22842261904761904,0.8633224755700326,0.21744047619047618,0.8953843682852485,0.7628434021271072,1.0504271254268558,25.0
CellChat v2*,N3_type,Tgfb1->Tgfbr1/2,1344,653,0.48586309523809523,0.9139969372128636,0.4830654761904762,0.9613933461605739,0.8106471193732376,1.050348767339722,25.0
CellChat v2*,N3_type,Il1a->Il1r1,1344,209,0.15550595238095238,0.8614354066985646,0.1442857142857143,0.9955067037700178,0.8847145806785128,1.0728651309746864,25.0
CellChat v2*,N4_lig,ALL,5022,1380,0.2747909199522103,0.9739710144927536,0.2810752688172043,1.0,0.9817059504289929,1.02240963341311,25.0
CellChat v2*,N4_lig,Ccl2->Ccr2,1344,283,0.2105654761904762,0.9728621908127209,0.2131845238095238,0.9997674824165278,0.9838325398346845,1.0078957377017583,25.0
CellChat v2*,N4_lig,Tnf->Tnfrsf1a/1b,990,235,0.23737373737373738,0.9485957446808512,0.2397979797979798,1.0,0.986723111153126,1.0025519516347163,25.0
CellChat v2*,N4_lig,Tgfb1->Tgfbr1/2,1344,653,0.48586309523809523,0.9883614088820827,0.5044642857142857,1.0078096830180514,0.968002068744257,1.0485601591111813,25.0
CellChat v2*,N4_lig,Il1a->Il1r1,1344,209,0.15550595238095238,0.9590430622009569,0.15598214285714285,1.0032248887034052,0.9948764487391792,1.0155152053435015,25.0
NCEM linear*,N0_perm,ALL,5376,79,0.014694940476190476,0.004936708860759495,0.0028236607142857143,-0.014571016134663443,-0.0443819009987847,0.004572047933374164,100.0
NCEM linear*,N0_perm,Ccl2->Ccr2,1344,42,0.03125,0.007857142857142858,0.006220238095238096,-0.031173305473932572,-0.056709965094557814,-0.008095203847834721,100.0
NCEM linear*,N0_perm,Tnf->Tnfrsf1a/1b,1344,7,0.005208333333333333,0.0014285714285714286,0.000818452380952381,-0.01952989121355113,-0.04029866763511837,-0.002788113911472644,100.0
NCEM linear*,N0_perm,Tgfb1->Tgfbr1/2,1344,18,0.013392857142857142,0.0005555555555555556,0.0009970238095238096,-0.004972006809094154,-0.013325141749386763,0.021740887863125904,100.0
NCEM linear*,N0_perm,Il1a->Il1r1,1344,12,0.008928571428571428,0.0033333333333333335,0.0032589285714285715,-0.005151937055044689,-0.02396531208084436,0.02943480214106675,100.0
NCEM linear*,N0_type,ALL,5376,79,0.014694940476190476,0.009620253164556964,0.003472842261904762,-0.029764507868061566,-0.04510172373100202,-0.007549738309426823,100.0
NCEM linear*,N0_type,Ccl2->Ccr2,1344,42,0.03125,0.014761904761904763,0.00790922619047619,-0.03466468959275425,-0.055178921422365274,-0.014758065303119558,100.0
NCEM linear*,N0_type,Tnf->Tnfrsf1a/1b,1344,7,0.005208333333333333,0.0,0.0010342261904761907,-0.011675275914644035,-0.02250890407913537,-6.350750522718298e-05,100.0
NCEM linear*,N0_type,Tgfb1->Tgfbr1/2,1344,18,0.013392857142857142,0.0011111111111111111,0.0012872023809523808,-0.011915800020762719,-0.042746426035705415,0.011478833933265903,100.0
NCEM linear*,N0_type,Il1a->Il1r1,1344,12,0.008928571428571428,0.01,0.003660714285714286,-0.022542604330825833,-0.0373449273695142,0.00013642098594084627,100.0
NCEM linear*,N3_lig,ALL,5022,77,0.015332536837913182,0.6963636363636364,0.013598168060533653,0.9661781047418874,0.8396820013404941,0.9998629039074088,100.0
NCEM linear*,N3_lig,Ccl2->Ccr2,1344,42,0.03125,0.8092857142857144,0.03111607142857143,0.9934689159898074,0.858017609313914,1.005885961776911,100.0
NCEM linear*,N3_lig,Tnf->Tnfrsf1a/1b,990,5,0.005050505050505051,0.638,0.004575757575757576,0.9976833860821853,0.9454096841015488,1.008356389944441,100.0
NCEM linear*,N3_lig,Tgfb1->Tgfbr1/2,1344,18,0.013392857142857142,0.345,0.007046130952380953,0.7642040649961697,0.6169136558832004,0.9405581000782939,100.0
NCEM linear*,N3_lig,Il1a->Il1r1,1344,12,0.008928571428571428,0.8525,0.009278273809523811,0.9788024730505136,0.9354250290637756,0.9889760644982682,100.0
NCEM linear*,N3_type,ALL,5376,79,0.014694940476190476,0.012658227848101269,0.004164806547619047,-0.02299823433673877,-0.05380887626320558,0.001108564570395154,100.0
NCEM linear*,N3_type,Ccl2->Ccr2,1344,42,0.03125,0.018571428571428572,0.009017857142857143,-0.0364595067785381,-0.07473938792551088,-0.011854432871302339,100.0
NCEM linear*,N3_type,Tnf->Tnfrsf1a/1b,1344,7,0.005208333333333333,0.0014285714285714286,0.0011086309523809523,0.0009254384030595705,-0.003665256142240251,0.008816383703878512,100.0
NCEM linear*,N3_type,Tgfb1->Tgfbr1/2,1344,18,0.013392857142857142,0.0005555555555555556,0.001830357142857143,-0.0017233028702093181,-0.029360133119946716,0.009394043001678325,100.0
NCEM linear*,N3_type,Il1a->Il1r1,1344,12,0.008928571428571428,0.016666666666666666,0.004702380952380953,-0.015492867638703558,-0.03316249825986366,-0.009013342163632037,100.0
NCEM linear*,N4_lig,ALL,5022,77,0.015332536837913182,0.6959740259740259,0.01348267622461171,0.9634673708479308,0.8308455386301542,1.0,100.0
NCEM linear*,N4_lig,Ccl2->Ccr2,1344,42,0.03125,0.803809523809524,0.030811011904761904,0.9929741554223517,0.8472111851574015,1.006343173515693,100.0
NCEM linear*,N4_lig,Tnf->Tnfrsf1a/1b,990,5,0.005050505050505051,0.66,0.004717171717171717,0.9998481929878354,0.9629601067693309,1.0087868512553875,100.0
NCEM linear*,N4_lig,Tgfb1->Tgfbr1/2,1344,18,0.013392857142857142,0.35055555555555556,0.007120535714285715,0.8046909635356312,0.6396699458885973,0.9491400281817775,100.0
NCEM linear*,N4_lig,Il1a->Il1r1,1344,12,0.008928571428571428,0.8516666666666666,0.008973214285714284,0.9793186067449737,0.953211732687297,0.9884657800117462,100.0
SpaTalk*,N0_perm,ALL,5376,1310,0.24367559523809523,0.7907099236641221,0.24646019345238096,0.9417195848631799,0.8027561675531473,1.01136870087403,100.0
SpaTalk*,N0_perm,Ccl2->Ccr2,1344,248,0.18452380952380953,0.750241935483871,0.1749702380952381,0.7872135228259285,0.6406975459483322,0.9038455860343222,100.0
SpaTalk*,N0_perm,Tnf->Tnfrsf1a/1b,1344,230,0.17113095238095238,0.6670869565217391,0.1754092261904762,0.8732696055232245,0.6902947326995105,1.0019914714025906,100.0
SpaTalk*,N0_perm,Tgfb1->Tgfbr1/2,1344,633,0.47098214285714285,0.8514533965244866,0.48171130952380947,0.9693441248882714,0.900077907765945,1.0178619571825385,100.0
SpaTalk*,N0_perm,Il1a->Il1r1,1344,199,0.1480654761904762,0.7908040201005025,0.15375,0.9749360308003211,0.8586306658300937,1.0245493922932465,100.0
SpaTalk*,N0_type,ALL,5376,1310,0.24367559523809523,0.7727786259541984,0.23778831845238094,0.938091672270529,0.7978662814901912,1.0096019670616696,100.0
SpaTalk*,N0_type,Ccl2->Ccr2,1344,248,0.18452380952380953,0.7357258064516129,0.1671949404761905,0.7912826755691921,0.6111277815142464,0.8997779337791011,100.0
SpaTalk*,N0_type,Tnf->Tnfrsf1a/1b,1344,230,0.17113095238095238,0.6493478260869564,0.16841517857142857,0.8706949998679294,0.6868161976903875,0.9991315371656712,100.0
