tile,section,cond,radius,r2
7001_t2,7001_liver_sham_Male_52-U1,real,10.0,0.0263390020484486
7001_t2,7001_liver_sham_Male_52-U1,real,15.0,0.0290726216799692
7001_t2,7001_liver_sham_Male_52-U1,real,20.0,0.0295079888953511
7001_t2,7001_liver_sham_Male_52-U1,real,30.0,0.0272946177247298
7001_t2,7001_liver_sham_Male_52-U1,real,40.0,0.0274606455916211
7001_t2,7001_liver_sham_Male_52-U1,real,50.0,0.0290087371311595
7001_t2,7001_liver_sham_Male_52-U1,real,75.0,0.0280129176760437
7001_t2,7001_liver_sham_Male_52-U1,real,100.0,0.0276532106573497
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,10.0,0.024946253986956
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,15.0,0.0250264932609268
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,20.0,0.0261231061087496
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,30.0,0.024451039766004
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,40.0,0.0255474417246036
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,50.0,0.0278143273427085
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,75.0,0.0270249905406807
7001_t2,7001_liver_sham_Male_52-U1,N3_lig,100.0,0.0266976489412073
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,10.0,0.0229128989081595
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,15.0,0.0251340647822156
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,20.0,0.0263065423469347
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,30.0,0.0234318920747192
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,40.0,0.0250301320442154
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,50.0,0.0267489168094979
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,75.0,0.0264964205011712
7001_t2,7001_liver_sham_Male_52-U1,N4_lig,100.0,0.0267288744981189
7001_t2,7001_liver_sham_Male_52-U1,N3_type,10.0,0.0178645075671681
7001_t2,7001_liver_sham_Male_52-U1,N3_type,15.0,0.0191242227010534
7001_t2,7001_liver_sham_Male_52-U1,N3_type,20.0,0.0182804058286936
7001_t2,7001_liver_sham_Male_52-U1,N3_type,30.0,0.0181780282172923
7001_t2,7001_liver_sham_Male_52-U1,N3_type,40.0,0.0188874763730628
7001_t2,7001_liver_sham_Male_52-U1,N3_type,50.0,0.0189371197125957
7001_t2,7001_liver_sham_Male_52-U1,N3_type,75.0,0.0175245531220528
7001_t2,7001_liver_sham_Male_52-U1,N3_type,100.0,0.0177956837985902
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,10.0,0.0147142058783344
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,15.0,0.0141365667234951
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,20.0,0.0145900809866496
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,30.0,0.0143470846848432
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,40.0,0.0139392135087808
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,50.0,0.0146930147462175
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,75.0,0.0149342517670109
7001_t2,7001_liver_sham_Male_52-U1,N0_perm,100.0,0.0166431824757185
7001_t1,7001_liver_sham_Male_52-U1,real,10.0,0.0288795054568945
7001_t1,7001_liver_sham_Male_52-U1,real,15.0,0.0292535590942927
7001_t1,7001_liver_sham_Male_52-U1,real,20.0,0.0291819516410022
7001_t1,7001_liver_sham_Male_52-U1,real,30.0,0.024936998895863
7001_t1,7001_liver_sham_Male_52-U1,real,40.0,0.0264098811950608
7001_t1,7001_liver_sham_Male_52-U1,real,50.0,0.025104519771006
7001_t1,7001_liver_sham_Male_52-U1,real,75.0,0.0216941828236108
7001_t1,7001_liver_sham_Male_52-U1,real,100.0,0.0224411333707718
7001_t1,7001_liver_sham_Male_52-U1,N3_lig,10.0,0.0258921301017797
7001_t1,7001_liver_sham_Male_52-U1,N3_lig,15.0,0.0276004573588301
7001_t1,7001_liver_sham_Male_52-U1,N3_lig,20.0,0.0283551957075524
