tile,section,pair,null,n_ligand_pos,pct_ligand_pos,real_median_nbrs,null_median_nbrs,frac_retaining_a_neighbour
7259_t0,7259_liver_sbr_Male_26-U1,Ccl2->Ccr2,N3_lig,537,4.624,248.0,241.85,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Ccl2->Ccr2,N4_lig,537,4.624,248.0,236.95,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,131,1.128,255.0,235.2,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,131,1.128,255.0,231.45,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,914,7.87,249.0,238.875,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,914,7.87,249.0,239.875,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Il1a->Il1r1,N3_lig,319,2.747,246.0,238.95,1.0
7259_t0,7259_liver_sbr_Male_26-U1,Il1a->Il1r1,N4_lig,319,2.747,246.0,240.55,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Ccl2->Ccr2,N3_lig,531,4.945,231.0,223.55,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Ccl2->Ccr2,N4_lig,531,4.945,231.0,224.4,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,121,1.127,225.0,222.2,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,121,1.127,225.0,221.1,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,648,6.035,225.0,223.775,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,648,6.035,225.0,223.55,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Il1a->Il1r1,N3_lig,240,2.235,221.5,222.95,1.0
7259_t1,7259_liver_sbr_Male_26-U1,Il1a->Il1r1,N4_lig,240,2.235,221.5,224.175,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Ccl2->Ccr2,N3_lig,412,3.93,226.0,222.55,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Ccl2->Ccr2,N4_lig,412,3.93,226.0,229.375,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,119,1.135,233.0,223.5,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,119,1.135,233.0,224.35,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,735,7.011,229.0,223.1,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,735,7.011,229.0,225.6,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Il1a->Il1r1,N3_lig,280,2.671,226.5,223.2,1.0
7259_t2,7259_liver_sbr_Male_26-U1,Il1a->Il1r1,N4_lig,280,2.671,226.5,225.2,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Ccl2->Ccr2,N3_lig,393,4.992,168.0,161.25,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Ccl2->Ccr2,N4_lig,393,4.992,168.0,162.75,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,85,1.08,183.0,163.0,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,85,1.08,183.0,161.65,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,1130,14.355,169.0,162.15,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,1130,14.355,169.0,164.525,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Il1a->Il1r1,N3_lig,407,5.17,161.0,161.65,1.0
7260_t0,7260_liver_sbr_Male_26-U1,Il1a->Il1r1,N4_lig,407,5.17,161.0,162.75,1.0
7260_t1,7260_liver_sbr_Male_26-U1,Ccl2->Ccr2,N3_lig,554,7.19,175.0,160.025,0.9998194945848375
7260_t1,7260_liver_sbr_Male_26-U1,Ccl2->Ccr2,N4_lig,554,7.19,175.0,153.3,1.0
7260_t1,7260_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,117,1.518,183.0,154.2,1.0
7260_t1,7260_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,117,1.518,183.0,156.1,0.9991452991452991
7260_t1,7260_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,1281,16.626,170.0,155.15,0.9999609679937549
7260_t1,7260_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,1281,16.626,170.0,153.95,0.9999219359875099
7260_t1,7260_liver_sbr_Male_26-U1,Il1a->Il1r1,N3_lig,339,4.4,161.0,154.9,1.0
7260_t1,7260_liver_sbr_Male_26-U1,Il1a->Il1r1,N4_lig,339,4.4,161.0,155.65,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Ccl2->Ccr2,N3_lig,463,6.097,172.0,159.95,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Ccl2->Ccr2,N4_lig,463,6.097,172.0,163.3,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,69,0.909,169.0,158.75,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,69,0.909,169.0,157.1,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,1235,16.263,166.0,159.95,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,1235,16.263,166.0,162.45,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Il1a->Il1r1,N3_lig,419,5.518,164.0,160.5,1.0
7260_t2,7260_liver_sbr_Male_26-U1,Il1a->Il1r1,N4_lig,419,5.518,164.0,161.25,1.0
7001_t0,7001_liver_sham_Male_52-U1,Ccl2->Ccr2,N3_lig,285,4.792,133.0,115.0,0.9342105263157894
7001_t0,7001_liver_sham_Male_52-U1,Ccl2->Ccr2,N4_lig,285,4.792,133.0,121.35,0.9594736842105265
7001_t0,7001_liver_sham_Male_52-U1,Tnf->Tnfrsf1a/1b,N3_lig,46,0.773,174.5,119.575,0.933695652173913
7001_t0,7001_liver_sham_Male_52-U1,Tnf->Tnfrsf1a/1b,N4_lig,46,0.773,174.5,136.275,0.968478260869565
7001_t0,7001_liver_sham_Male_52-U1,Tgfb1->Tgfbr1/2,N3_lig,1129,18.981,129.0,115.7,0.9311780336581045
7001_t0,7001_liver_sham_Male_52-U1,Tgfb1->Tgfbr1/2,N4_lig,1129,18.981,129.0,119.9,0.9661204605845881
7001_t0,7001_liver_sham_Male_52-U1,Il1a->Il1r1,N3_lig,235,3.951,118.0,115.65,0.9287234042553193
7001_t0,7001_liver_sham_Male_52-U1,Il1a->Il1r1,N4_lig,235,3.951,118.0,116.95,0.9463829787234042
7001_t1,7001_liver_sham_Male_52-U1,Ccl2->Ccr2,N3_lig,282,5.143,118.0,112.875,1.0
7001_t1,7001_liver_sham_Male_52-U1,Ccl2->Ccr2,N4_lig,282,5.143,118.0,111.75,1.0
7001_t1,7001_liver_sham_Male_52-U1,Tnf->Tnfrsf1a/1b,N3_lig,28,0.511,110.5,113.0,1.0
7001_t1,7001_liver_sham_Male_52-U1,Tnf->Tnfrsf1a/1b,N4_lig,28,0.511,110.5,116.575,1.0
7001_t1,7001_liver_sham_Male_52-U1,Tgfb1->Tgfbr1/2,N3_lig,1088,19.843,116.0,110.65,1.0
7001_t1,7001_liver_sham_Male_52-U1,Tgfb1->Tgfbr1/2,N4_lig,1088,19.843,116.0,112.075,1.0
7001_t1,7001_liver_sham_Male_52-U1,Il1a->Il1r1,N3_lig,296,5.399,114.0,109.725,1.0
7001_t1,7001_liver_sham_Male_52-U1,Il1a->Il1r1,N4_lig,296,5.399,114.0,111.5,1.0
7001_t2,7001_liver_sham_Male_52-U1,Ccl2->Ccr2,N3_lig,234,4.372,119.5,102.65,0.9997863247863247
7001_t2,7001_liver_sham_Male_52-U1,Ccl2->Ccr2,N4_lig,234,4.372,119.5,106.5,0.9997863247863247
7001_t2,7001_liver_sham_Male_52-U1,Tnf->Tnfrsf1a/1b,N3_lig,22,0.411,138.0,102.525,1.0
7001_t2,7001_liver_sham_Male_52-U1,Tnf->Tnfrsf1a/1b,N4_lig,22,0.411,138.0,113.475,1.0
7001_t2,7001_liver_sham_Male_52-U1,Tgfb1->Tgfbr1/2,N3_lig,923,17.246,113.0,102.25,0.9998916576381365
7001_t2,7001_liver_sham_Male_52-U1,Tgfb1->Tgfbr1/2,N4_lig,923,17.246,113.0,105.7,0.9997833152762731
7001_t2,7001_liver_sham_Male_52-U1,Il1a->Il1r1,N3_lig,245,4.578,102.0,102.9,0.9993877551020407
7001_t2,7001_liver_sham_Male_52-U1,Il1a->Il1r1,N4_lig,245,4.578,102.0,106.1,1.0
7248_t0,7248_liver_sham_Male_26-U1,Ccl2->Ccr2,N3_lig,58,0.75,153.0,150.975,1.0
7248_t0,7248_liver_sham_Male_26-U1,Ccl2->Ccr2,N4_lig,58,0.75,153.0,150.825,1.0
7248_t0,7248_liver_sham_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,15,0.194,227.0,151.45,1.0
7248_t0,7248_liver_sham_Male_26-U1,Tnf->Tnfrsf1a/1b,N4_lig,15,0.194,227.0,156.35,1.0
7248_t0,7248_liver_sham_Male_26-U1,Tgfb1->Tgfbr1/2,N3_lig,809,10.463,156.0,150.05,1.0
7248_t0,7248_liver_sham_Male_26-U1,Tgfb1->Tgfbr1/2,N4_lig,809,10.463,156.0,151.55,1.0
7248_t0,7248_liver_sham_Male_26-U1,Il1a->Il1r1,N3_lig,344,4.449,145.0,149.125,1.0
7248_t0,7248_liver_sham_Male_26-U1,Il1a->Il1r1,N4_lig,344,4.449,145.0,150.85,1.0
7248_t1,7248_liver_sham_Male_26-U1,Ccl2->Ccr2,N3_lig,34,0.475,151.5,149.625,1.0
7248_t1,7248_liver_sham_Male_26-U1,Ccl2->Ccr2,N4_lig,34,0.475,151.5,149.725,1.0
7248_t1,7248_liver_sham_Male_26-U1,Tnf->Tnfrsf1a/1b,N3_lig,13,0.182,148.0,149.6,1.0
