tile,section,arm,week,n_cells,n_types,med_nn_um,pct_Ccl2,pct_Tnf,pct_Tgfb1,pct_Il1a
7259_t0,7259_liver_sbr_Male_26-U1,sbr,26,11613,9,6.87,4.62,1.13,7.87,2.75
7259_t1,7259_liver_sbr_Male_26-U1,sbr,26,10738,9,7.15,4.95,1.13,6.03,2.24
7259_t2,7259_liver_sbr_Male_26-U1,sbr,26,10484,9,7.33,3.93,1.14,7.01,2.67
7260_t0,7260_liver_sbr_Male_26-U1,sbr,26,7872,10,7.73,4.99,1.08,14.35,5.17
7260_t1,7260_liver_sbr_Male_26-U1,sbr,26,7705,10,7.69,7.19,1.52,16.63,4.4
7260_t2,7260_liver_sbr_Male_26-U1,sbr,26,7594,10,8.15,6.1,0.91,16.26,5.52
7001_t0,7001_liver_sham_Male_52-U1,sham,52,5948,10,8.76,4.79,0.77,18.98,3.95
7001_t1,7001_liver_sham_Male_52-U1,sham,52,5483,10,9.89,5.14,0.51,19.84,5.4
7001_t2,7001_liver_sham_Male_52-U1,sham,52,5352,10,9.88,4.37,0.41,17.25,4.58
7248_t0,7248_liver_sham_Male_26-U1,sham,26,7732,8,9.4,0.75,0.19,10.46,4.45
7248_t1,7248_liver_sham_Male_26-U1,sham,26,7160,9,10.13,0.47,0.18,11.02,5.56
7248_t2,7248_liver_sham_Male_26-U1,sham,26,6492,7,9.46,0.55,0.09,10.98,2.99
7352_t0,7352_liver_sham_Male_2-U1,sham,2,7689,9,9.52,2.41,0.4,11.17,2.07
7352_t1,7352_liver_sham_Male_2-U1,sham,2,7297,9,9.88,1.9,0.41,10.28,2.29
7352_t2,7352_liver_sham_Male_2-U1,sham,2,7201,10,9.92,2.11,0.46,11.1,2.17
7435_t0,7435_liver_sham_Male_10-U1,sham,10,6310,9,10.74,0.87,0.19,9.64,4.61
7435_t1,7435_liver_sham_Male_10-U1,sham,10,6013,8,10.8,0.95,0.22,9.91,4.17
7435_t2,7435_liver_sham_Male_10-U1,sham,10,5911,8,11.02,0.81,0.17,7.97,4.01
