section,arm,call,celltype,module,design,n,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,naive,31155,exponential,49.99999999999999,,-0.0008392316613676353,7.13303719279508,-261132.98903344682,-261134.31184905145,1.3228156046243384,34.800000000000004,149.8,1,3,6.999999999999999,49.99999999999999,step,1.9594549613248091,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,naive,31155,gaussian,45.204502969779604,,-0.000926998456216844,7.1329873227683604,-261133.20685175783,-261134.31184905145,1.1049972936161794,53.400000000000006,110.80000000000001,0,3,6.999999999999999,49.99999999999999,step,1.74163665031665,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,naive,31155,powerlaw,49.99999999999999,0.5,-0.0018378013147396172,7.133033111683867,-261131.0068585405,-261134.31184905145,3.304990510951029,71.4,439.0,1,4,6.999999999999999,49.99999999999999,step,3.9416298676515,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,naive,31155,step,24.6860647223019,,-0.00037164506034759767,7.132588583403417,-261134.94848840815,-261134.31184905145,-0.6366393567004707,24.8,24.8,0,3,7.742591489922676,49.99999999999999,step,0.0,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,naive,31155,spline,,,,7.132359567283008,-261125.9488421643,-261134.31184905145,8.363006887142546,,,0,8,,,step,8.999646243843017,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,ctrl,31155,exponential,6.999999999999999,,0.0005519680832068057,7.067551974263741,-261374.33013195603,-261377.59553010893,3.265398152900161,5.0,21.0,1,26,6.999999999999999,49.99999999999999,step,0.6366621098713949,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,ctrl,31155,gaussian,6.999999999999999,,0.00031851129478433025,7.0675646634080715,-261374.27419604812,-261377.59553010893,3.321334060805384,8.4,17.2,1,26,6.999999999999999,49.99999999999999,step,0.6925980177766178,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,ctrl,31155,powerlaw,6.999999999999999,4.0,0.0031866042867591243,7.067459654139417,-261372.73709780077,-261377.59553010893,4.858432308159536,1.4000000000000001,8.0,1,27,6.999999999999999,49.99999999999999,step,2.2296962651307695,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,ctrl,31155,step,31.763081427768892,,0.00023151962140493878,7.067407548117836,-261374.9667940659,-261377.59553010893,2.6287360430287663,31.8,31.8,0,26,6.999999999999999,49.99999999999999,step,0.0,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,downstream_arrest,ctrl,31155,spline,,,,7.06681550790616,-261367.57677308383,-261377.59553010893,10.018757025100058,,,0,31,,,step,7.390020982071292,0.015131849952171459
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,naive,31155,exponential,49.99999999999999,,0.004648086890611658,22.676450750441095,-225099.43204923044,-225077.60938104865,-21.822668181790505,34.800000000000004,149.8,1,3,13.48099749887925,49.99999999999999,spline,4.788231194106629,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,naive,31155,gaussian,14.911122358641625,,0.002413962877420221,22.676493602699118,-225099.37317490077,-225077.60938104865,-21.763793852122035,17.6,36.6,0,3,10.477345453252495,49.99999999999999,spline,4.847105523775099,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,naive,31155,powerlaw,49.99999999999999,0.5,0.010145237426873116,22.676449691926916,-225097.4335035149,-225077.60938104865,-19.82412246626336,71.4,439.0,1,4,22.290994425791236,49.99999999999999,spline,6.7867769096337724,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,naive,31155,step,13.48099749887925,,0.001837036826110667,22.67474856062436,-225101.77076240987,-225077.60938104865,-24.161381361220265,13.600000000000001,13.600000000000001,0,3,13.48099749887925,49.99999999999999,spline,2.449518014676869,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,naive,31155,spline,,,,22.665689555751747,-225104.22028042455,-225077.60938104865,-26.610899375897134,,,0,8,,,spline,0.0,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,ctrl,31155,exponential,6.999999999999999,,-0.0005515354999259665,20.732587437386613,-227845.55060733957,-227849.30061344677,3.7500061072059907,5.0,21.0,1,26,6.999999999999999,49.99999999999999,step,2.2858708526473492,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,ctrl,31155,gaussian,24.6860647223019,,-0.000251780470634272,20.73261518250151,-227845.50891459483,-227849.30061344677,3.791698851942783,29.200000000000003,60.6,0,26,6.999999999999999,49.99999999999999,step,2.3275635973841418,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,ctrl,31155,powerlaw,6.999999999999999,4.0,-0.005835085972871217,20.731885632537253,-227844.6052321046,-227849.30061344677,4.6953813421714585,1.4000000000000001,8.0,1,27,6.999999999999999,49.99999999999999,step,3.231246087612817,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,ctrl,31155,step,33.40540803599722,,-0.0005578368271637474,20.73106632428223,-227847.8364781922,-227849.30061344677,1.4641352545586415,33.6,33.6,0,26,6.999999999999999,49.99999999999999,step,0.0,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,emt_ecm,ctrl,31155,spline,,,,20.724927252431414,-227847.06374635818,-227849.30061344677,2.23686708859168,,,0,31,,,step,0.7727318340330385,0.02699004720724252
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,naive,31155,exponential,12.18803582947357,,0.0014163860387201178,24.91672765852767,-222164.24481118654,-222165.39091148254,1.1461002959986217,8.6,36.6,0,3,6.999999999999999,49.99999999999999,step,1.64849255347508,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,naive,31155,gaussian,14.178039470333344,,0.0009080758483847002,24.916375144375312,-222164.68558560353,-222165.39091148254,0.7053258790110704,16.8,34.800000000000004,0,3,6.999999999999999,49.99999999999999,step,1.2077181364875287,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,naive,31155,powerlaw,40.868941774896264,4.0,0.001555664997414732,24.91682460331033,-222162.12359507545,-222165.39091148254,3.267316407087492,7.800000000000001,45.6,0,4,6.999999999999999,49.99999999999999,step,3.76970866456395,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,naive,31155,step,20.177866835741543,,0.0006839939451639378,24.91540928416313,-222165.89330374,-222165.39091148254,-0.5023922574764583,20.200000000000003,20.200000000000003,0,3,6.999999999999999,49.99999999999999,step,0.0,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,naive,31155,spline,,,,24.9113818956662,-222160.92968219923,-222165.39091148254,4.461229283304419,,,0,8,,,step,4.963621540780878,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,ctrl,31155,exponential,6.999999999999999,,-0.0020191393275786717,23.95459983498118,-223345.09774629716,-223346.19773504976,1.0999887525977101,5.0,21.0,1,26,6.999999999999999,49.99999999999999,step,2.9838670919125434,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,ctrl,31155,gaussian,6.999999999999999,,-0.001268044933741369,23.95438977450069,-223345.37094906447,-223346.19773504976,0.8267859852930997,8.4,17.2,1,26,6.999999999999999,49.99999999999999,step,2.710664324607933,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,ctrl,31155,powerlaw,6.999999999999999,4.0,-0.010093178190162026,23.954231668643935,-223343.5765816967,-223346.19773504976,2.6211533530731685,1.4000000000000001,8.0,1,27,6.999999999999999,49.99999999999999,step,4.505031692388002,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,ctrl,31155,step,11.019082036984365,,-0.0009766967748991687,23.952305695376335,-223348.08161338908,-223346.19773504976,-1.8838783393148333,11.200000000000001,11.200000000000001,0,26,6.999999999999999,49.99999999999999,step,0.0,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,il6_jak_stat3,ctrl,31155,spline,,,,23.951145897158884,-223339.59021088135,-223346.19773504976,6.607524168415694,,,0,31,,,step,8.491402507730527,0.028281439851022244
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,interferon_response,naive,31155,exponential,40.868941774896264,,0.001707705043399254,22.535386239113958,-225293.8448138645,-225293.65694526915,-0.18786859535612166,28.400000000000002,122.60000000000001,0,3,6.999999999999999,49.99999999999999,step,4.7159401281387545,0.026896626624977986
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,interferon_response,naive,31155,gaussian,18.24260882600192,,0.001121270130398374,22.534489780283774,-225295.08418602723,-225293.65694526915,-1.4272407580865547,21.6,44.800000000000004,0,3,6.999999999999999,49.99999999999999,step,3.4765679654083215,0.026896626624977986
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,interferon_response,naive,31155,powerlaw,49.99999999999999,0.5,0.004011227405263171,22.53547609442754,-225291.72058982484,-225293.65694526915,1.93635544431163,71.4,439.0,1,4,6.999999999999999,49.99999999999999,step,6.840164167806506,0.026896626624977986
7259_liver_sbr_Male_26-U1,sbr,tierA_p95,Biliary/ductular,interferon_response,naive,31155,step,27.304873519796445,,0.0009366124035148266,22.531975310235854,-225298.56075399264,-225293.65694526915,-4.903808723494876,27.400000000000002,27.400000000000002,0,3,6.999999999999999,49.99999999999999,step,0.0,0.026896626624977986
