held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.0005053951517440576,31135,-44214.79411889274,-1.4200993775138187,0.9622940075983111,1.0015314467541407,-44214.778662400866,-1.4200988810791992,-0.01545649187755771,Biliary/ductular,downstream_arrest,exponential,ctrl
7260_liver_sbr_Male_26-U1,49.99999999999999,0.0030255288064440365,27611,-38726.06022242387,-1.4025591330420437,0.9800623443150897,0.9676889590211871,-38725.60575131485,-1.402542673257573,-0.4544711090202327,Biliary/ductular,downstream_arrest,exponential,ctrl
7001_liver_sham_Male_52-U1,12.818224546846722,0.002076131605728091,21822,-30709.082929936718,-1.4072533649499,0.9740696573200658,0.9768975518379084,-30708.867469332123,-1.4072434914000607,-0.21546060459513683,Biliary/ductular,downstream_arrest,exponential,ctrl
7248_liver_sham_Male_26-U1,6.999999999999999,-0.0005992431521946725,7950,-11174.013255912087,-1.405536258605294,0.9740549313899414,0.9735511573924195,-11173.966501388964,-1.405530377533203,-0.046754523122217506,Biliary/ductular,downstream_arrest,exponential,ctrl
7352_liver_sham_Male_2-U1,6.999999999999999,-0.00032986821599816806,3903,-5497.128307897763,-1.4084366661280459,0.9737675693109442,0.9792017777354631,-5497.11008532688,-1.408431997265406,-0.01822257088315382,Biliary/ductular,downstream_arrest,exponential,ctrl
7435_liver_sham_Male_10-U1,7.742591489922676,0.0006719312413781659,4215,-5881.461751776171,-1.3953645911687238,0.9749296584346812,0.9537105026550554,-5881.442356929977,-1.3953599897817264,-0.019394846193790727,Biliary/ductular,downstream_arrest,exponential,ctrl
7259_liver_sbr_Male_26-U1,47.54182525407475,0.014895523281747881,31135,-44186.68351593806,-1.4191965156877488,0.9997781233861628,1.000515858609383,-44178.65123314173,-1.4189385332629432,-8.03228279632458,Biliary/ductular,downstream_arrest,exponential,naive
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.0021861666669511738,27611,-39179.51355563801,-1.4189820562688062,0.9999952206753042,1.0000870487473859,-39178.31184176303,-1.4189385332571451,-1.2017138749797596,Biliary/ductular,downstream_arrest,exponential,naive
7001_liver_sham_Male_52-U1,22.318425721029357,0.009224506726128566,21822,-30965.404949992702,-1.418999401979319,0.9999149084756594,1.0001217310596084,-30964.07667256707,-1.4189385332493387,-1.3282774256331322,Biliary/ductular,downstream_arrest,exponential,naive
7248_liver_sham_Male_26-U1,49.99999999999999,0.006769998981458786,7950,-11280.283846667066,-1.4189036285115806,0.999954167113791,0.9999301913798792,-11280.561339229844,-1.4189385332364584,0.2774925627782068,Biliary/ductular,downstream_arrest,exponential,naive
7352_liver_sham_Male_2-U1,42.98209161773131,0.005788328350433762,3903,-5537.420912263235,-1.4187601619941672,0.9999664952549076,0.9996432579899469,-5538.117095211305,-1.4189385332337445,0.6961829480706001,Biliary/ductular,downstream_arrest,exponential,naive
7435_liver_sham_Male_10-U1,31.763081427768892,0.005945838411645579,4215,-5980.218815464809,-1.4187944995171553,0.9999646470055826,0.9997119334541402,-5980.825917581062,-1.418938533233941,0.607102116252463,Biliary/ductular,downstream_arrest,exponential,naive
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0009723521344347978,31135,-44214.738093713444,-1.4200975780861873,0.9622933910379731,1.0015279571982605,-44214.778662400866,-1.4200988810791992,0.04056868742191,Biliary/ductular,downstream_arrest,gaussian,ctrl
7260_liver_sbr_Male_26-U1,49.99999999999999,0.004405803727313818,27611,-38726.749195237,-1.4025840858801564,0.9800530878080668,0.9677380105021672,-38725.60575131485,-1.402542673257573,-1.1434439221484354,Biliary/ductular,downstream_arrest,gaussian,ctrl
7001_liver_sham_Male_52-U1,12.18803582947357,0.0032155340081188887,21822,-30709.372391906785,-1.4072666296355414,0.9740641320099327,0.9769233892535966,-30708.867469332123,-1.4072434914000607,-0.504922574662487,Biliary/ductular,downstream_arrest,gaussian,ctrl
7248_liver_sham_Male_26-U1,6.999999999999999,-0.0011028905163660914,7950,-11174.071506080132,-1.4055435856704568,0.9740541207157661,0.973565436661606,-11173.966501388964,-1.405530377533203,-0.10500469116777822,Biliary/ductular,downstream_arrest,gaussian,ctrl
7352_liver_sham_Male_2-U1,6.999999999999999,-0.0006013462127106487,3903,-5497.1417507515725,-1.4084401103642257,0.9737673303692397,0.9792084863444305,-5497.11008532688,-1.408431997265406,-0.031665424692619126,Biliary/ductular,downstream_arrest,gaussian,ctrl
7435_liver_sham_Male_10-U1,11.019082036984365,0.00108085123916425,4215,-5881.454902569392,-1.395362966208634,0.9749290009937238,0.9537073477343226,-5881.442356929977,-1.3953599897817264,-0.012545639415293408,Biliary/ductular,downstream_arrest,gaussian,ctrl
7259_liver_sbr_Male_26-U1,22.318425721029357,0.015390300878399871,31135,-44187.04527527595,-1.419208134744691,0.9997631386388722,1.0005390817999915,-44178.65123314173,-1.4189385332629432,-8.39404213421949,Biliary/ductular,downstream_arrest,gaussian,naive
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.002099543456324776,27611,-39179.2550792492,-1.4189726949132302,0.999995591917275,1.0000683253228821,-39178.31184176303,-1.4189385332571451,-0.9432374861644348,Biliary/ductular,downstream_arrest,gaussian,naive
7001_liver_sham_Male_52-U1,14.911122358641625,0.01054456680590006,21822,-30966.190349673532,-1.4190353931662327,0.9998888121108757,1.0001937036242743,-30964.07667256707,-1.4189385332493387,-2.113677106463001,Biliary/ductular,downstream_arrest,gaussian,naive
7248_liver_sham_Male_26-U1,21.2211739115045,0.007114718741147786,7950,-11280.225203701662,-1.418896252037945,0.9999493807772343,0.9999154389455682,-11280.561339229844,-1.4189385332364584,0.3361355281813303,Biliary/ductular,downstream_arrest,gaussian,naive
