section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,Biliary/ductular,downstream_arrest,ctrl,nearest,31135,0.00010989898806320966,0.0005215022141015395,0.0005535708507042337,1.0614928100697387,-0.0009122453515758078,0.001132043327702227,-0.0009114866412030679,0.0011319161559999362
7259_liver_sbr_Male_26-U1,Biliary/ductular,downstream_arrest,ctrl,superposition,31135,0.00025672080821100755,0.00026468236033405364,0.00025775464750653115,0.9738263146105427,-0.0002620566180437376,0.0007754982344657527,-0.00025773085063110057,0.0007566591202772439
7259_liver_sbr_Male_26-U1,Biliary/ductular,downstream_arrest,naive,nearest,31135,-0.0008533625478575176,0.0004900878634517014,0.0005216783904170225,1.0644589048641773,-0.0018139347602228522,0.00010720966450781708,-0.0019244901474303618,0.00011419250192973301
7259_liver_sbr_Male_26-U1,Biliary/ductular,downstream_arrest,naive,superposition,31135,-0.00012965349378447514,5.069573189589002e-05,6.424626216933268e-05,1.26729134320953,-0.00022901712830041958,-3.0289859268530712e-05,-0.0002642399209554799,-9.947077739935008e-06
7259_liver_sbr_Male_26-U1,Biliary/ductular,emt_ecm,ctrl,nearest,31135,-0.001304776184819844,0.0009083482648896594,0.000881073351295219,0.9699730657846816,-0.0030851387840035763,0.0004755864143638883,-0.0031729901604378337,0.00024277118396393466
7259_liver_sbr_Male_26-U1,Biliary/ductular,emt_ecm,ctrl,superposition,31135,-0.00020154765549513408,9.559266266866463e-05,0.00012941436267859116,1.35381062798885,-0.00038890927432571676,-1.418603666455143e-05,-0.000454138293459041,9.169052000315147e-05
7259_liver_sbr_Male_26-U1,Biliary/ductular,emt_ecm,naive,nearest,31135,0.0031812266767170085,0.0007567381974997644,0.0007457680247548076,0.9855033447747162,0.0016980198096174701,0.004664433543816546,0.0015383512586310496,0.0044135406668240965
7259_liver_sbr_Male_26-U1,Biliary/ductular,emt_ecm,naive,superposition,31135,0.0023657003017205852,0.0004904206385240345,0.0005206248383816203,1.0615883539250879,0.0014044758502134776,0.003326924753227693,0.0013001196733826105,0.003301506530305323
7259_liver_sbr_Male_26-U1,Biliary/ductular,il6_jak_stat3,ctrl,nearest,31135,-0.002445790083243487,0.001178861592169299,0.0013606637980113662,1.1542184485860814,-0.004756358803895314,-0.00013522136259166073,-0.0050580298141064935,0.00017477160334269587
7259_liver_sbr_Male_26-U1,Biliary/ductular,il6_jak_stat3,ctrl,superposition,31135,-0.001507043878962449,0.0008393954078215464,0.0009141300357693858,1.089033877540259,-0.00315225887829268,0.00013817112036778201,-0.0034631171119834797,0.0001061985999277213
7259_liver_sbr_Male_26-U1,Biliary/ductular,il6_jak_stat3,naive,nearest,31135,0.0012835297493201143,0.0007620660908852208,0.0009916291618684253,1.3012377452939057,-0.00021011978881491848,0.0027771792874551468,-0.000723055840332333,0.003082149137400039
7259_liver_sbr_Male_26-U1,Biliary/ductular,il6_jak_stat3,naive,superposition,31135,0.0005615020186035286,0.00023826976294580483,0.0003621313659104891,1.519837689152597,9.449328322975114e-05,0.0010285107539773062,-0.00020455405332938395,0.0013084794505472369
7259_liver_sbr_Male_26-U1,Biliary/ductular,interferon_response,ctrl,nearest,31135,-0.00309272866951867,0.0011140156755326167,0.001130158041725606,1.0144902504942506,-0.005276199393562599,-0.0009092579454747412,-0.005484038843637032,-0.0007570016874131985
7259_liver_sbr_Male_26-U1,Biliary/ductular,interferon_response,ctrl,superposition,31135,0.0002213539294616719,9.701496922047946e-05,0.00012766495931447623,1.315930524333215,3.120458978953216e-05,0.0004115032691338116,-2.788957166590682e-05,0.0004432926440198339
7259_liver_sbr_Male_26-U1,Biliary/ductular,interferon_response,naive,nearest,31135,0.0007536314790125317,0.000747679052688198,0.0009148589759280944,1.2235985114720271,-0.0007118194642563363,0.0022190824222813998,-0.0010227414366948211,0.0024530550986697898
7259_liver_sbr_Male_26-U1,Biliary/ductular,interferon_response,naive,superposition,31135,0.0005471303206596773,0.00019102743524327623,0.00032442095234607625,1.6982950743851082,0.00017271654758285585,0.0009215440937364987,-3.182910332135028e-05,0.0012964607639752825
7259_liver_sbr_Male_26-U1,Biliary/ductular,oxidative_stress,ctrl,nearest,31135,-0.002671822982783598,0.0020723280553119833,0.002298845545670051,1.1093058069534103,-0.006733585971195085,0.0013899400056278893,-0.006977826384082857,0.0017106046744337364
7259_liver_sbr_Male_26-U1,Biliary/ductular,oxidative_stress,ctrl,superposition,31135,-0.0005054202535877371,0.00021857821057278938,0.00022643852889551202,1.0359611248629244,-0.0009338335463104043,-7.700696086506992e-05,-0.0009893008971342298,-8.25968924944199e-05
