held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7259_liver_sbr_Male_26-U1,9.006764443646388,-0.010729335623072917,31826,-45207.16084274008,-1.4204474593960936,0.9596950053340205,1.0020933087180353,-45208.711009305815,-1.4204961669485896,1.550166565735708,Biliary/ductular,downstream_arrest,near,ctrl,6
7260_liver_sbr_Male_26-U1,11.58882939190469,-0.009759710512253572,24875,-34867.71218509711,-1.401717072767723,0.9795886384486231,0.9660443782678658,-34869.64646618267,-1.4017948328113636,1.9342810855596326,Biliary/ductular,downstream_arrest,near,ctrl,6
7001_liver_sham_Male_52-U1,12.18803582947357,-0.005826412748620845,19766,-27798.850115236433,-1.4063973548131354,0.973798529811815,0.9752290398990058,-27801.194535298273,-1.406515963538312,2.344420061839628,Biliary/ductular,downstream_arrest,near,ctrl,6
7248_liver_sham_Male_26-U1,11.019082036984365,-0.010195088373545885,7108,-9973.038304297203,-1.4030723556974116,0.9737409385965963,0.968751308567033,-9972.93571604514,-1.403057922910121,-0.10258825206256006,Biliary/ductular,downstream_arrest,near,ctrl,6
7352_liver_sham_Male_2-U1,10.477345453252495,-0.01007030475311346,3740,-5267.435668213799,-1.4084052588806948,0.9730890779865674,0.9791369245141053,-5267.200734137383,-1.4083424422827227,-0.23493407641581143,Biliary/ductular,downstream_arrest,near,ctrl,6
7435_liver_sham_Male_10-U1,11.019082036984365,-0.009412104246950782,4232,-5906.135678918967,-1.395589716190682,0.974283173356494,0.9541629953842938,-5906.519152477815,-1.3956803290354005,0.3834735588479816,Biliary/ductular,downstream_arrest,near,ctrl,6
7259_liver_sbr_Male_26-U1,8.563960425689007,-0.010389530084075768,31826,-45206.36124640891,-1.4204223353990106,0.9597029455327915,1.0020454090410058,-45208.711009305815,-1.4204961669485896,2.349762896905304,Biliary/ductular,downstream_arrest,sup,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,-0.012278472042016587,24875,-34873.6571445738,-1.4019560661135195,0.9795540159391689,0.966513288957871,-34869.64646618267,-1.4017948328113636,-4.010678391132387,Biliary/ductular,downstream_arrest,sup,ctrl,6
7001_liver_sham_Male_52-U1,11.58882939190469,-0.006844170175062544,19766,-27798.63825397379,-1.4063866363439133,0.9737873338025641,0.9752081444565831,-27801.194535298273,-1.406515963538312,2.5562813244832796,Biliary/ductular,downstream_arrest,sup,ctrl,6
7248_liver_sham_Male_26-U1,10.477345453252495,-0.010782115789587245,7108,-9972.986613520596,-1.403065083500365,0.9737314508853138,0.9687371931976145,-9972.93571604514,-1.403057922910121,-0.05089747545571299,Biliary/ductular,downstream_arrest,sup,ctrl,6
7352_liver_sham_Male_2-U1,9.962242533302096,-0.010619640290775714,3740,-5267.390541669174,-1.4083931929596722,0.9730800831187211,0.979113381567333,-5267.200734137383,-1.4083424422827227,-0.1898075317913026,Biliary/ductular,downstream_arrest,sup,ctrl,6
7435_liver_sham_Male_10-U1,11.019082036984365,-0.010274819710434592,4232,-5906.301385032918,-1.3956288716996499,0.9742693752153787,0.9542396061950986,-5906.519152477815,-1.3956803290354005,0.21776744489670818,Biliary/ductular,downstream_arrest,sup,ctrl,6
7259_liver_sbr_Male_26-U1,9.962242533302096,-0.010730288819528574,31826,-45160.36934994575,-1.4189772308787076,0.9998848609018495,1.0000773882178136,-45159.13776000278,-1.4189385332747684,-1.2315899429740966,Biliary/ductular,downstream_arrest,near,naive,6
7260_liver_sbr_Male_26-U1,9.962242533302096,-0.007620800833565136,24875,-35295.38018085893,-1.4189097560144293,0.9999419233946553,0.9999424462868161,-35296.09601486525,-1.4189385332609146,0.7158340063251671,Biliary/ductular,downstream_arrest,near,naive,6
7001_liver_sham_Male_52-U1,12.818224546846722,-0.0038017378771387305,19766,-28045.2863815917,-1.4188650400481484,0.999985546789114,0.9998530092943104,-28046.739048282616,-1.4189385332531932,1.4526666909150663,Biliary/ductular,downstream_arrest,near,naive,6
7248_liver_sham_Male_26-U1,11.58882939190469,-0.008019168822877183,7108,-10085.876391054971,-1.4189471568732375,0.9999356929313903,1.0000172464266264,-10085.815094268048,-1.4189385332397366,-0.06129678692377638,Biliary/ductular,downstream_arrest,near,naive,6
7352_liver_sham_Male_2-U1,10.477345453252495,-0.008232450443143245,3740,-5307.157169600498,-1.4190259811766037,0.9999322267597013,1.0001748895010891,-5306.8301143067465,-1.418938533237098,-0.3270552937510729,Biliary/ductular,downstream_arrest,near,naive,6
7435_liver_sham_Male_10-U1,11.019082036984365,-0.0077883433547560384,4232,-6004.9292799657815,-1.4189341398784927,0.9999393417077886,0.9999912132328665,-6004.94787266095,-1.4189385332374647,0.018592695168990758,Biliary/ductular,downstream_arrest,near,naive,6
7259_liver_sbr_Male_26-U1,8.14292620081837,-0.00950074161475757,31826,-45159.75546053008,-1.4189579419509233,0.9999097359087696,1.0000388151372275,-45159.13776000278,-1.4189385332747684,-0.6177005273057148,Biliary/ductular,downstream_arrest,sup,naive,6
7260_liver_sbr_Male_26-U1,9.472463873139185,-0.007750025728703671,24875,-35295.71231600296,-1.4189231081810234,0.9999399371012044,0.9999691503040142,-35296.09601486525,-1.4189385332609146,0.3836988622933859,Biliary/ductular,downstream_arrest,sup,naive,6
7001_liver_sham_Male_52-U1,49.99999999999999,0.007141160417506127,19766,-28050.516361306283,-1.419129634792385,0.9999490038278919,1.000382199615752,-28046.739048282616,-1.4189385332531932,-3.777313023667375,Biliary/ductular,downstream_arrest,sup,naive,6
7248_liver_sham_Male_26-U1,9.472463873139185,-0.007521131335804612,7108,-10085.809059928075,-1.418937684289262,0.9999434325834299,0.9999983019835672,-10085.815094268048,-1.4189385332397366,0.006034339972757152,Biliary/ductular,downstream_arrest,sup,naive,6
7352_liver_sham_Male_2-U1,9.006764443646388,-0.007871490082104075,3740,-5307.1794254581055,-1.41903193194067,0.9999380396438875,1.000186791893574,-5306.8301143067465,-1.418938533237098,-0.34931115135896107,Biliary/ductular,downstream_arrest,sup,naive,6
7435_liver_sham_Male_10-U1,9.962242533302096,-0.007635635376953631,4232,-6005.109442343903,-1.4189767113288996,0.9999416970723903,1.0000763541333801,-6004.94787266095,-1.4189385332374647,-0.16156968295217666,Biliary/ductular,downstream_arrest,sup,naive,6
7259_liver_sbr_Male_26-U1,6.999999999999999,0.008142269386820873,31826,-44044.19403156942,-1.383906052647817,0.8677214166289491,0.9300709986320614,-44043.1408341512,-1.3838729602887954,-1.0531974182231352,Biliary/ductular,emt_ecm,near,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.006429807828756073,24875,-34176.11730176555,-1.3739142633875598,0.8807475739989523,0.9132926541971643,-34175.87151502489,-1.3739043825135635,-0.2457867406628793,Biliary/ductular,emt_ecm,near,ctrl,6
