section,arm,week,call,celltype,module,n,n_senders,design,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,aic0,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,sd_y,beta_sup_sd,beta_near_sd
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,downstream_arrest,32233,5110,naive,49.99999999999999,0.0008853742943807111,7.471941474785608,-269769.0326069878,1.0,49.99999999999999,8.419095357098012e-05,7.471765220346516,-269769.7929550663,1.0,-269770.16841848585,7.472605452687909,-0.7603480785037391,1.135811498039402,0.375463419535663,0.665,-0.023589119179218163,-0.32715180357734575,0.15640064725615008,0.5134454319202304,0.015225994274394777,0.010603852320838533,0.05814886557598914
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,downstream_arrest,32233,5110,ctrl,49.99999999999999,0.0007468287376988617,7.404417435436899,-270015.64685767936,1.0,49.99999999999999,8.15622696054491e-05,7.404271551936002,-270016.28192576516,1.0,-270017.7167048629,7.404860834595419,-0.635068085801322,2.0698471835348755,1.4347790977335535,0.66,-0.019702419439745666,-0.25621914405354507,0.14445461022858402,0.5134454319202304,0.015225994274394777,0.010272769521721084,0.049049587448337456
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,downstream_arrest,32233,5110,ctrl+N2,49.99999999999999,0.0007661640492556506,7.403968660252963,-270015.6005304718,,45.204502969779604,4.6457527919406763e-05,7.402594911519247,-270021.5816675326,,,,-5.9811370607761045,,,,,,,,0.015225994274394777,,
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,emt_ecm,32233,5110,naive,7.361938632551805,0.0038166009131635303,23.554194333007587,-232760.7446127839,0.0,42.98209161773131,0.00044459448320098257,23.543820796176913,-232774.94352189515,0.0,-232758.39139376284,23.558837391493,-14.198909111262765,-2.353219021053519,-16.552128132316284,0.94,-0.4405084575206392,-1.8230102764007368,0.04602741418907718,0.4177021476149056,0.027035011783114588,0.025246943679549837,0.14117252633883126
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,emt_ecm,32233,5110,ctrl,6.999999999999999,0.0008851285184088947,21.562113153585354,-235563.0508543108,1.0,49.99999999999999,-0.00016823745392177195,21.55976451298783,-235566.56200626204,1.0,-235566.7252312363,21.562330978703784,-3.5111519512429368,3.6743769255117513,0.16322497426881455,0.8,-0.10893034936999152,-0.5542653206695632,0.04537158493645136,0.3668989266463574,0.027035011783114588,-0.011933834985544586,0.03274008258169077
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,emt_ecm,32233,5110,ctrl+N2,6.999999999999999,0.0009062860531430626,21.56175291308494,-235561.5893789427,,49.99999999999999,-0.00014530508814672907,21.55935139553783,-235565.1796448423,,,,-3.59026589959157,,,,,,,,0.027035011783114588,,
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,il6_jak_stat3,32233,5110,naive,6.999999999999999,0.001741666149666963,25.95201704317488,-229635.90267281595,1.0,30.20149733539872,0.00040255869346293927,25.948396326011746,-229640.4000002526,0.0,-229638.82466767577,25.952885000721476,-4.497327436634805,2.921994859818369,-1.575332576816436,0.825,-0.13952556189727314,-0.7535278184755003,0.05530392575551697,0.5225740458946412,0.0283754303626371,0.013151226138044734,0.061379373893087986
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,il6_jak_stat3,32233,5110,ctrl,30.20149733539872,-0.001515001471834929,24.991099171212106,-230806.04107365353,0.0,49.99999999999999,-0.00018536251528022862,24.990368253147253,-230806.98381035973,1.0,-230806.96431487025,24.99348477769578,-0.9427367062016856,0.923241216718452,-0.01949548948323354,0.58,-0.029247563248896647,-0.34716827958644386,0.21016361093426167,0.503279371746561,0.0283754303626371,-0.01252746970844453,-0.05339131256935549
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,il6_jak_stat3,32233,5110,ctrl+N2,30.20149733539872,-0.0014992363908577654,24.990746648766848,-230804.49575297924,,49.99999999999999,-0.00015388068965309278,24.98959281816333,-230805.98399504588,,,,-1.488242066639224,,,,,,,,0.0283754303626371,,
7259_liver_sbr_Male_26-U1,sbr,26,cdkn1a_pos,Biliary/ductular,interferon_response,32233,5110,naive,6.999999999999999,0.0032517311075702855,23.493774908129833,-232843.53247479358,1.0,30.20149733539872,0.0004899367480434318,23.490151667357814,-232848.50387367606,0.0,-232843.38180795938,23.49680041339211,-4.971398882480571,-0.1506668342044577,-5.122065716685029,0.835,-0.15423320455683837,-1.6089377691996292,0.04414415914532094,0.5225740458946412,0.026999392962534615,0.016821530531312124,0.12043719323475437
