held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0038480943009972426,31155,-44245.77247563939,-1.420182072721534,0.9616683531948187,1.001665136160139,-44245.96218669119,-1.4201881619865573,0.18971105180389713,Biliary/ductular,downstream_arrest,exponential,ctrl
7260_liver_sbr_Male_26-U1,49.99999999999999,0.006512116902101385,27623,-38734.41075352334,-1.4022521360287927,0.9798668957372446,0.9670896028910868,-38733.00841565844,-1.4022013689917259,-1.4023378648998914,Biliary/ductular,downstream_arrest,exponential,ctrl
7001_liver_sham_Male_52-U1,12.818224546846722,0.003983050572808943,21796,-30664.93728443601,-1.4069066472947336,0.9737713410880172,0.9762212462042557,-30664.894103477935,-1.406904666153328,-0.043180958076845855,Biliary/ductular,downstream_arrest,exponential,ctrl
7248_liver_sham_Male_26-U1,49.99999999999999,0.003991872813425453,7958,-11182.763267867154,-1.405222828332138,0.97371528163018,0.9729408015254731,-11182.747308969056,-1.4052208229415752,-0.015958898098688223,Biliary/ductular,downstream_arrest,exponential,ctrl
7352_liver_sham_Male_2-U1,49.99999999999999,0.0028103511097015803,3895,-5489.394861414688,-1.4093439952284181,0.9733128553700552,0.9809660586862796,-5489.651750963246,-1.4094099488994212,0.2568895485574103,Biliary/ductular,downstream_arrest,exponential,ctrl
7435_liver_sham_Male_10-U1,7.742591489922676,0.003297256705679114,4208,-5869.753495202427,-1.3949033971488658,0.9745845989887371,0.9528188331352782,-5869.751493283198,-1.394902921407604,-0.0020019192288600607,Biliary/ductular,downstream_arrest,exponential,ctrl
7259_liver_sbr_Male_26-U1,49.99999999999999,0.018342184745246723,31155,-44217.57173177695,-1.4192768971843028,0.9996635642587716,1.0006764890413977,-44207.030003808155,-1.4189385332629805,-10.541727968797204,Biliary/ductular,downstream_arrest,exponential,naive
7260_liver_sbr_Male_26-U1,49.99999999999999,0.0032300646313062394,27623,-39193.256681040686,-1.4188631459667918,0.9999895666824774,0.9998492199970511,-39195.339104162675,-1.4189385332571651,2.0824231219885405,Biliary/ductular,downstream_arrest,exponential,naive
7001_liver_sham_Male_52-U1,22.318425721029357,0.010047249453926717,21796,-30926.971647581664,-1.4189287781052333,0.9998990527784105,0.9999804891363555,-30927.18427070194,-1.418938533249309,0.21262312027465669,Biliary/ductular,downstream_arrest,exponential,naive
7248_liver_sham_Male_26-U1,49.99999999999999,0.009681393028365612,7958,-11291.765597081123,-1.418920029791546,0.9999062706290304,0.9999629935963971,-11291.912847495787,-1.4189385332364648,0.14725041466408584,Biliary/ductular,downstream_arrest,exponential,naive
7352_liver_sham_Male_2-U1,49.99999999999999,0.00834011399211527,3895,-5525.74351888747,-1.4186761280840743,0.9999304424985985,0.9994752085947916,-5526.765586945417,-1.41893853323374,1.022068057947763,Biliary/ductular,downstream_arrest,exponential,naive
7435_liver_sham_Male_10-U1,38.85968176362148,0.008491628487943695,4208,-5969.98818678072,-1.4187234284174715,0.9999278922456227,0.9995698066977232,-5970.893347848409,-1.4189385332339375,0.9051610676888231,Biliary/ductular,downstream_arrest,exponential,naive
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0043191321424752875,31155,-44245.98835548773,-1.4201890019415095,0.9616647824871785,1.0016783223048242,-44245.96218669119,-1.4201881619865573,-0.026168796539423056,Biliary/ductular,downstream_arrest,gaussian,ctrl
7260_liver_sbr_Male_26-U1,49.99999999999999,0.007092240776389861,27623,-38735.13050186573,-1.4022781921538474,0.9798596998237802,0.9671407838833912,-38733.00841565844,-1.4022013689917259,-2.1220862072877935,Biliary/ductular,downstream_arrest,gaussian,ctrl
7001_liver_sham_Male_52-U1,14.911122358641625,0.003967396461062963,21796,-30664.96188471708,-1.4069077759550872,0.973771543832215,0.976223445602491,-30664.894103477935,-1.406904666153328,-0.06778123914409662,Biliary/ductular,downstream_arrest,gaussian,ctrl
7248_liver_sham_Male_26-U1,49.99999999999999,0.003864413188627515,7958,-11182.775626849958,-1.4052243813583762,0.9737161454917814,0.9729438259582252,-11182.747308969056,-1.4052208229415752,-0.02831788090225018,Biliary/ductular,downstream_arrest,gaussian,ctrl
7352_liver_sham_Male_2-U1,49.99999999999999,0.0028030999067112073,3895,-5489.4317050125355,-1.4093534544319732,0.9733128699379063,0.9809844780851413,-5489.651750963246,-1.4094099488994212,0.22004595071030053,Biliary/ductular,downstream_arrest,gaussian,ctrl
7435_liver_sham_Male_10-U1,10.477345453252495,0.003158554181065719,4208,-5869.726488543427,-1.394896979216594,0.9745854454842285,0.9528063003910893,-5869.751493283198,-1.394902921407604,0.02500473977124784,Biliary/ductular,downstream_arrest,gaussian,ctrl
7259_liver_sbr_Male_26-U1,22.318425721029357,0.01839961272888691,31155,-44217.446555470124,-1.4192728793282017,0.9996614542514273,1.0006684536380492,-44207.030003808155,-1.4189385332629805,-10.416551661968697,Biliary/ductular,downstream_arrest,gaussian,naive
7260_liver_sbr_Male_26-U1,49.99999999999999,0.003743032001544441,27623,-39193.33735943806,-1.4188660666632176,0.9999859897114352,0.9998550622131244,-39195.339104162675,-1.4189385332571651,2.0017447246136726,Biliary/ductular,downstream_arrest,gaussian,naive
7001_liver_sham_Male_52-U1,17.345738419684505,0.01080571581759359,21796,-30927.253755246362,-1.418941721198677,0.9998832365056695,1.0000063725590687,-30927.18427070194,-1.418938533249309,-0.06948454442317598,Biliary/ductular,downstream_arrest,gaussian,naive
7248_liver_sham_Male_26-U1,21.2211739115045,0.009892257672488775,7958,-11291.805051564294,-1.4189249876305974,0.9999021432381411,0.9999729085365947,-11291.912847495787,-1.4189385332364648,0.10779593149345601,Biliary/ductular,downstream_arrest,gaussian,naive
7352_liver_sham_Male_2-U1,21.2211739115045,0.008392076646814533,3895,-5525.650663687738,-1.4186522884949264,0.9999295730495541,0.9994275316556814,-5526.765586945417,-1.41893853323374,1.1149232576790382,Biliary/ductular,downstream_arrest,gaussian,naive
7435_liver_sham_Male_10-U1,18.24260882600192,0.008750664326274362,4208,-5970.04173788285,-1.4187361544398407,0.9999234258738489,0.9995952593540388,-5970.893347848409,-1.4189385332339375,0.8516099655589642,Biliary/ductular,downstream_arrest,gaussian,naive
7259_liver_sbr_Male_26-U1,49.99999999999999,0.003976570348876853,31155,-44245.7806966568,-1.4201823365962702,0.9616674471028692,1.00166560662024,-44245.96218669119,-1.4201881619865573,0.18149003438884392,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7260_liver_sbr_Male_26-U1,49.99999999999999,0.006674448861224231,27623,-38734.49548003536,-1.4022552032739153,0.9798649716419872,0.9670956422870225,-38733.00841565844,-1.4022013689917259,-1.4870643769172602,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7001_liver_sham_Male_52-U1,14.911122358641625,0.003974697804435975,21796,-30664.90645469402,-1.4069052328268499,0.9737713763193532,0.9762184904746908,-30664.894103477935,-1.406904666153328,-0.012351216086244676,Biliary/ductular,downstream_arrest,powerlaw,ctrl
7248_liver_sham_Male_26-U1,49.99999999999999,0.004061787763030534,7958,-11182.760032534512,-1.405222421781165,0.9737147730349827,0.9729400101078699,-11182.747308969056,-1.4052208229415752,-0.012723565456326469,Biliary/ductular,downstream_arrest,powerlaw,ctrl
