held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7259_liver_sbr_Male_26-U1,49.99999999999999,0.0038480943009972426,31155,-44245.77247563939,-1.420182072721534,0.9616683531948187,1.001665136160139,-44245.96218669119,-1.4201881619865573,0.18971105180389713,Biliary/ductular,downstream_arrest,near,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.006512116902101385,27623,-38734.41075352334,-1.4022521360287927,0.9798668957372446,0.9670896028910868,-38733.00841565844,-1.4022013689917259,-1.4023378648998914,Biliary/ductular,downstream_arrest,near,ctrl,6
7001_liver_sham_Male_52-U1,12.818224546846722,0.003983050572808943,21796,-30664.93728443601,-1.4069066472947336,0.9737713410880172,0.9762212462042557,-30664.894103477935,-1.406904666153328,-0.043180958076845855,Biliary/ductular,downstream_arrest,near,ctrl,6
7248_liver_sham_Male_26-U1,49.99999999999999,0.003991872813425453,7958,-11182.763267867154,-1.405222828332138,0.97371528163018,0.9729408015254731,-11182.747308969056,-1.4052208229415752,-0.015958898098688223,Biliary/ductular,downstream_arrest,near,ctrl,6
7352_liver_sham_Male_2-U1,49.99999999999999,0.0028103511097015803,3895,-5489.394861414688,-1.4093439952284181,0.9733128553700552,0.9809660586862796,-5489.651750963246,-1.4094099488994212,0.2568895485574103,Biliary/ductular,downstream_arrest,near,ctrl,6
7435_liver_sham_Male_10-U1,7.742591489922676,0.003297256705679114,4208,-5869.753495202427,-1.3949033971488658,0.9745845989887371,0.9528188331352782,-5869.751493283198,-1.394902921407604,-0.0020019192288600607,Biliary/ductular,downstream_arrest,near,ctrl,6
7259_liver_sbr_Male_26-U1,49.99999999999999,-0.01074760994158143,31155,-44249.96694940412,-1.4203167051646324,0.9616004219949493,1.0019213784823535,-44245.96218669119,-1.4201881619865573,-4.0047627129315515,Biliary/ductular,downstream_arrest,sup,ctrl,6
7260_liver_sbr_Male_26-U1,8.14292620081837,0.005907227533746984,27623,-38733.32859930456,-1.402212960189138,0.9798735605479759,0.9670127061440268,-38733.00841565844,-1.4022013689917259,-0.32018364611576544,Biliary/ductular,downstream_arrest,sup,ctrl,6
7001_liver_sham_Male_52-U1,8.563960425689007,0.005350327908121691,21796,-30665.040896266488,-1.406911401003234,0.973760306748486,0.9762304841920626,-30664.894103477935,-1.406904666153328,-0.14679278855328448,Biliary/ductular,downstream_arrest,sup,ctrl,6
7248_liver_sham_Male_26-U1,9.006764443646388,0.0046565526994310205,7958,-11182.771611936303,-1.4052238768454766,0.9737102460554762,0.9729428497293378,-11182.747308969056,-1.4052208229415752,-0.024302967247422202,Biliary/ductular,downstream_arrest,sup,ctrl,6
7352_liver_sham_Male_2-U1,7.742591489922676,0.003781722246045629,3895,-5489.423558126111,-1.4093513628051633,0.9733070211070068,0.9809803609331427,-5489.651750963246,-1.4094099488994212,0.22819283713488403,Biliary/ductular,downstream_arrest,sup,ctrl,6
7435_liver_sham_Male_10-U1,7.361938632551805,0.00473439215361291,4208,-5869.856809566955,-1.394927949041577,0.9745743689635742,0.9528669350739105,-5869.751493283198,-1.394902921407604,-0.10531628375701985,Biliary/ductular,downstream_arrest,sup,ctrl,6
7259_liver_sbr_Male_26-U1,49.99999999999999,0.018342184745246723,31155,-44217.57173177695,-1.4192768971843028,0.9996635642587716,1.0006764890413977,-44207.030003808155,-1.4189385332629805,-10.541727968797204,Biliary/ductular,downstream_arrest,near,naive,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.0032300646313062394,27623,-39193.256681040686,-1.4188631459667918,0.9999895666824774,0.9998492199970511,-39195.339104162675,-1.4189385332571651,2.0824231219885405,Biliary/ductular,downstream_arrest,near,naive,6
7001_liver_sham_Male_52-U1,22.318425721029357,0.010047249453926717,21796,-30926.971647581664,-1.4189287781052333,0.9998990527784105,0.9999804891363555,-30927.18427070194,-1.418938533249309,0.21262312027465669,Biliary/ductular,downstream_arrest,near,naive,6
7248_liver_sham_Male_26-U1,49.99999999999999,0.009681393028365612,7958,-11291.765597081123,-1.418920029791546,0.9999062706290304,0.9999629935963971,-11291.912847495787,-1.4189385332364648,0.14725041466408584,Biliary/ductular,downstream_arrest,near,naive,6
7352_liver_sham_Male_2-U1,49.99999999999999,0.00834011399211527,3895,-5525.74351888747,-1.4186761280840743,0.9999304424985985,0.9994752085947916,-5526.765586945417,-1.41893853323374,1.022068057947763,Biliary/ductular,downstream_arrest,near,naive,6
7435_liver_sham_Male_10-U1,38.85968176362148,0.008491628487943695,4208,-5969.98818678072,-1.4187234284174715,0.9999278922456227,0.9995698066977232,-5970.893347848409,-1.4189385332339375,0.9051610676888231,Biliary/ductular,downstream_arrest,near,naive,6
7259_liver_sbr_Male_26-U1,14.911122358641625,0.020462733476572077,31155,-44218.75970345403,-1.4193150281962457,0.9995812765386671,1.0007526396291484,-44207.030003808155,-1.4189385332629805,-11.729699645875371,Biliary/ductular,downstream_arrest,sup,naive,6
7260_liver_sbr_Male_26-U1,49.99999999999999,-0.0046436362416733094,27623,-39198.02499864412,-1.4190357672462846,0.9999784366424548,1.0001944721037026,-39195.339104162675,-1.4189385332571651,-2.6858944814448478,Biliary/ductular,downstream_arrest,sup,naive,6
7001_liver_sham_Male_52-U1,12.818224546846722,0.014324780871451212,21796,-30928.945052445073,-1.4190193178769073,0.999794800652985,1.0001615290331092,-30927.18427070194,-1.418938533249309,-1.7607817431344301,Biliary/ductular,downstream_arrest,sup,naive,6
7248_liver_sham_Male_26-U1,13.48099749887925,0.011994219195316756,7958,-11292.02245064062,-1.4189523059362428,0.9998561387058947,1.0000275363781888,-11291.912847495787,-1.4189385332364648,-0.10960314483236289,Biliary/ductular,downstream_arrest,sup,naive,6
7352_liver_sham_Male_2-U1,12.818224546846722,0.010397804791098022,3895,-5525.510132736388,-1.4186162086614604,0.9998918856555262,0.9993553968870473,-5526.765586945417,-1.41893853323374,1.255454209029267,Biliary/ductular,downstream_arrest,sup,naive,6
7435_liver_sham_Male_10-U1,12.18803582947357,0.011051876795203298,4208,-5970.228015997198,-1.418780422052566,0.9998778560193037,0.999683802035235,-5970.893347848409,-1.4189385332339375,0.6653318512107944,Biliary/ductular,downstream_arrest,sup,naive,6
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.009898675078176213,31155,-43122.394112004404,-1.384124349606946,0.8702727950534932,0.930626916543635,-43121.820761406096,-1.3841059464421792,-0.5733505983080249,Biliary/ductular,emt_ecm,near,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.009159531558285482,27623,-38095.09982743594,-1.3791079834715976,0.8784941899530104,0.9223361175684822,-38094.999272656336,-1.3791043432160277,-0.10055477960122516,Biliary/ductular,emt_ecm,near,ctrl,6
7001_liver_sham_Male_52-U1,6.999999999999999,-0.004546100442600975,21796,-29112.46958427828,-1.3356794634005449,0.9016998495219362,0.844830470911504,-29114.106084820538,-1.3357545460093843,1.636500542259455,Biliary/ductular,emt_ecm,near,ctrl,6
7248_liver_sham_Male_26-U1,6.999999999999999,-0.006488908913229022,7958,-10772.091396857517,-1.353617918680261,0.8893705902859633,0.8774491131005108,-10773.088329073635,-1.353743192896913,0.9969322161177843,Biliary/ductular,emt_ecm,near,ctrl,6
7352_liver_sham_Male_2-U1,6.999999999999999,-0.007245559677219375,3895,-5227.0209619536045,-1.3419822752127355,0.8893937166130508,0.8567451600070801,-5227.472329660302,-1.3420981590912202,0.45136770669796533,Biliary/ductular,emt_ecm,near,ctrl,6
7435_liver_sham_Male_10-U1,6.999999999999999,-0.009114545324223275,4208,-5623.672099171588,-1.3364239779400162,0.8899430776153929,0.8468283752115306,-5622.572359269729,-1.3361626329063043,-1.0997399018597207,Biliary/ductular,emt_ecm,near,ctrl,6
7259_liver_sbr_Male_26-U1,42.98209161773131,-0.02817047929891181,31155,-43121.16038340499,-1.3840847499086821,0.869793483202329,0.93052483853558,-43121.820761406096,-1.3841059464421792,0.6603780011064373,Biliary/ductular,emt_ecm,sup,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,-0.028832348248782464,27623,-38093.10766837546,-1.3790358638951403,0.8780206906587981,0.922185860394771,-38094.999272656336,-1.3791043432160277,1.8916042808778002,Biliary/ductular,emt_ecm,sup,ctrl,6
