held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7259_liver_sbr_Male_26-U1,22.318425721029357,0.014340781195144797,32233,-45780.47679963278,-1.420298352608593,0.9629914769623646,1.0019425814557437,-45781.339259862514,-1.4203251096659484,0.8624602297350066,Biliary/ductular,downstream_arrest,near,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.004158759054803539,27995,-39285.72103622207,-1.403312057018113,0.980448586476229,0.9691609578014003,-39289.692181387305,-1.4034539089618612,3.9711451652328833,Biliary/ductular,downstream_arrest,near,ctrl,6
7001_liver_sham_Male_52-U1,17.345738419684505,0.016547646620202774,22161,-31188.19553111845,-1.407346037232907,0.9750254307477554,0.9770802618162302,-31185.07686464042,-1.4072053095365922,-3.1186664780288993,Biliary/ductular,downstream_arrest,near,ctrl,6
7248_liver_sham_Male_26-U1,18.24260882600192,0.01198097559214969,8094,-11365.800615770228,-1.4042254281900455,0.9751475611576828,0.9709923036527432,-11366.823666520193,-1.4043518243785758,1.0230507499654777,Biliary/ductular,downstream_arrest,near,ctrl,6
7352_liver_sham_Male_2-U1,27.304873519796445,0.01289270625480512,3935,-5540.44466877742,-1.4079910212903226,0.9746330360297093,0.9783369821771152,-5540.196244615465,-1.4079278893558995,-0.24842416195497208,Biliary/ductular,downstream_arrest,near,ctrl,6
7435_liver_sham_Male_10-U1,31.763081427768892,0.01340377636299417,3839,-5360.938727675097,-1.3964414502930702,0.9755711557670691,0.9557980263422395,-5359.997641148148,-1.3961963118385383,-0.9410865269483111,Biliary/ductular,downstream_arrest,near,ctrl,6
7259_liver_sbr_Male_26-U1,16.49296129703063,0.018117548453295596,32233,-45782.69488680214,-1.420367166779454,0.9628944679020234,1.0020712751730867,-45781.339259862514,-1.4203251096659484,-1.3556269396285643,Biliary/ductular,downstream_arrest,sup,ctrl,6
7260_liver_sbr_Male_26-U1,19.185852382096297,0.005090727276685682,27995,-39284.995335517335,-1.403286134506781,0.980441820285197,0.9691101864520338,-39289.692181387305,-1.4034539089618612,4.696845869970275,Biliary/ductular,downstream_arrest,sup,ctrl,6
7001_liver_sham_Male_52-U1,11.58882939190469,0.017823351322032322,22161,-31187.495233214984,-1.40731443676797,0.9749929004046667,0.9770185611684994,-31185.07686464042,-1.4072053095365922,-2.418368574562919,Biliary/ductular,downstream_arrest,sup,ctrl,6
7248_liver_sham_Male_26-U1,14.911122358641625,0.015514085049947833,8094,-11367.372873782611,-1.404419678006253,0.9750685879935378,0.9713715980487229,-11366.823666520193,-1.4043518243785758,-0.5492072624183493,Biliary/ductular,downstream_arrest,sup,ctrl,6
7352_liver_sham_Male_2-U1,14.911122358641625,0.014255738270951284,3935,-5539.642318417876,-1.4077871203094983,0.9746069345908044,0.9779393218051929,-5540.196244615465,-1.4079278893558995,0.553926197589135,Biliary/ductular,downstream_arrest,sup,ctrl,6
7435_liver_sham_Male_10-U1,14.911122358641625,0.015013128909706418,3839,-5360.445987685538,-1.3963130991626824,0.9755372191722389,0.9555482244648781,-5359.997641148148,-1.3961963118385383,-0.44834653738962515,Biliary/ductular,downstream_arrest,sup,ctrl,6
7259_liver_sbr_Male_26-U1,33.40540803599722,0.03539857949243772,32233,-45746.49734861477,-1.4192441705275578,0.9987469405699174,1.0006098068891378,-45736.64574263482,-1.4189385332620241,-9.851605979951273,Biliary/ductular,downstream_arrest,near,naive,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.01212996756917653,27995,-39703.669545974895,-1.4182414554732952,0.9998528638867707,0.9986059846929731,-39723.1842384825,-1.4189385332553135,19.514692507604195,Biliary/ductular,downstream_arrest,near,naive,6
7001_liver_sham_Male_52-U1,30.20149733539872,0.03329394592451948,22161,-31454.347615955703,-1.4193559684109789,0.9988915131647754,1.000833406151772,-31445.096835305514,-1.418938533247846,-9.250780650188972,Biliary/ductular,downstream_arrest,near,naive,6
7248_liver_sham_Male_26-U1,31.763081427768892,0.025997710847060127,8094,-11480.242508788433,-1.418364530366745,0.9993241190307125,0.9988525255357634,-11484.888488007538,-1.418938533235426,4.645979219105357,Biliary/ductular,downstream_arrest,near,naive,6
7352_liver_sham_Male_2-U1,42.98209161773131,0.02738983248501288,3935,-5583.637916533307,-1.4189677043286677,0.9992497970764427,1.0000580422084133,-5583.523128270962,-1.418938533232773,-0.11478826234542794,Biliary/ductular,downstream_arrest,near,naive,6
7435_liver_sham_Male_10-U1,49.99999999999999,0.026974034132339997,3839,-5446.439235387155,-1.418713007394414,0.9992724014826273,0.999549020084695,-5447.3050290803985,-1.4189385332327165,0.8657936932431767,Biliary/ductular,downstream_arrest,near,naive,6
7259_liver_sbr_Male_26-U1,21.2211739115045,0.04504671377749113,32233,-45755.13819827672,-1.4195122451610684,0.9979707935778485,1.0011431784361002,-45736.64574263482,-1.4189385332620241,-18.49245564189914,Biliary/ductular,downstream_arrest,sup,naive,6
7260_liver_sbr_Male_26-U1,40.868941774896264,0.018384094524740317,27995,-39697.260612906764,-1.4180125241259784,0.9996620250685055,0.998148485122991,-39723.1842384825,-1.4189385332553135,25.92362557573506,Biliary/ductular,downstream_arrest,sup,naive,6
7001_liver_sham_Male_52-U1,19.185852382096297,0.0389594873805792,22161,-31449.648494606892,-1.419143923767289,0.9984821583430427,1.0004090803104155,-31445.096835305514,-1.418938533247846,-4.551659301378095,Biliary/ductular,downstream_arrest,sup,naive,6
7248_liver_sham_Male_26-U1,20.177866835741543,0.034140585253959986,8094,-11482.45179145251,-1.4186374835004336,0.9988344204385169,0.9993979410314993,-11484.888488007538,-1.418938533235426,2.4366965550289024,Biliary/ductular,downstream_arrest,sup,naive,6
7352_liver_sham_Male_2-U1,21.2211739115045,0.03363382937156249,3935,-5581.754022041836,-1.4184889509636178,0.9988687655218045,0.999101219484793,-5583.523128270962,-1.418938533232773,1.7691062291260096,Biliary/ductular,downstream_arrest,sup,naive,6
7435_liver_sham_Male_10-U1,21.2211739115045,0.032706480500902586,3839,-5442.712557765352,-1.4177422656330692,0.998930286133244,0.9976094093635498,-5447.3050290803985,-1.4189385332327165,4.5924713150461685,Biliary/ductular,downstream_arrest,sup,naive,6
7259_liver_sbr_Male_26-U1,6.999999999999999,0.009159936487119253,32233,-44626.948801154474,-1.384511178021111,0.8733240033755757,0.931507564868281,-44626.8017145948,-1.3845066147921323,-0.14708655967115192,Biliary/ductular,emt_ecm,near,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,0.003617570107715086,27995,-38603.618743171886,-1.3789469099186242,0.8821635526399969,0.9222254387670928,-38605.20534344847,-1.379003584334648,1.58660027658334,Biliary/ductular,emt_ecm,near,ctrl,6
7001_liver_sham_Male_52-U1,6.999999999999999,0.008028175055754093,22161,-29644.228940953148,-1.3376755986170816,0.9040958449110448,0.8482864010355026,-29644.45183896413,-1.3376856567376982,0.22289801098304451,Biliary/ductular,emt_ecm,near,ctrl,6
7248_liver_sham_Male_26-U1,6.999999999999999,0.00740063109790251,8094,-10982.186851252489,-1.3568305968930676,0.8918287148442062,0.8831442046412844,-10982.410943206007,-1.356858283074624,0.22409195351792732,Biliary/ductular,emt_ecm,near,ctrl,6
7352_liver_sham_Male_2-U1,6.999999999999999,0.007513574640212655,3935,-5289.293154575878,-1.3441659859150898,0.8920724463185026,0.860539399878548,-5289.277757649788,-1.3441620731003274,-0.015396926090033958,Biliary/ductular,emt_ecm,near,ctrl,6
7435_liver_sham_Male_10-U1,6.999999999999999,0.007755897690971132,3839,-5134.0432060024705,-1.3373386835119745,0.8925151928060638,0.8483328271298829,-5133.838080600515,-1.3372852515239686,-0.20512540195522888,Biliary/ductular,emt_ecm,near,ctrl,6
7259_liver_sbr_Male_26-U1,6.999999999999999,0.01036678787495903,32233,-44626.94204939657,-1.3845109685538601,0.8733028913013136,0.931505801320668,-44626.8017145948,-1.3845066147921323,-0.14033480177022284,Biliary/ductular,emt_ecm,sup,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,-0.0035807317462428255,27995,-38604.41316519093,-1.3789752872009617,0.8821658092047636,0.92227562791999,-38605.20534344847,-1.379003584334648,0.792178257543128,Biliary/ductular,emt_ecm,sup,ctrl,6
7001_liver_sham_Male_52-U1,6.999999999999999,0.009870222264084905,22161,-29644.854282965083,-1.337703816748571,0.9040652957338398,0.8483393394718506,-29644.45183896413,-1.3376856567376982,-0.40244400095252786,Biliary/ductular,emt_ecm,sup,ctrl,6
