beta_true,sweep,subset,n,sel_rate,sf_n5,sf_n2,sf_n2n5,beta_naive,beta_nuis
1.0,clean,all,80,1.0,0.9767095882863964,1.000025866720766,0.9775670028339466,1.065252384249752,1.0060868145141462
1.0,clean,selected,80,1.0,0.9767095882863964,1.000025866720766,0.9775670028339466,1.065252384249752,1.0060868145141462
1.0,conf,all,180,1.0,0.8193857825530995,0.8782600956353981,0.818851226515104,1.469845498338593,1.2057104185244256
1.0,conf,selected,180,1.0,0.8193857825530995,0.8782600956353981,0.818851226515104,1.469845498338593,1.2057104185244256
1.0,main,all,600,1.0,0.8256930037458363,0.9339974993542497,0.8321109536538507,1.6432647933720193,1.3329549012166475
1.0,main,selected,600,1.0,0.8256930037458363,0.9339974993542497,0.8321109536538507,1.6432647933720193,1.3329549012166475
1.0,nsize,all,80,1.0,0.831184435057766,0.9451282728341772,0.8426544908519343,1.803055710098902,1.4743411095232366
1.0,nsize,selected,80,1.0,0.831184435057766,0.9451282728341772,0.8426544908519343,1.803055710098902,1.4743411095232366
1.0,prev,all,210,1.0,0.7973399134562105,0.9655020893928794,0.8059233251475584,1.9555706112098465,1.5320399500095778
1.0,prev,selected,210,1.0,0.7973399134562105,0.9655020893928794,0.8059233251475584,1.9555706112098465,1.5320399500095778
0.0,ALL,all,120,0.8666666666666667,0.41227177577287577,0.7748417670531702,0.35684916960618523,0.9460120023679399,0.48389752832465627
0.0,ALL,selected,104,0.8666666666666667,0.44536626179873184,0.7773580321491702,0.38147891137892653,1.0042933661346527,0.5443286029205037
1.0,ALL,all,1150,1.0,0.8251722939384867,0.9506961604992819,0.8310971398319846,1.7097532396858597,1.3713567141639083
1.0,ALL,selected,1150,1.0,0.8251722939384867,0.9506961604992819,0.8310971398319846,1.7097532396858597,1.3713567141639083
