section,config,n_cells,pearson_r,spearman_rho,anchor_sign_flipped,sign_alignment_ambiguous,abs_pearson_r,mean_abs_dz,p95_abs_dz,global_top5_n_called,global_top5_jaccard,global_top5_n_changed,global_top5_pct_of_called_changed,global_top1_n_called,global_top1_jaccard,global_top1_n_changed,global_top1_pct_of_called_changed,within_type_top5_n_called,within_type_top5_jaccard,within_type_top5_n_changed,within_type_top5_pct_of_called_changed,matched_top5_n_called,matched_top5_jaccard,matched_top5_n_changed,matched_top5_pct_of_called_changed
7239_liver_sbr_Male_52-U1,raw,75384,0.99999913,0.99999292,False,False,0.99999913,0.0011,0.0024,3770,0.9937,24,0.32,754,0.9921,6,0.4,3770,0.9981,7,0.11,3827,0.9984,6,0.08
7259_liver_sbr_Male_26-U1,raw,114721,0.99999995,0.99999861,False,False,0.99999995,0.0002,0.0005,5736,0.9997,2,0.02,1148,0.9983,2,0.09,5741,0.999,6,0.05,5768,0.9997,2,0.02
7239_liver_sbr_Male_52-U1,mor,75384,0.99921725,0.99923602,False,False,0.99921725,0.0289,0.084,3770,0.92,314,4.16,754,0.8733,102,6.76,3770,0.9152,334,4.43,3827,0.9154,338,4.42
7248_liver_sham_Male_26-U1,mor,195443,0.99791975,0.998327,False,False,0.99791975,0.0461,0.1377,9773,0.8756,1296,6.63,1955,0.8127,404,10.33,9776,0.881,1237,6.32,9813,0.881,1242,6.32
7259_liver_sbr_Male_26-U1,mor,114721,0.99929147,0.99927706,False,False,0.99929147,0.0278,0.0783,5736,0.9162,502,4.38,1148,0.8851,140,6.1,5741,0.9306,413,3.61,5768,0.9299,419,3.64
7450_liver_sbr_Male_10-U1,mor,81428,0.9996846,0.99961343,False,False,0.9996846,0.0182,0.0522,4072,0.96,166,2.04,815,0.9451,46,2.82,4076,0.9528,197,2.43,4084,0.9459,227,2.77
7259_liver_sbr_Male_26-U1,lib,114721,0.84283271,0.82247468,False,False,0.84283271,0.4534,1.1207,5736,0.3664,5320,46.37,1148,0.3372,1138,49.56,5741,0.3792,5089,45.85,5768,0.379,5178,45.21
7352_liver_sham_Male_2-U1,lib,122380,-0.01697105,0.01323679,True,True,0.01697105,1.1772,2.5732,6119,0.0,12236,100.0,1224,0.0,2448,100.0,6121,0.0486,11099,90.74,6160,0.0458,11232,91.25
7239_liver_sbr_Male_52-U1,dca,75384,0.71825356,0.69296828,False,False,0.71825356,0.5924,1.4894,3770,0.2804,4238,56.21,754,0.1573,1098,72.81,3770,0.1316,5786,76.74,3827,0.142,5750,75.12
7259_liver_sbr_Male_26-U1,dca,114721,0.61385715,0.62105356,False,False,0.61385715,0.7009,1.7284,5736,0.1412,8634,75.26,1148,0.0408,2116,92.16,5741,0.0733,9913,86.34,5768,0.0916,9600,83.22
7352_liver_sham_Male_2-U1,dca,122380,0.67122572,0.67268335,False,False,0.67122572,0.6605,1.5087,6119,0.1184,9646,78.82,1224,0.0584,2178,88.97,6121,0.0898,10225,83.52,6160,0.0768,10563,85.73
