section,config,cell_type,bg_pct,call_pct_committed,call_pct_alt,enrich_committed,enrich_alt
7239_liver_sbr_Male_52-U1,raw,Hepatocytes,36.134,71.512,71.22,1.979,1.971
7239_liver_sbr_Male_52-U1,raw,Biliary/ductular,22.2,26.552,26.844,1.196,1.209
7239_liver_sbr_Male_52-U1,raw,Hepatic stellate cells,11.509,0.557,0.557,0.048,0.048
7239_liver_sbr_Male_52-U1,raw,LSECs,10.131,0.292,0.292,0.029,0.029
7239_liver_sbr_Male_52-U1,raw,Kupffer cells,9.036,0.265,0.265,0.029,0.029
7239_liver_sbr_Male_52-U1,raw,T/NK cells,3.007,0.212,0.212,0.071,0.071
7239_liver_sbr_Male_52-U1,raw,DC,2.7,0.053,0.053,0.02,0.02
7239_liver_sbr_Male_52-U1,raw,vSMCs,2.217,0.053,0.053,0.024,0.024
7239_liver_sbr_Male_52-U1,raw,B-cells,1.208,0.053,0.053,0.044,0.044
7239_liver_sbr_Male_52-U1,raw,Proliferating,0.919,0.345,0.345,0.375,0.375
7239_liver_sbr_Male_52-U1,raw,Central venous LSECs,0.877,0.106,0.106,0.121,0.121
7239_liver_sbr_Male_52-U1,raw,Mesothelial cells,0.062,0.0,0.0,0.0,0.0
7259_liver_sbr_Male_26-U1,raw,Biliary/ductular,28.595,28.365,28.365,0.992,0.992
7259_liver_sbr_Male_26-U1,raw,Hepatocytes,26.24,64.505,64.487,2.458,2.458
7259_liver_sbr_Male_26-U1,raw,Hepatic stellate cells,13.179,1.22,1.22,0.093,0.093
7259_liver_sbr_Male_26-U1,raw,Kupffer cells,11.517,0.872,0.872,0.076,0.076
7259_liver_sbr_Male_26-U1,raw,LSECs,11.3,2.789,2.789,0.247,0.247
7259_liver_sbr_Male_26-U1,raw,T/NK cells,5.498,0.75,0.767,0.136,0.14
7259_liver_sbr_Male_26-U1,raw,DC,2.412,0.105,0.105,0.043,0.043
7259_liver_sbr_Male_26-U1,raw,B-cells,0.673,0.105,0.105,0.155,0.155
7259_liver_sbr_Male_26-U1,raw,Proliferating,0.588,1.29,1.29,2.196,2.196
7239_liver_sbr_Male_52-U1,mor,Hepatocytes,36.134,71.512,69.151,1.979,1.914
7239_liver_sbr_Male_52-U1,mor,Biliary/ductular,22.2,26.552,28.833,1.196,1.299
7239_liver_sbr_Male_52-U1,mor,Hepatic stellate cells,11.509,0.557,0.61,0.048,0.053
7239_liver_sbr_Male_52-U1,mor,LSECs,10.131,0.292,0.265,0.029,0.026
7239_liver_sbr_Male_52-U1,mor,Kupffer cells,9.036,0.265,0.292,0.029,0.032
7239_liver_sbr_Male_52-U1,mor,T/NK cells,3.007,0.212,0.239,0.071,0.079
7239_liver_sbr_Male_52-U1,mor,DC,2.7,0.053,0.08,0.02,0.029
7239_liver_sbr_Male_52-U1,mor,vSMCs,2.217,0.053,0.08,0.024,0.036
7239_liver_sbr_Male_52-U1,mor,B-cells,1.208,0.053,0.053,0.044,0.044
7239_liver_sbr_Male_52-U1,mor,Proliferating,0.919,0.345,0.292,0.375,0.317
7239_liver_sbr_Male_52-U1,mor,Central venous LSECs,0.877,0.106,0.106,0.121,0.121
7239_liver_sbr_Male_52-U1,mor,Mesothelial cells,0.062,0.0,0.0,0.0,0.0
7248_liver_sham_Male_26-U1,mor,Hepatocytes,55.099,89.543,90.637,1.625,1.645
7248_liver_sham_Male_26-U1,mor,LSECs,16.57,1.791,1.637,0.108,0.099
7248_liver_sham_Male_26-U1,mor,Hepatic stellate cells,8.069,0.624,0.583,0.077,0.072
7248_liver_sham_Male_26-U1,mor,Kupffer cells,7.353,0.593,0.563,0.081,0.077
7248_liver_sham_Male_26-U1,mor,Biliary/ductular,4.305,6.487,5.71,1.507,1.326
7248_liver_sham_Male_26-U1,mor,vSMCs,3.492,0.46,0.44,0.132,0.126
7248_liver_sham_Male_26-U1,mor,T/NK cells,2.654,0.246,0.184,0.093,0.069
7248_liver_sham_Male_26-U1,mor,Central venous LSECs,1.259,0.123,0.113,0.098,0.089
7248_liver_sham_Male_26-U1,mor,B-cells,0.671,0.102,0.092,0.153,0.137
7248_liver_sham_Male_26-U1,mor,Proliferating,0.529,0.031,0.041,0.058,0.077
7259_liver_sbr_Male_26-U1,mor,Biliary/ductular,28.595,28.365,30.561,0.992,1.069
7259_liver_sbr_Male_26-U1,mor,Hepatocytes,26.24,64.505,62.727,2.458,2.39
7259_liver_sbr_Male_26-U1,mor,Hepatic stellate cells,13.179,1.22,1.255,0.093,0.095
7259_liver_sbr_Male_26-U1,mor,Kupffer cells,11.517,0.872,0.837,0.076,0.073
7259_liver_sbr_Male_26-U1,mor,LSECs,11.3,2.789,2.545,0.247,0.225
