section,config,depth_decile,n,median_counts,mean_dz,mean_abs_dz,pct_called_committed,pct_called_alt,pct_flipped
7239_liver_sbr_Male_52-U1,raw,1,7592,281.0,0.0006,0.0012,2.384,2.397,0.013
7239_liver_sbr_Male_52-U1,raw,2,7548,433.0,0.0006,0.0011,3.736,3.789,0.053
7239_liver_sbr_Male_52-U1,raw,3,7515,555.0,0.0005,0.0011,3.566,3.58,0.04
7239_liver_sbr_Male_52-U1,raw,4,7547,679.0,0.0005,0.0011,3.233,3.26,0.027
7239_liver_sbr_Male_52-U1,raw,5,7493,822.0,0.0004,0.001,2.642,2.656,0.013
7239_liver_sbr_Male_52-U1,raw,6,7538,1017.0,0.0002,0.001,2.759,2.759,0.0
7239_liver_sbr_Male_52-U1,raw,7,7554,1320.0,-0.0001,0.001,3.614,3.627,0.013
7239_liver_sbr_Male_52-U1,raw,8,7521,1855.0,-0.0006,0.001,6.555,6.515,0.066
7239_liver_sbr_Male_52-U1,raw,9,7540,2758.0,-0.001,0.0011,10.663,10.623,0.04
7239_liver_sbr_Male_52-U1,raw,10,7536,4457.0,-0.0011,0.0012,10.868,10.815,0.053
7259_liver_sbr_Male_26-U1,raw,1,11585,160.0,0.0,0.0002,5.896,5.896,0.0
7259_liver_sbr_Male_26-U1,raw,2,11456,243.0,0.0,0.0002,4.33,4.33,0.0
7259_liver_sbr_Male_26-U1,raw,3,11462,310.0,0.0,0.0002,3.246,3.246,0.0
7259_liver_sbr_Male_26-U1,raw,4,11392,376.0,0.0,0.0002,3.222,3.222,0.0
7259_liver_sbr_Male_26-U1,raw,5,11567,449.0,0.0,0.0002,2.602,2.611,0.009
7259_liver_sbr_Male_26-U1,raw,6,11460,539.0,-0.0,0.0002,2.426,2.426,0.0
7259_liver_sbr_Male_26-U1,raw,7,11435,658.0,-0.0,0.0002,2.317,2.317,0.0
7259_liver_sbr_Male_26-U1,raw,8,11423,851.0,-0.0,0.0001,4.044,4.044,0.0
7259_liver_sbr_Male_26-U1,raw,9,11474,1325.0,-0.0,0.0001,9.77,9.77,0.0
7259_liver_sbr_Male_26-U1,raw,10,11467,2648.0,-0.0,0.0001,12.13,12.122,0.009
7239_liver_sbr_Male_52-U1,mor,1,7592,281.0,0.0087,0.0274,2.384,2.424,0.171
7239_liver_sbr_Male_52-U1,mor,2,7548,433.0,0.0097,0.0316,3.736,3.975,0.53
7239_liver_sbr_Male_52-U1,mor,3,7515,555.0,0.0094,0.0316,3.566,3.846,0.492
7239_liver_sbr_Male_52-U1,mor,4,7547,679.0,0.0071,0.0302,3.233,3.405,0.384
7239_liver_sbr_Male_52-U1,mor,5,7493,822.0,0.0039,0.0303,2.642,2.829,0.374
7239_liver_sbr_Male_52-U1,mor,6,7538,1017.0,0.0001,0.029,2.759,2.786,0.239
7239_liver_sbr_Male_52-U1,mor,7,7554,1320.0,-0.0041,0.0274,3.614,3.68,0.199
7239_liver_sbr_Male_52-U1,mor,8,7521,1855.0,-0.009,0.0275,6.555,6.382,0.412
7239_liver_sbr_Male_52-U1,mor,9,7540,2758.0,-0.011,0.0273,10.663,10.239,0.69
7239_liver_sbr_Male_52-U1,mor,10,7536,4457.0,-0.0149,0.0272,10.868,10.456,0.677
7248_liver_sham_Male_26-U1,mor,1,19628,262.0,-0.0171,0.0635,2.405,2.201,0.295
7248_liver_sham_Male_26-U1,mor,2,19552,463.0,-0.005,0.0575,3.018,2.828,0.353
7248_liver_sham_Male_26-U1,mor,3,19498,625.0,-0.0006,0.0516,2.923,2.8,0.318
7248_liver_sham_Male_26-U1,mor,4,19558,804.0,-0.0006,0.0477,3.369,3.272,0.424
7248_liver_sham_Male_26-U1,mor,5,19533,1017.0,0.001,0.0449,3.896,3.922,0.466
7248_liver_sham_Male_26-U1,mor,6,19520,1273.0,0.0034,0.0424,5.097,5.169,0.727
7248_liver_sham_Male_26-U1,mor,7,19557,1586.0,0.0052,0.0407,6.013,6.177,0.859
7248_liver_sham_Male_26-U1,mor,8,19524,1968.0,0.0054,0.0393,7.155,7.263,0.937
7248_liver_sham_Male_26-U1,mor,9,19529,2494.0,0.0052,0.0378,7.937,8.06,1.075
7248_liver_sham_Male_26-U1,mor,10,19544,3493.0,0.0031,0.0357,8.202,8.325,1.177
7259_liver_sbr_Male_26-U1,mor,1,11585,160.0,0.0055,0.0252,5.896,5.973,0.561
