section,config,n_cells,median_transcript_counts,rho_depth_committed,rho_depth_alt,delta_rho_depth,rho_signed_dz_vs_depth,rho_abs_dz_vs_depth,pct_cells_flipping_top5
7239_liver_sbr_Male_52-U1,raw,75384,911.0,0.3891,0.3885,-0.0006,-0.4673,-0.0209,0.0318
7259_liver_sbr_Male_26-U1,raw,114721,491.0,0.3176,0.3176,-0.0,-0.1583,-0.08,0.0017
7239_liver_sbr_Male_52-U1,mor,75384,911.0,0.3891,0.3804,-0.0087,-0.2022,0.0054,0.4165
7248_liver_sham_Male_26-U1,mor,195443,1138.0,0.4571,0.4616,0.0046,0.0799,-0.1335,0.6631
7259_liver_sbr_Male_26-U1,mor,114721,491.0,0.3176,0.3129,-0.0047,-0.1349,0.0682,0.4376
7450_liver_sbr_Male_10-U1,mor,81428,869.0,0.5577,0.5591,0.0014,0.1517,-0.0762,0.2039
7259_liver_sbr_Male_26-U1,lib,114721,491.0,0.3176,0.0819,-0.2357,-0.3967,-0.1539,4.6373
7352_liver_sham_Male_2-U1,lib,122380,710.0,0.4096,0.0289,-0.3807,-0.2918,-0.0747,9.9984
7239_liver_sbr_Male_52-U1,dca,75384,911.0,0.3891,0.6404,0.2512,0.3132,-0.1799,5.6219
7259_liver_sbr_Male_26-U1,dca,114721,491.0,0.3176,0.5314,0.2138,0.3369,-0.0004,7.5261
7352_liver_sham_Male_2-U1,dca,122380,710.0,0.4096,0.5419,0.1323,0.2561,-0.2248,7.882
