section,call,n_scored,n_senders,prevalence_pct,n_all,frac_cells_scored
SPLN07,tierA_p90,206979,20701,10.001,206979,1.0
SPLN07,tierA_merged_p90,206979,20701,10.001,206979,1.0
SPLN07,senepy_p90,196048,19597,9.996,206979,0.9472
SPLN07,tierA_p95,206979,10355,5.003,206979,1.0
SPLN07,tierA_merged_p95,206979,10352,5.001,206979,1.0
SPLN07,senepy_p95,196048,9803,5.0,206979,0.9472
SPLN07,tierA_p99,206979,2076,1.003,206979,1.0
SPLN07,tierA_merged_p99,206979,2074,1.002,206979,1.0
SPLN07,senepy_p99,196048,1966,1.003,206979,0.9472
SPLN07,cdkn1a_pos,206979,4035,1.949,206979,1.0
SPLN07,tierApm_p95__downstream_arrest,206979,10356,5.003,206979,1.0
SPLN07,tierApm_p95__emt_ecm,206979,10354,5.002,206979,1.0
SPLN07,tierApm_p95__il6_jak_stat3,206979,10356,5.003,206979,1.0
SPLN07,tierApm_p95__interferon_response,206979,10356,5.003,206979,1.0
SPLN07,tierApm_p95__oxidative_stress,206979,10355,5.003,206979,1.0
SPLN07,tierApm_p95__secondary_senescence,206979,10356,5.003,206979,1.0
SPLN07,tierApm_p95__tnfa_nfkb_proximal,206979,10356,5.003,206979,1.0
SPLN14,tierA_p90,193521,19354,10.001,193521,1.0
SPLN14,tierA_merged_p90,193521,19348,9.998,193521,1.0
SPLN14,senepy_p90,193521,19344,9.996,193521,1.0
SPLN14,tierA_p95,193521,9680,5.002,193521,1.0
SPLN14,tierA_merged_p95,193521,9672,4.998,193521,1.0
SPLN14,senepy_p95,193521,9678,5.001,193521,1.0
SPLN14,tierA_p99,193521,1940,1.002,193521,1.0
SPLN14,tierA_merged_p99,193521,1934,0.999,193521,1.0
SPLN14,senepy_p99,193521,1937,1.001,193521,1.0
SPLN14,cdkn1a_pos,193521,2954,1.526,193521,1.0
SPLN14,tierApm_p95__downstream_arrest,193521,9679,5.002,193521,1.0
SPLN14,tierApm_p95__emt_ecm,193521,9680,5.002,193521,1.0
SPLN14,tierApm_p95__il6_jak_stat3,193521,9678,5.001,193521,1.0
SPLN14,tierApm_p95__interferon_response,193521,9679,5.002,193521,1.0
SPLN14,tierApm_p95__oxidative_stress,193521,9679,5.002,193521,1.0
SPLN14,tierApm_p95__secondary_senescence,193521,9678,5.001,193521,1.0
SPLN14,tierApm_p95__tnfa_nfkb_proximal,193521,9680,5.002,193521,1.0
SPLN21,tierA_p90,150516,15055,10.002,150516,1.0
SPLN21,tierA_merged_p90,150516,14951,9.933,150516,1.0
SPLN21,senepy_p90,147775,14777,10.0,150516,0.9818
SPLN21,tierA_p95,150516,7529,5.002,150516,1.0
SPLN21,tierA_merged_p95,150516,7456,4.954,150516,1.0
SPLN21,senepy_p95,147775,7389,5.0,150516,0.9818
SPLN21,tierA_p99,150516,1510,1.003,150516,1.0
SPLN21,tierA_merged_p99,150516,1480,0.983,150516,1.0
SPLN21,senepy_p99,147775,1484,1.004,150516,0.9818
SPLN21,cdkn1a_pos,150516,3451,2.293,150516,1.0
SPLN21,tierApm_p95__downstream_arrest,150516,7530,5.003,150516,1.0
SPLN21,tierApm_p95__emt_ecm,150516,7529,5.002,150516,1.0
SPLN21,tierApm_p95__il6_jak_stat3,150516,7530,5.003,150516,1.0
SPLN21,tierApm_p95__interferon_response,150516,7530,5.003,150516,1.0
SPLN21,tierApm_p95__oxidative_stress,150516,7528,5.001,150516,1.0
SPLN21,tierApm_p95__secondary_senescence,150516,7530,5.003,150516,1.0
SPLN21,tierApm_p95__tnfa_nfkb_proximal,150516,7530,5.003,150516,1.0
SPLN24,tierA_p90,322209,32225,10.001,322209,1.0
SPLN24,tierA_merged_p90,322209,32423,10.063,322209,1.0
SPLN24,senepy_p90,304702,30470,10.0,322209,0.9457
SPLN24,tierA_p95,322209,16116,5.002,322209,1.0
SPLN24,tierA_merged_p95,322209,16224,5.035,322209,1.0
SPLN24,senepy_p95,304702,15236,5.0,322209,0.9457
SPLN24,tierA_p99,322209,3228,1.002,322209,1.0
SPLN24,tierA_merged_p99,322209,3245,1.007,322209,1.0
SPLN24,senepy_p99,304702,3051,1.001,322209,0.9457
SPLN24,cdkn1a_pos,322209,23864,7.406,322209,1.0
SPLN24,tierApm_p95__downstream_arrest,322209,16116,5.002,322209,1.0
SPLN24,tierApm_p95__emt_ecm,322209,16116,5.002,322209,1.0
SPLN24,tierApm_p95__il6_jak_stat3,322209,16116,5.002,322209,1.0
SPLN24,tierApm_p95__interferon_response,322209,16116,5.002,322209,1.0
SPLN24,tierApm_p95__oxidative_stress,322209,16116,5.002,322209,1.0
SPLN24,tierApm_p95__secondary_senescence,322209,16116,5.002,322209,1.0
SPLN24,tierApm_p95__tnfa_nfkb_proximal,322209,16116,5.002,322209,1.0
SPLN30,tierA_p90,233748,23372,9.999,233748,1.0
SPLN30,tierA_merged_p90,233748,23373,9.999,233748,1.0
SPLN30,senepy_p90,233748,23066,9.868,233748,1.0
SPLN30,tierA_p95,233748,11691,5.002,233748,1.0
SPLN30,tierA_merged_p95,233748,11688,5.0,233748,1.0
SPLN30,senepy_p95,233748,11688,5.0,233748,1.0
SPLN30,tierA_p99,233748,2341,1.002,233748,1.0
SPLN30,tierA_merged_p99,233748,2339,1.001,233748,1.0
SPLN30,senepy_p99,233748,2338,1.0,233748,1.0
SPLN30,cdkn1a_pos,233748,3263,1.396,233748,1.0
SPLN30,tierApm_p95__downstream_arrest,233748,11692,5.002,233748,1.0
SPLN30,tierApm_p95__emt_ecm,233748,11691,5.002,233748,1.0
SPLN30,tierApm_p95__il6_jak_stat3,233748,11692,5.002,233748,1.0
SPLN30,tierApm_p95__interferon_response,233748,11691,5.002,233748,1.0
