section,label_set,cell_type,call,n_all,n_senders_all,n_nonsenders_all,prevalence_pct_all,n_scored,n_senders_scored,n_nonsenders_scored,prevalence_pct_scored,pass_band,pass_senders,pass_nonsenders,passes_A3
SPLN14,fine,CD8 T cells,tierA_p90,457,46,411,10.066,457,46,411,10.066,True,False,False,False
SPLN14,fine,Endothelial cells,tierA_p90,50036,5004,45032,10.001,50036,5004,45032,10.001,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,tierA_p90,7210,721,6489,10.0,7210,721,6489,10.0,True,True,True,True
SPLN14,fine,Fibroblasts,tierA_p90,23546,2355,21191,10.002,23546,2355,21191,10.002,True,True,True,True
SPLN14,fine,Follicular B cells,tierA_p90,51591,5159,46432,10.0,51591,5159,46432,10.0,True,True,True,True
SPLN14,fine,Monocytes,tierA_p90,6842,685,6157,10.012,6842,685,6157,10.012,True,True,True,True
SPLN14,fine,Plasma cells,tierA_p90,15929,1593,14336,10.001,15929,1593,14336,10.001,True,True,True,True
SPLN14,fine,Red pulp macrophages,tierA_p90,27310,2731,24579,10.0,27310,2731,24579,10.0,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,tierA_p90,10600,1060,9540,10.0,10600,1060,9540,10.0,True,True,True,True
SPLN14,fine,CD8 T cells,senepy_p90,457,46,411,10.066,457,46,411,10.066,True,False,False,False
SPLN14,fine,Endothelial cells,senepy_p90,50036,5004,45032,10.001,50036,5004,45032,10.001,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,senepy_p90,7210,721,6489,10.0,7210,721,6489,10.0,True,True,True,True
SPLN14,fine,Fibroblasts,senepy_p90,23546,2355,21191,10.002,23546,2355,21191,10.002,True,True,True,True
SPLN14,fine,Follicular B cells,senepy_p90,51591,5153,46438,9.988,51591,5153,46438,9.988,True,True,True,True
SPLN14,fine,Monocytes,senepy_p90,6842,685,6157,10.012,6842,685,6157,10.012,True,True,True,True
SPLN14,fine,Plasma cells,senepy_p90,15929,1589,14340,9.976,15929,1589,14340,9.976,True,True,True,True
SPLN14,fine,Red pulp macrophages,senepy_p90,27310,2731,24579,10.0,27310,2731,24579,10.0,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,senepy_p90,10600,1060,9540,10.0,10600,1060,9540,10.0,True,True,True,True
SPLN14,fine,CD8 T cells,tierA_p95,457,23,434,5.033,457,23,434,5.033,True,False,False,False
SPLN14,fine,Endothelial cells,tierA_p95,50036,2502,47534,5.0,50036,2502,47534,5.0,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,tierA_p95,7210,361,6849,5.007,7210,361,6849,5.007,True,True,True,True
SPLN14,fine,Fibroblasts,tierA_p95,23546,1178,22368,5.003,23546,1178,22368,5.003,True,True,True,True
SPLN14,fine,Follicular B cells,tierA_p95,51591,2580,49011,5.001,51591,2580,49011,5.001,True,True,True,True
SPLN14,fine,Monocytes,tierA_p95,6842,343,6499,5.013,6842,343,6499,5.013,True,True,True,True
SPLN14,fine,Plasma cells,tierA_p95,15929,797,15132,5.003,15929,797,15132,5.003,True,True,True,True
SPLN14,fine,Red pulp macrophages,tierA_p95,27310,1366,25944,5.002,27310,1366,25944,5.002,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,tierA_p95,10600,530,10070,5.0,10600,530,10070,5.0,True,True,True,True
SPLN14,fine,CD8 T cells,senepy_p95,457,23,434,5.033,457,23,434,5.033,True,False,False,False
SPLN14,fine,Endothelial cells,senepy_p95,50036,2502,47534,5.0,50036,2502,47534,5.0,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,senepy_p95,7210,361,6849,5.007,7210,361,6849,5.007,True,True,True,True
SPLN14,fine,Fibroblasts,senepy_p95,23546,1178,22368,5.003,23546,1178,22368,5.003,True,True,True,True
SPLN14,fine,Follicular B cells,senepy_p95,51591,2578,49013,4.997,51591,2578,49013,4.997,True,True,True,True
SPLN14,fine,Monocytes,senepy_p95,6842,343,6499,5.013,6842,343,6499,5.013,True,True,True,True
SPLN14,fine,Plasma cells,senepy_p95,15929,797,15132,5.003,15929,797,15132,5.003,True,True,True,True
SPLN14,fine,Red pulp macrophages,senepy_p95,27310,1366,25944,5.002,27310,1366,25944,5.002,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,senepy_p95,10600,530,10070,5.0,10600,530,10070,5.0,True,True,True,True
SPLN14,fine,CD8 T cells,tierA_p99,457,5,452,1.094,457,5,452,1.094,True,False,False,False
SPLN14,fine,Endothelial cells,tierA_p99,50036,501,49535,1.001,50036,501,49535,1.001,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,tierA_p99,7210,73,7137,1.012,7210,73,7137,1.012,True,False,True,False
SPLN14,fine,Fibroblasts,tierA_p99,23546,236,23310,1.002,23546,236,23310,1.002,True,True,True,True
SPLN14,fine,Follicular B cells,tierA_p99,51591,516,51075,1.0,51591,516,51075,1.0,True,True,True,True
SPLN14,fine,Monocytes,tierA_p99,6842,69,6773,1.008,6842,69,6773,1.008,True,False,True,False
SPLN14,fine,Plasma cells,tierA_p99,15929,160,15769,1.004,15929,160,15769,1.004,True,False,True,False
SPLN14,fine,Red pulp macrophages,tierA_p99,27310,274,27036,1.003,27310,274,27036,1.003,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,tierA_p99,10600,106,10494,1.0,10600,106,10494,1.0,True,False,True,False
SPLN14,fine,CD8 T cells,senepy_p99,457,5,452,1.094,457,5,452,1.094,True,False,False,False
SPLN14,fine,Endothelial cells,senepy_p99,50036,501,49535,1.001,50036,501,49535,1.001,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,senepy_p99,7210,73,7137,1.012,7210,73,7137,1.012,True,False,True,False
SPLN14,fine,Fibroblasts,senepy_p99,23546,236,23310,1.002,23546,236,23310,1.002,True,True,True,True
SPLN14,fine,Follicular B cells,senepy_p99,51591,513,51078,0.994,51591,513,51078,0.994,False,True,True,False
SPLN14,fine,Monocytes,senepy_p99,6842,69,6773,1.008,6842,69,6773,1.008,True,False,True,False
SPLN14,fine,Plasma cells,senepy_p99,15929,160,15769,1.004,15929,160,15769,1.004,True,False,True,False
SPLN14,fine,Red pulp macrophages,senepy_p99,27310,274,27036,1.003,27310,274,27036,1.003,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,senepy_p99,10600,106,10494,1.0,10600,106,10494,1.0,True,False,True,False
SPLN14,fine,CD8 T cells,cdkn1a_pos,457,32,425,7.002,457,32,425,7.002,True,False,False,False
SPLN14,fine,Endothelial cells,cdkn1a_pos,50036,930,49106,1.859,50036,930,49106,1.859,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,cdkn1a_pos,7210,181,7029,2.51,7210,181,7029,2.51,True,False,True,False
SPLN14,fine,Fibroblasts,cdkn1a_pos,23546,400,23146,1.699,23546,400,23146,1.699,True,True,True,True
SPLN14,fine,Follicular B cells,cdkn1a_pos,51591,376,51215,0.729,51591,376,51215,0.729,False,True,True,False
SPLN14,fine,Monocytes,cdkn1a_pos,6842,144,6698,2.105,6842,144,6698,2.105,True,False,True,False
SPLN14,fine,Plasma cells,cdkn1a_pos,15929,382,15547,2.398,15929,382,15547,2.398,True,True,True,True
SPLN14,fine,Red pulp macrophages,cdkn1a_pos,27310,224,27086,0.82,27310,224,27086,0.82,False,True,True,False
SPLN14,fine,Smooth muscle / capsule,cdkn1a_pos,10600,285,10315,2.689,10600,285,10315,2.689,True,True,True,True
SPLN14,fine,CD8 T cells,tierApm_p95__downstream_arrest,457,23,434,5.033,457,23,434,5.033,True,False,False,False
SPLN14,fine,Endothelial cells,tierApm_p95__downstream_arrest,50036,2502,47534,5.0,50036,2502,47534,5.0,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,tierApm_p95__downstream_arrest,7210,361,6849,5.007,7210,361,6849,5.007,True,True,True,True
SPLN14,fine,Fibroblasts,tierApm_p95__downstream_arrest,23546,1178,22368,5.003,23546,1178,22368,5.003,True,True,True,True
SPLN14,fine,Follicular B cells,tierApm_p95__downstream_arrest,51591,2580,49011,5.001,51591,2580,49011,5.001,True,True,True,True
SPLN14,fine,Monocytes,tierApm_p95__downstream_arrest,6842,342,6500,4.999,6842,342,6500,4.999,True,True,True,True
SPLN14,fine,Plasma cells,tierApm_p95__downstream_arrest,15929,797,15132,5.003,15929,797,15132,5.003,True,True,True,True
SPLN14,fine,Red pulp macrophages,tierApm_p95__downstream_arrest,27310,1366,25944,5.002,27310,1366,25944,5.002,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,tierApm_p95__downstream_arrest,10600,530,10070,5.0,10600,530,10070,5.0,True,True,True,True
SPLN14,fine,CD8 T cells,tierApm_p95__emt_ecm,457,23,434,5.033,457,23,434,5.033,True,False,False,False
SPLN14,fine,Endothelial cells,tierApm_p95__emt_ecm,50036,2502,47534,5.0,50036,2502,47534,5.0,True,True,True,True
SPLN14,fine,Fibroblastic reticular cells,tierApm_p95__emt_ecm,7210,361,6849,5.007,7210,361,6849,5.007,True,True,True,True
SPLN14,fine,Fibroblasts,tierApm_p95__emt_ecm,23546,1178,22368,5.003,23546,1178,22368,5.003,True,True,True,True
SPLN14,fine,Follicular B cells,tierApm_p95__emt_ecm,51591,2580,49011,5.001,51591,2580,49011,5.001,True,True,True,True
SPLN14,fine,Monocytes,tierApm_p95__emt_ecm,6842,343,6499,5.013,6842,343,6499,5.013,True,True,True,True
SPLN14,fine,Plasma cells,tierApm_p95__emt_ecm,15929,797,15132,5.003,15929,797,15132,5.003,True,True,True,True
SPLN14,fine,Red pulp macrophages,tierApm_p95__emt_ecm,27310,1366,25944,5.002,27310,1366,25944,5.002,True,True,True,True
SPLN14,fine,Smooth muscle / capsule,tierApm_p95__emt_ecm,10600,530,10070,5.0,10600,530,10070,5.0,True,True,True,True
