call,n_strata,n_pass,n_pass_band,n_pass_senders,n_pass_nonsenders,median_prevalence,min_prevalence,max_prevalence,pct_pass,n_types_pass_all_sections
cdkn1a_pos,76,42,64,50,60,2.6865,0.155,13.277,55.3,2
senepy_p90,76,55,65,62,55,10.001,9.507,10.066,72.4,7
senepy_p95,76,55,65,58,55,5.002,4.969,5.051,72.4,7
senepy_p99,76,24,59,30,55,1.003,0.994,1.094,31.6,1
tierA_merged_p90,76,59,75,69,59,10.001,6.952,25.039,77.6,7
tierA_merged_p95,76,60,76,66,60,5.001,3.57,14.488,78.9,7
tierA_merged_p99,76,22,51,29,60,1.003,0.219,2.913,28.9,2
tierA_p90,76,59,76,69,59,10.002,9.976,10.103,77.6,7
tierA_p95,76,60,76,63,60,5.002,4.993,5.137,78.9,7
tierA_p99,76,29,74,30,60,1.0034999999999998,0.991,1.094,38.2,2
tierApm_p95__downstream_arrest,76,60,76,63,60,5.002,4.993,5.137,78.9,7
tierApm_p95__emt_ecm,76,60,76,63,60,5.0024999999999995,4.993,5.137,78.9,7
tierApm_p95__il6_jak_stat3,76,60,76,63,60,5.002,4.993,5.137,78.9,7
tierApm_p95__interferon_response,76,60,76,63,60,5.0024999999999995,4.993,5.137,78.9,7
tierApm_p95__oxidative_stress,76,60,76,63,60,5.0024999999999995,4.99,5.137,78.9,7
tierApm_p95__secondary_senescence,76,60,76,63,60,5.002,4.993,5.137,78.9,7
tierApm_p95__tnfa_nfkb_proximal,76,60,76,63,60,5.002,4.991,5.137,78.9,7
