section,call,seed,n_senders,prevalence,n_matched,match_rate,max_smd_before,max_smd_after,passes_A5
SPLN07,tierA_p90,20260820,20701,0.09104943701618579,20700,0.999952,0.2951,0.0093,True
SPLN07,tierA_p95,20260821,10355,0.0455445109078114,10353,0.999807,0.4265,0.0152,True
SPLN07,tierA_p99,20260822,2076,0.009130893736805068,2076,1.0,0.5924,0.0567,True
SPLN07,cdkn1a_pos,20260823,4035,0.017747185080928922,4035,1.0,0.5551,0.0226,True
SPLN07,senepy_p95,20260824,9799,0.043099049964813514,8529,0.870395,1.54,0.0469,True
SPLN14,tierA_p90,20261820,19354,0.06823726853484141,19354,1.0,0.2521,0.0134,True
SPLN14,tierA_p95,20261821,9680,0.034129211502390455,9680,1.0,0.4139,0.0284,True
SPLN14,tierA_p99,20261822,1940,0.006839945280437756,1940,1.0,0.5457,0.0269,True
SPLN14,cdkn1a_pos,20261823,3143,0.01108141650330715,3143,1.0,0.5026,0.0157,True
SPLN14,senepy_p95,20261824,9676,0.03411510852243079,8624,0.891277,1.616,0.0746,True
SPLN21,tierA_p90,20262820,15055,0.07675561582934813,15055,1.0,0.1801,0.0177,True
SPLN21,tierA_p95,20262821,7529,0.03838545543534786,7529,1.0,0.3106,0.0118,True
SPLN21,tierA_p99,20262822,1510,0.007698504144956205,1510,1.0,0.5186,0.0449,True
SPLN21,cdkn1a_pos,20262823,3597,0.018338754575766537,3597,1.0,0.6747,0.0328,True
SPLN21,senepy_p95,20262824,7388,0.03766658849201089,6427,0.869924,1.4829,0.0423,True
SPLN24,tierA_p90,20263820,32225,0.08195533084775763,32225,1.0,0.1854,0.0103,True
SPLN24,tierA_p95,20263821,16116,0.040986566701084935,16116,1.0,0.3134,0.011,True
SPLN24,tierA_p99,20263822,3228,0.008209520806099664,3228,1.0,0.6197,0.019,True
SPLN24,cdkn1a_pos,20263823,24410,0.06208005045752565,24404,0.999754,0.5034,0.0121,True
SPLN24,senepy_p95,20263824,15237,0.03875107451131988,13527,0.887773,1.5468,0.028,True
SPLN30,tierA_p90,20264820,23372,0.0801572140463754,23372,1.0,0.2576,0.0167,True
SPLN30,tierA_p95,20264821,11691,0.04009575515215535,11691,1.0,0.3476,0.0064,True
SPLN30,tierA_p99,20264822,2341,0.008028753982652953,2341,1.0,0.5513,0.0369,True
SPLN30,cdkn1a_pos,20264823,3263,0.011190868964287306,3262,0.999694,0.5143,0.0297,True
SPLN30,senepy_p95,20264824,11686,0.0400786070231877,11106,0.950368,1.1993,0.0362,True
SPLN43,tierA_p90,20265820,18276,0.067570765180869,18276,1.0,0.2599,0.0092,True
SPLN43,tierA_p95,20265821,9138,0.0337853825904345,9138,1.0,0.4261,0.0155,True
SPLN43,tierA_p99,20265822,1830,0.006765949894998373,1830,1.0,0.6135,0.0317,True
SPLN43,cdkn1a_pos,20265823,3866,0.014293531308231536,3866,1.0,0.6687,0.0348,True
SPLN43,senepy_p95,20265824,8455,0.0312601674110444,7078,0.837138,2.0111,0.0933,True
SPLN44,tierA_p90,20266820,21309,0.07105439534240089,21307,0.999906,0.3218,0.0132,True
SPLN44,tierA_p95,20266821,10657,0.03553553386662754,10657,1.0,0.4826,0.0233,True
SPLN44,tierA_p99,20266822,2136,0.0071224453729113665,2136,1.0,0.8243,0.062,True
SPLN44,cdkn1a_pos,20266823,15756,0.052538038059733845,15748,0.999492,0.7205,0.019,True
SPLN44,senepy_p95,20266824,9952,0.03318472675618629,8224,0.826367,1.8492,0.0554,True
