section,call,response,celltype,bin_lo,bin_hi,bin_mid,n,mean_raw,sem_raw,mean_resid,sem_resid
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,0.0,5.0,2.5,198,-0.027923603600348273,2.471878604162399e-19,-0.029476965052224708,0.0026785846811652183
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,5.0,10.0,7.5,4215,0.003769197703818084,0.015840759021102005,-0.008962030012319612,0.015851132724773037
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,10.0,15.0,12.5,5164,0.0173463471393607,0.017100488038440123,0.002708281643354901,0.01709819369321829
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,15.0,20.0,17.5,5576,0.014001436862323375,0.015837646438714752,-0.00036364049554369915,0.015819237364702657
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,20.0,25.0,22.5,5008,0.032093689604201996,0.019989775776064346,0.01739435869276297,0.019960067763434168
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,25.0,30.0,27.5,3827,0.015708862266212088,0.019502829047498085,-0.00010925761758594968,0.019495838418775637
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,30.0,35.0,32.5,2534,0.01161422912372273,0.02281816467273213,-0.005798071454905614,0.02281811813991356
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,35.0,40.0,37.5,1613,0.034189767833499154,0.03583891842863964,0.017089985839905373,0.03582426519621564
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,40.0,45.0,42.5,909,0.008815988670570638,0.03673959227091892,-0.011826804021621791,0.036658941413130086
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,45.0,50.0,47.5,526,-0.027923603600348273,1.5141907882820245e-19,-0.0464774346178629,0.0018036807009722145
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,50.0,55.0,52.5,288,-0.027923603600348266,2.047949782330566e-19,-0.045611442428615874,0.00277490894016148
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,55.0,60.0,57.5,137,-0.027923603600348266,2.975026217435173e-19,-0.04961857724307623,0.0035332821971235844
SPLN21,tierA_p95,neg_control_probe,Mono/Mac/DC,60.0,65.0,62.5,71,-0.02792360360034827,0.0,-0.056487612511542516,0.0063483914671797455
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,0.0,5.0,2.5,198,-0.024220938861048803,4.943757208324798e-19,-0.02298998610988592,0.0016472275975544755
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,5.0,10.0,7.5,4215,-0.014420034451159006,0.009800904409889804,-0.013542005825288085,0.009804057013637282
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,10.0,15.0,12.5,5164,-0.0002216289727729432,0.013853324051837477,0.0008867041329499459,0.01385952906473801
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,15.0,20.0,17.5,5576,0.0054137900397299024,0.014813377179083261,0.0076020647205358735,0.01480862077196823
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,20.0,25.0,22.5,5008,0.0005259533640024253,0.014284771072693497,0.0034849827584506163,0.014274577552520018
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,25.0,30.0,27.5,3827,-0.024220938861048813,5.609030074853135e-20,-0.020610613123220253,0.0003816390885967982
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,30.0,35.0,32.5,2534,-0.02422093886104881,0.0,-0.020603271037557765,0.00046878946747367864
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,35.0,40.0,37.5,1613,0.02700139478766232,0.03620842334266535,0.029945859278356638,0.036175179564432065
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,40.0,45.0,42.5,909,0.06667193701944739,0.06423556764422367,0.06954062138887307,0.06420895308012445
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,45.0,50.0,47.5,526,-0.024220938861048813,1.5141907882820245e-19,-0.022164237458797743,0.001185902773879291
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,50.0,55.0,52.5,288,-0.02422093886104881,0.0,-0.020723108628654216,0.001621100161890776
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,55.0,60.0,57.5,137,-0.02422093886104881,0.0,-0.019177500143644565,0.002322148133488785
SPLN21,tierA_p95,neg_control_codeword,Mono/Mac/DC,60.0,65.0,62.5,71,-0.02422093886104881,0.0,-0.023743174459738624,0.00421450484997314
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,0.0,5.0,2.5,198,0.026553704951050888,0.0758447129519409,-0.023471329803455947,0.07695079921718924
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,5.0,10.0,7.5,4215,0.09329360438871043,0.02313337756020735,0.0013875749163014693,0.022938114663083542
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,10.0,15.0,12.5,5164,0.0756977789912017,0.018995157227350585,-0.03049228805189383,0.018819370490332516
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,15.0,20.0,17.5,5576,0.12521644170454962,0.023064103615648132,0.02765032909240357,0.02263390288893089
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,20.0,25.0,22.5,5008,0.08695563265822889,0.02144543853794563,-0.019664363286411357,0.021178615068764176
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,25.0,30.0,27.5,3827,0.1332165414552067,0.026894919653045163,0.012519160583804315,0.026384036738795955
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,30.0,35.0,32.5,2534,0.12908010456001415,0.03388138691684925,0.012747549164752094,0.033513265470729345
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,35.0,40.0,37.5,1613,0.09062070780076473,0.03467249839690828,-0.033051271540575626,0.03418187685417496
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,40.0,45.0,42.5,909,0.12982883433225523,0.05933964053194873,-0.013292751721056961,0.05801977364556898
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,45.0,50.0,47.5,526,0.26308739226435485,0.09598906188755364,0.11377633551223257,0.09390344266061153
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,50.0,55.0,52.5,288,0.3625971349607686,0.1360536739551047,0.20773145816266486,0.13336304919091285
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,55.0,60.0,57.5,137,-0.003273215552001452,0.07770697710005733,-0.23475559175427835,0.07858606944436082
SPLN21,tierA_p95,genomic_control,Mono/Mac/DC,60.0,65.0,62.5,71,0.51878633482444,0.3628817618671445,0.2545243427933864,0.3480980832894978
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,0.0,5.0,2.5,198,0.010491903279361711,0.06973810117318083,-0.035200551433348964,0.0708916311188341
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,5.0,10.0,7.5,4215,0.08347001561307912,0.021874753898343712,-0.00470708586559688,0.021694559248942355
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,10.0,15.0,12.5,5164,0.07463482923786019,0.01843540991503177,-0.02714897075396308,0.018294396489774645
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,15.0,20.0,17.5,5576,0.12052142222924832,0.02223952251739405,0.0271003188477895,0.02183588368634113
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,20.0,25.0,22.5,5008,0.0894859613040383,0.020811739697172576,-0.012208432839186517,0.02052391238885922
SPLN21,tierA_p95,all_controls,Mono/Mac/DC,25.0,30.0,27.5,3827,0.12135582715619932,0.025355635769865246,0.006533039151721914,0.024884562556567163
