section,call,n_cells,n_full,n_ortho,prevalence_full,prevalence_ortho,jaccard,spearman_score,n_tierA_on_full,n_tierA_on_ortho
SPLN07,tierA_p90,227360,20701,20687,9.105,9.099,0.6189,0.8696,33,26
SPLN07,tierA_p95,227360,10355,10347,4.554,4.551,0.5572,0.8696,33,26
SPLN07,tierA_p99,227360,2076,2074,0.913,0.912,0.4572,0.8696,33,26
SPLN14,tierA_p90,283628,19354,19351,6.824,6.823,0.6184,0.8701,33,26
SPLN14,tierA_p95,283628,9680,9678,3.413,3.412,0.5515,0.8701,33,26
SPLN14,tierA_p99,283628,1940,1940,0.684,0.684,0.4526,0.8701,33,26
SPLN21,tierA_p90,196142,15055,15048,7.676,7.672,0.6326,0.848,33,26
SPLN21,tierA_p95,196142,7529,7519,3.839,3.833,0.5747,0.848,33,26
SPLN21,tierA_p99,196142,1510,1511,0.77,0.77,0.4672,0.848,33,26
SPLN24,tierA_p90,393202,32225,32225,8.196,8.196,0.6169,0.934,33,26
SPLN24,tierA_p95,393202,16116,16116,4.099,4.099,0.5565,0.934,33,26
SPLN24,tierA_p99,393202,3228,3228,0.821,0.821,0.4807,0.934,33,26
SPLN30,tierA_p90,291577,23372,23361,8.016,8.012,0.6026,0.8588,33,26
SPLN30,tierA_p95,291577,11691,11684,4.01,4.007,0.5424,0.8588,33,26
SPLN30,tierA_p99,291577,2341,2341,0.803,0.803,0.4388,0.8588,33,26
SPLN43,tierA_p90,270472,18276,18271,6.757,6.755,0.5827,0.866,33,26
SPLN43,tierA_p95,270472,9138,9138,3.379,3.379,0.5222,0.866,33,26
SPLN43,tierA_p99,270472,1830,1823,0.677,0.674,0.4231,0.866,33,26
SPLN44,tierA_p90,299897,21309,21309,7.105,7.105,0.6233,0.893,33,26
SPLN44,tierA_p95,299897,10657,10657,3.554,3.554,0.5721,0.893,33,26
SPLN44,tierA_p99,299897,2136,2136,0.712,0.712,0.4645,0.893,33,26
