section,caller,n_scored,frac_cells_scored,spearman_vs_transcript_counts,q5_over_q1
SPLN07,tierA_score,206979,1.0,-0.0227,0.269
SPLN07,senepy_score,196048,0.9472,0.3323,74.817
SPLN07,deepscence_score,206979,1.0,0.3135,0.416
SPLN07,cdkn1a_counts,206979,1.0,0.0733,3.48
SPLN14,tierA_score,193521,1.0,-0.0834,0.266
SPLN14,senepy_score,193521,1.0,0.1087,30.895
SPLN14,deepscence_score,193521,1.0,0.2286,0.457
SPLN14,cdkn1a_counts,193521,1.0,0.0563,3.746
SPLN21,tierA_score,150516,1.0,-0.0442,0.328
SPLN21,senepy_score,147775,0.9818,0.2893,50.544
SPLN21,deepscence_score,150516,1.0,0.3021,0.496
SPLN21,cdkn1a_counts,150516,1.0,0.0897,4.913
SPLN24,tierA_score,322209,1.0,0.0979,0.387
SPLN24,senepy_score,304702,0.9457,0.1607,224.692
SPLN24,deepscence_score,322209,1.0,0.1822,0.404
SPLN24,cdkn1a_counts,322209,1.0,0.1263,6.062
SPLN30,tierA_score,233748,1.0,-0.1738,0.397
SPLN30,senepy_score,233748,1.0,0.2339,28.509
SPLN30,deepscence_score,233748,1.0,0.183,0.778
SPLN30,cdkn1a_counts,233748,1.0,0.0583,2.978
SPLN43,tierA_score,182726,1.0,0.083,0.224
SPLN43,senepy_score,169101,0.9254,0.0405,98.032
SPLN43,deepscence_score,182726,1.0,0.2963,1.17
SPLN43,cdkn1a_counts,182726,1.0,0.0837,5.173
SPLN44,tierA_score,213035,1.0,-0.0139,0.2
SPLN44,senepy_score,198975,0.934,0.2467,69.957
SPLN44,deepscence_score,213035,1.0,0.354,0.244
SPLN44,cdkn1a_counts,213035,1.0,0.1653,8.337
