section,caller,within_type_depth_quintile,bg_pct,enrichment
SPLN07,tierA_score,Q1,20.46,1.638
SPLN07,tierA_score,Q2,20.17,1.21
SPLN07,tierA_score,Q3,19.74,0.875
SPLN07,tierA_score,Q4,19.86,0.81
SPLN07,tierA_score,Q5,19.78,0.441
SPLN07,senepy_score,Q1,20.46,0.055
SPLN07,senepy_score,Q2,20.17,0.14
SPLN07,senepy_score,Q3,19.74,0.256
SPLN07,senepy_score,Q4,19.86,0.494
SPLN07,senepy_score,Q5,19.78,4.104
SPLN07,deepscence_score,Q1,20.46,1.209
SPLN07,deepscence_score,Q2,20.17,1.55
SPLN07,deepscence_score,Q3,19.74,1.123
SPLN07,deepscence_score,Q4,19.86,0.599
SPLN07,deepscence_score,Q5,19.78,0.503
SPLN07,cdkn1a_counts,Q1,20.46,0.477
SPLN07,cdkn1a_counts,Q2,20.17,0.73
SPLN07,cdkn1a_counts,Q3,19.74,0.866
SPLN07,cdkn1a_counts,Q4,19.86,1.288
SPLN07,cdkn1a_counts,Q5,19.78,1.66
SPLN14,tierA_score,Q1,20.66,1.784
SPLN14,tierA_score,Q2,19.81,0.906
SPLN14,tierA_score,Q3,19.74,1.121
SPLN14,tierA_score,Q4,19.99,0.683
SPLN14,tierA_score,Q5,19.8,0.475
SPLN14,senepy_score,Q1,20.66,0.121
SPLN14,senepy_score,Q2,19.81,0.212
SPLN14,senepy_score,Q3,19.74,0.326
SPLN14,senepy_score,Q4,19.99,0.659
SPLN14,senepy_score,Q5,19.8,3.723
SPLN14,deepscence_score,Q1,20.66,1.122
SPLN14,deepscence_score,Q2,19.81,1.374
SPLN14,deepscence_score,Q3,19.74,1.112
SPLN14,deepscence_score,Q4,19.99,0.876
SPLN14,deepscence_score,Q5,19.8,0.512
SPLN14,cdkn1a_counts,Q1,20.66,0.483
SPLN14,cdkn1a_counts,Q2,19.81,0.721
SPLN14,cdkn1a_counts,Q3,19.74,0.862
SPLN14,cdkn1a_counts,Q4,19.99,1.144
SPLN14,cdkn1a_counts,Q5,19.8,1.81
SPLN21,tierA_score,Q1,20.62,1.471
SPLN21,tierA_score,Q2,19.86,1.234
SPLN21,tierA_score,Q3,19.92,1.033
SPLN21,tierA_score,Q4,19.9,0.757
SPLN21,tierA_score,Q5,19.69,0.483
SPLN21,senepy_score,Q1,20.62,0.076
SPLN21,senepy_score,Q2,19.86,0.17
SPLN21,senepy_score,Q3,19.92,0.334
SPLN21,senepy_score,Q4,19.9,0.636
