Level_3_Annotations,section,CD4 T cells,Endothelial cells,Erythroid cells,Fibroblasts,Follicular B cells,Low_quality,Megakaryocytes,Monocytes,NK cells,Neutrophils,Plasma cells,Red pulp macrophages,Smooth muscle / capsule,Unknown,CD8 T cells,Fibroblastic reticular cells,cDC2,Germinal centre B cells,cDC1
Arterial endothelial cells (KDR+ CD34+),SPLN07,14.0,2981,30.0,67,19,124.0,7.0,2.0,2.0,25.0,5,27,68,0,,,,,
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN07,22.0,0,0.0,193,320,72.0,1.0,2.0,3.0,18.0,0,28,1,0,,,,,
B cell zone reticular cells CXCL13+MADCAM1+,SPLN07,102.0,1,3.0,509,1595,36.0,0.0,0.0,21.0,6.0,1,6,0,2,,,,,
B cells,SPLN07,373.0,47,25.0,452,25161,2059.0,9.0,9.0,29.0,190.0,38,105,7,15,,,,,
Conventional dendritic cells,SPLN07,13.0,4,11.0,4,98,18.0,0.0,68.0,0.0,6.0,0,22,0,9,,,,,
Erythroid,SPLN07,77.0,1609,7841.0,98,13,302.0,65.0,11.0,15.0,267.0,4,436,0,0,,,,,
"Germinal center B cells, proliferating",SPLN07,118.0,0,58.0,2,147,2.0,0.0,0.0,1.0,3.0,0,0,0,303,,,,,
Low quality,SPLN07,2812.0,1359,336.0,1140,1480,5902.0,161.0,89.0,525.0,5515.0,42,1476,19,4,,,,,
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN07,16.0,43,6.0,605,8,101.0,3.0,4.0,3.0,52.0,1,162,150,0,,,,,
Metamyelocyte/Band Neutrophils DEFA1+,SPLN07,264.0,814,267.0,334,227,844.0,30.0,23.0,81.0,3477.0,52,689,7,3,,,,,
Monocytes,SPLN07,54.0,63,23.0,34,92,84.0,3.0,2210.0,24.0,73.0,6,79,8,0,,,,,
NK cells,SPLN07,462.0,192,23.0,88,397,373.0,12.0,16.0,5485.0,119.0,16,386,0,24,,,,,
Neutrophils,SPLN07,137.0,263,34.0,65,117,569.0,18.0,110.0,25.0,7855.0,15,284,0,0,,,,,
Plasma cells,SPLN07,460.0,234,487.0,223,807,494.0,16.0,28.0,61.0,214.0,4351,623,22,27,,,,,
Promyelocyte,SPLN07,18.0,34,10.0,8,13,50.0,1.0,0.0,9.0,2883.0,6,29,0,0,,,,,
Red pulp fibroblasts,SPLN07,314.0,978,175.0,13726,586,1763.0,120.0,161.0,71.0,898.0,29,1568,332,1,,,,,
Red pulp macrophages,SPLN07,507.0,320,182.0,168,1182,1950.0,69.0,912.0,114.0,1110.0,28,22368,3,1,,,,,
Sinusoidal endothelial cells (littoral cells),SPLN07,508.0,29626,544.0,84,39,1712.0,87.0,13.0,30.0,528.0,3,704,2,0,,,,,
Smooth muscle,SPLN07,473.0,296,71.0,1677,1809,1359.0,27.0,35.0,61.0,400.0,39,1034,518,1,,,,,
T cell zone reticular cells CCL21+ CCL19+,SPLN07,1548.0,21,2.0,2372,679,111.0,1.0,0.0,6.0,39.0,13,45,74,3,,,,,
T cell zone reticular cells CXCL9+,SPLN07,6.0,0,0.0,10,14,1.0,0.0,7.0,1.0,0.0,0,4,0,1,,,,,
T cells,SPLN07,8660.0,292,85.0,169,1357,1225.0,24.0,7.0,87.0,219.0,71,667,6,9,,,,,
Vascular smooth muscle cells,SPLN07,8.0,7,2.0,302,5,47.0,0.0,2.0,2.0,3.0,4,16,2898,0,,,,,
White pulp macrophages,SPLN07,102.0,10,3.0,574,396,32.0,1.0,3.0,6.0,48.0,1,338,0,2,,,,,
"gdT cells, NK cells, and T cells",SPLN07,3078.0,160,29.0,78,473,734.0,29.0,14.0,1304.0,374.0,10,571,0,6,,,,,
Arterial endothelial cells (KDR+ CD34+),SPLN14,,211,,51,22,,,4.0,,,7,23,122,126,3.0,4874.0,,,
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN14,,1,,109,673,,,2.0,,,3,14,435,222,0.0,5.0,,,
B cell zone reticular cells CXCL13+MADCAM1+,SPLN14,,0,,155,2656,,,6.0,,,33,19,789,650,2.0,5.0,,,
B cells,SPLN14,,110,,156,34541,,,125.0,,,225,127,177,11326,0.0,45.0,,,
Conventional dendritic cells,SPLN14,,3,,5,26,,,1125.0,,,13,18,0,50,0.0,1.0,,,
Erythroid,SPLN14,,407,,32,7,,,6.0,,,16,44,1,452,2.0,5.0,,,
"Germinal center B cells, proliferating",SPLN14,,0,,0,71,,,3.0,,,432,0,0,32,139.0,1.0,,,
Low quality,SPLN14,,2080,,3396,2705,,,704.0,,,290,1726,523,28314,22.0,468.0,,,
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN14,,48,,1314,29,,,23.0,,,11,265,1850,232,1.0,114.0,,,
Metamyelocyte/Band Neutrophils DEFA1+,SPLN14,,188,,76,252,,,18.0,,,70,118,9,624,1.0,9.0,,,
Monocytes,SPLN14,,133,,52,118,,,2166.0,,,26,58,17,275,0.0,7.0,,,
NK cells,SPLN14,,331,,126,345,,,27.0,,,61,150,12,6050,96.0,16.0,,,
Neutrophils,SPLN14,,106,,45,123,,,205.0,,,23,272,6,1959,1.0,13.0,,,
Plasma cells,SPLN14,,507,,547,1111,,,86.0,,,13852,745,77,2820,9.0,63.0,,,
Promyelocyte,SPLN14,,7,,1,16,,,3.0,,,3,6,0,154,0.0,1.0,,,
Red pulp fibroblasts,SPLN14,,529,,13788,922,,,155.0,,,151,912,1217,2894,2.0,305.0,,,
Red pulp macrophages,SPLN14,,1216,,970,2068,,,1740.0,,,268,20153,63,6709,4.0,97.0,,,
Sinusoidal endothelial cells (littoral cells),SPLN14,,42978,,207,84,,,44.0,,,38,335,14,3648,110.0,731.0,,,
Smooth muscle,SPLN14,,459,,2028,2684,,,149.0,,,220,1033,2088,2763,2.0,316.0,,,
T cell zone reticular cells CCL21+ CCL19+,SPLN14,,6,,87,579,,,37.0,,,28,29,988,2017,3.0,77.0,,,
T cell zone reticular cells CXCL9+,SPLN14,,0,,0,1,,,112.0,,,1,7,0,11,0.0,0.0,,,
T cells,SPLN14,,522,,213,1488,,,41.0,,,109,250,36,12008,15.0,20.0,,,
Vascular smooth muscle cells,SPLN14,,3,,31,4,,,2.0,,,3,14,2133,25,0.0,26.0,,,
White pulp macrophages,SPLN14,,6,,20,332,,,35.0,,,6,767,30,177,0.0,6.0,,,
"gdT cells, NK cells, and T cells",SPLN14,,185,,133,734,,,23.0,,,39,216,9,5634,45.0,5.0,,,
Arterial endothelial cells (KDR+ CD34+),SPLN21,,186,1.0,60,12,162.0,,16.0,5.0,11.0,5,19,2566,13,,,1.0,,
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN21,,3,0.0,45,257,23.0,,8.0,0.0,16.0,3,6,63,21,,,3.0,,
B cell zone reticular cells CXCL13+MADCAM1+,SPLN21,,2,0.0,41,1071,33.0,,1.0,12.0,14.0,10,6,206,158,,,1.0,,
B cells,SPLN21,,148,1.0,72,20402,915.0,,61.0,26.0,147.0,58,59,38,309,,,71.0,,
Conventional dendritic cells,SPLN21,,7,0.0,8,37,24.0,,314.0,4.0,11.0,16,17,1,15,,,1.0,,
Erythroid,SPLN21,,424,474.0,22,13,297.0,,8.0,8.0,38.0,13,65,2,45,,,18.0,,
"Germinal center B cells, proliferating",SPLN21,,0,0.0,0,127,0.0,,0.0,6.0,0.0,407,0,0,27,,,0.0,,
Low quality,SPLN21,,1312,17.0,1076,979,5671.0,,324.0,362.0,2691.0,73,751,392,2582,,,748.0,,
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN21,,37,2.0,477,13,68.0,,51.0,1.0,70.0,8,162,882,21,,,32.0,,
