section,our_label_set,depositor_L3,n,modal_our_label,modal_share,frac_unknown,frac_lowquality
SPLN07,cell_type,Arterial endothelial cells (KDR+ CD34+),3371,Endothelial cells,0.8843,0.0,0.0368
SPLN07,cell_type,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),660,Follicular B cells,0.4848,0.0,0.1091
SPLN07,cell_type,B cell zone reticular cells CXCL13+MADCAM1+,2282,Follicular B cells,0.6989,0.0009,0.0158
SPLN07,cell_type,B cells,28519,Follicular B cells,0.8823,0.0005,0.0722
SPLN07,cell_type,Conventional dendritic cells,253,Follicular B cells,0.3874,0.0356,0.0711
SPLN07,cell_type,Erythroid,10738,Erythroid cells,0.7302,0.0,0.0281
SPLN07,cell_type,"Germinal center B cells, proliferating",634,Unknown,0.4779,0.4779,0.0032
SPLN07,cell_type,Low quality,20860,Low_quality,0.2829,0.0002,0.2829
SPLN07,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,1154,Fibroblasts,0.5243,0.0,0.0875
SPLN07,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,7112,Neutrophils,0.4889,0.0004,0.1187
SPLN07,cell_type,Monocytes,2753,Monocytes,0.8028,0.0,0.0305
SPLN07,cell_type,NK cells,7593,NK cells,0.7224,0.0032,0.0491
SPLN07,cell_type,Neutrophils,9492,Neutrophils,0.8275,0.0,0.0599
SPLN07,cell_type,Plasma cells,8047,Plasma cells,0.5407,0.0034,0.0614
SPLN07,cell_type,Promyelocyte,3061,Neutrophils,0.9418,0.0,0.0163
SPLN07,cell_type,Red pulp fibroblasts,20722,Fibroblasts,0.6624,0.0,0.0851
SPLN07,cell_type,Red pulp macrophages,28914,Red pulp macrophages,0.7736,0.0,0.0674
SPLN07,cell_type,Sinusoidal endothelial cells (littoral cells),33880,Endothelial cells,0.8744,0.0,0.0505
SPLN07,cell_type,Smooth muscle,7800,Follicular B cells,0.2319,0.0001,0.1742
SPLN07,cell_type,T cell zone reticular cells CCL21+ CCL19+,4914,Fibroblasts,0.4827,0.0006,0.0226
SPLN07,cell_type,T cell zone reticular cells CXCL9+,44,Follicular B cells,0.3182,0.0227,0.0227
SPLN07,cell_type,T cells,12878,CD4 T cells,0.6725,0.0007,0.0951
SPLN07,cell_type,Vascular smooth muscle cells,3296,Smooth muscle / capsule,0.8792,0.0,0.0143
SPLN07,cell_type,White pulp macrophages,1516,Fibroblasts,0.3786,0.0013,0.0211
SPLN07,cell_type,"gdT cells, NK cells, and T cells",6860,CD4 T cells,0.4487,0.0009,0.107
SPLN07,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),3371,Endothelial,0.8843,0.0,0.0368
SPLN07,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),660,B cells,0.4848,0.0,0.1091
SPLN07,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,2282,B cells,0.6989,0.0009,0.0158
SPLN07,cell_type_merged,B cells,28519,B cells,0.8823,0.0005,0.0722
SPLN07,cell_type_merged,Conventional dendritic cells,253,B cells,0.3874,0.0356,0.0711
SPLN07,cell_type_merged,Erythroid,10738,Erythroid cells,0.7302,0.0,0.0281
SPLN07,cell_type_merged,"Germinal center B cells, proliferating",634,Unknown,0.4779,0.4779,0.0032
SPLN07,cell_type_merged,Low quality,20860,Low_quality,0.2829,0.0002,0.2829
SPLN07,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,1154,Stromal,0.6542,0.0,0.0875
SPLN07,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,7112,Neutrophils,0.4889,0.0004,0.1187
SPLN07,cell_type_merged,Monocytes,2753,Mono/Mac/DC,0.8315,0.0,0.0305
SPLN07,cell_type_merged,NK cells,7593,T/NK cells,0.7832,0.0032,0.0491
SPLN07,cell_type_merged,Neutrophils,9492,Neutrophils,0.8275,0.0,0.0599
