section,our_label,depositor_level,n_compared,n_clean,ari_all,nmi_all,ari_clean,nmi_clean,n_our_labels,n_dep_labels
SPLN07,cell_type,Level_1_Annotations,227353,206732,0.1397,0.2653,0.1667,0.3026,14,4
SPLN07,cell_type,Level_2_Annotations,227353,192024,0.3377,0.4062,0.4108,0.4855,14,9
SPLN07,cell_type,Level_3_Annotations,227353,192024,0.4513,0.4769,0.5565,0.5597,14,25
SPLN07,cell_type,Level_4_Annotations,227353,190378,0.4008,0.4701,0.5013,0.5518,14,31
SPLN07,cell_type_merged,Level_1_Annotations,227353,206732,0.1618,0.278,0.1929,0.3198,11,4
SPLN07,cell_type_merged,Level_2_Annotations,227353,192024,0.3586,0.4073,0.4363,0.4908,11,9
SPLN07,cell_type_merged,Level_3_Annotations,227353,192024,0.4255,0.4554,0.5216,0.5361,11,25
SPLN07,cell_type_merged,Level_4_Annotations,227353,190378,0.3779,0.4488,0.4695,0.5284,11,31
SPLN14,cell_type,Level_1_Annotations,282674,193244,0.2064,0.2961,0.3359,0.3969,10,4
SPLN14,cell_type,Level_2_Annotations,282674,181588,0.293,0.3786,0.5384,0.5275,10,9
SPLN14,cell_type,Level_3_Annotations,282674,181588,0.3517,0.4357,0.6632,0.5907,10,25
SPLN14,cell_type,Level_4_Annotations,282674,178755,0.3183,0.4271,0.5987,0.5816,10,31
SPLN14,cell_type_merged,Level_1_Annotations,282674,231909,0.1802,0.2791,0.2631,0.3521,7,4
SPLN14,cell_type_merged,Level_2_Annotations,282674,211461,0.2915,0.3516,0.4152,0.4574,7,9
SPLN14,cell_type_merged,Level_3_Annotations,282674,211461,0.3875,0.4218,0.5629,0.5373,7,25
SPLN14,cell_type_merged,Level_4_Annotations,282674,208248,0.3479,0.4156,0.5121,0.5339,7,31
SPLN21,cell_type,Level_1_Annotations,196130,150268,0.123,0.2383,0.1971,0.3061,13,4
SPLN21,cell_type,Level_2_Annotations,196130,141791,0.2632,0.3369,0.4009,0.4503,13,9
