sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,5.0,7.6040407535686,-0.0033190623726548955,5506.0,0.0027777282973881507,0.588113227167357
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,15.0,15.235442022913565,-0.004501907574953005,17148.0,0.001437557389920506,1.764339681502071
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,25.0,24.94838786532314,-0.006073454792968661,17861.0,0.0013931704003448014,2.9405661358367854
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,35.0,34.79303165407593,-0.013241094702337145,15287.0,0.0014927416655754957,4.1167925901714995
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,45.0,44.583605107351914,-0.012603314698028119,10678.0,0.0017794334963790563,5.293019044506213
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,55.0,54.48603044419788,-0.01906607014295964,6499.0,0.0022160240875104147,6.469245498840928
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,65.0,64.46026798974596,-0.016442044095634226,3582.0,0.002989920183134464,7.645471953175641
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,75.0,74.38204107102315,-0.02389095769725694,1570.0,0.004650597219659681,8.821698407510356
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,85.0,84.25899240898363,-0.018603392685349027,660.0,0.00650012825169648,9.99792486184507
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,95.0,94.21377146402995,-0.021084628539780777,225.0,0.011293493473714037,11.174151316179783
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,105.0,103.93916734736017,-0.04094723384688668,94.0,0.017314813094733896,12.350377770514498
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,115.0,114.09499127524239,-0.038707129634401226,56.0,0.019622031985526818,13.526604224849212
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,125.0,123.79491479056222,-0.037212280223944356,14.0,0.04262069518689481,14.702830679183926
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,135.0,133.63780381944446,0.12444317609899574,9.0,0.05156457162221592,15.87905713351864
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,145.0,141.22340393066406,-0.1375961278875669,3.0,0.062273116838532,17.055283587853353
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,155.0,150.6741943359375,0.2507351338863373,1.0,0.0,18.23151004218807
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,165.0,164.5111541748047,-0.2979098856449127,1.0,0.0,19.407736496522784
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,175.0,,,0.0,,20.583962950857497
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,185.0,183.73989868164062,-0.2979098856449127,1.0,0.0,21.76018940519221
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,195.0,,,0.0,,22.936415859526925
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,205.0,,,0.0,,24.112642313861638
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,215.0,216.70941543579102,-0.08786118403077126,4.0,0.11569132980857774,25.28886876819635
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,225.0,224.0705795288086,-0.10206229239702225,2.0,0.013674502852511056,26.465095222531065
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,235.0,232.72400665283203,-0.04904253035783768,2.0,0.09806129699430362,27.641321676865783
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,245.0,,,0.0,,28.817548131200496
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,255.0,255.09913635253906,0.16245667450129986,2.0,0.13751537940256958,29.99377458553521
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,265.0,,,0.0,,31.170001039869923
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,275.0,277.7169952392578,-0.2979098856449127,2.0,0.0,32.34622749420464
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,285.0,280.8573303222656,-0.2979098856449127,1.0,0.0,33.52245394853935
7239_liver_sbr_Male_52-U1,secondary_senescence,tierA_p95,ALL,295.0,,,0.0,,34.69868040287407
