sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,5.0,7.981370406204063,-0.008654520895042584,10601.0,0.0012844440959033988,0.5169527735278392
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,15.0,15.137132653211783,0.004497890549768633,48138.0,0.0005504645873532956,1.5508583205835176
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,25.0,24.98143871288604,-0.004547062653657446,49998.0,0.0005122156976888986,2.584763867639196
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,35.0,34.80460232379519,-0.010951361200553369,43551.0,0.0005331610127767047,3.6186694146948746
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,45.0,44.63686541320226,-0.017935941155930498,31315.0,0.0006137422703517951,4.652574961750553
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,55.0,54.57531385885534,-0.023852198842455822,19576.0,0.0007647714844545818,5.686480508806231
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,65.0,64.49245931700888,-0.03333760701458153,11062.0,0.000981833321110678,6.72038605586191
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,75.0,74.38876555184214,-0.041997835652596155,5790.0,0.001339671422028551,7.754291602917588
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,85.0,84.32794829052999,-0.047669915765261604,2765.0,0.001937015813283723,8.788197149973266
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,95.0,94.27997878305335,-0.06291128678856457,1203.0,0.0027981076597503774,9.822102697028946
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,105.0,104.274353888727,-0.06795587180315651,558.0,0.00414706416724959,10.856008244084624
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,115.0,114.46739979351268,-0.07272052677703907,272.0,0.005643145076524797,11.889913791140302
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,125.0,124.17610056950495,-0.08306003400805191,130.0,0.008253619449805119,12.923819338195981
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,135.0,134.1490664395419,-0.09248814740567468,55.0,0.013355223560991645,13.95772488525166
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,145.0,143.74942961193267,-0.09844788545299143,21.0,0.019167448419894303,14.991630432307337
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,155.0,153.32451820373535,-0.06418241234496236,8.0,0.06509272625212438,16.025535979363017
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,165.0,161.126953125,-0.05748020100872964,2.0,0.04235663453167507,17.059441526418695
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,175.0,172.08404541015625,-0.1477842628955841,1.0,0.0,18.093347073474373
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,185.0,188.74624633789062,-0.08865268528461456,1.0,0.0,19.12725262053005
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,195.0,,,0.0,,20.16115816758573
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,205.0,204.53821563720703,-0.1703760176897049,2.0,0.020725122699352987,21.195063714641407
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,215.0,,,0.0,,22.228969261697088
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,225.0,,,0.0,,23.262874808752766
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,235.0,230.80577087402344,0.14807647466659546,1.0,0.0,24.296780355808444
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,245.0,245.1445770263672,-0.23555971682071686,1.0,0.0,25.330685902864122
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,255.0,252.37705993652344,-0.19409513473510742,1.0,0.0,26.3645914499198
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,265.0,,,0.0,,27.398496996975478
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,275.0,272.7123107910156,-0.23555971682071686,1.0,0.0,28.432402544031156
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,285.0,,,0.0,,29.466308091086837
7250_liver_sham_Male_26-U1,downstream_arrest,tierA_p95,ALL,295.0,,,0.0,,30.500213638142515
