sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,5.0,7.981370406204063,0.022242269296450897,10601.0,0.0020062114406476823,0.5169527735278392
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,15.0,15.137132653211783,-0.0003752201752719742,48138.0,0.0007676571088722516,1.5508583205835176
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,25.0,24.98143871288604,-0.008566463303303658,49998.0,0.0007283458898343471,2.584763867639196
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,35.0,34.80460232379519,-0.01128330807835442,43551.0,0.0007805731910857937,3.6186694146948746
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,45.0,44.63686541320226,-0.015986953086142574,31315.0,0.0009156860576704891,4.652574961750553
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,55.0,54.57531385885534,-0.021073406444625416,19576.0,0.0011493316594087485,5.686480508806231
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,65.0,64.49245931700888,-0.024074262564046323,11062.0,0.0015355403504434557,6.72038605586191
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,75.0,74.38876555184214,-0.030310512582356737,5790.0,0.002090056588419901,7.754291602917588
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,85.0,84.32794829052999,-0.03790475084420941,2765.0,0.003044222011984902,8.788197149973266
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,95.0,94.27997878305335,-0.038843295227304925,1203.0,0.004476279089138647,9.822102697028946
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,105.0,104.274353888727,-0.05229553316471978,558.0,0.006843796872011775,10.856008244084624
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,115.0,114.46739979351268,-0.05385914636961869,272.0,0.009853721274708028,11.889913791140302
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,125.0,124.17610056950495,-0.054132145399881454,130.0,0.012482882054650887,12.923819338195981
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,135.0,134.1490664395419,-0.04358029016716914,55.0,0.022256988491860853,13.95772488525166
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,145.0,143.74942961193267,-0.10780258564322832,21.0,0.024010393890037222,14.991630432307337
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,155.0,153.32451820373535,-0.055649795569479465,8.0,0.0532684555621008,16.025535979363017
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,165.0,161.126953125,-0.0965659711509943,2.0,0.07502633601864632,17.059441526418695
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,175.0,172.08404541015625,0.23603717982769012,1.0,0.0,18.093347073474373
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,185.0,188.74624633789062,-0.20266923308372498,1.0,0.0,19.12725262053005
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,195.0,,,0.0,,20.16115816758573
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,205.0,204.53821563720703,-0.12991555221378803,2.0,0.05144462109941441,21.195063714641407
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,215.0,,,0.0,,22.228969261697088
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225.0,,,0.0,,23.262874808752766
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,235.0,230.80577087402344,0.20885272324085236,1.0,0.0,24.296780355808444
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,245.0,245.1445770263672,-0.05488602817058563,1.0,0.0,25.330685902864122
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,255.0,252.37705993652344,-0.20266923308372498,1.0,0.0,26.3645914499198
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,265.0,,,0.0,,27.398496996975478
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,275.0,272.7123107910156,-0.20266923308372498,1.0,0.0,28.432402544031156
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,285.0,,,0.0,,29.466308091086837
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,295.0,,,0.0,,30.500213638142515
