sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,5.0,7.981370406204063,0.03677377231077555,10601.0,0.0019804620678607085,0.5169527735278392
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,15.0,15.137132653211783,0.0005622701401396493,48138.0,0.0007645708479147394,1.5508583205835176
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,25.0,24.98143871288604,-0.012065959704628476,49998.0,0.0006938735985509456,2.584763867639196
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,35.0,34.80460232379519,-0.017708801849955356,43551.0,0.0007253913027203361,3.6186694146948746
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,45.0,44.63686541320226,-0.02079280242779035,31315.0,0.0008417139802153444,4.652574961750553
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,55.0,54.57531385885534,-0.02588921077783054,19576.0,0.0010604335920610468,5.686480508806231
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,65.0,64.49245931700888,-0.030108655116136918,11062.0,0.0013983334264360782,6.72038605586191
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,75.0,74.38876555184214,-0.039603397110180835,5790.0,0.0018808405155392957,7.754291602917588
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,85.0,84.32794829052999,-0.043344963362260895,2765.0,0.002655405294787179,8.788197149973266
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,95.0,94.27997878305335,-0.04623923635272156,1203.0,0.00404749508183087,9.822102697028946
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,105.0,104.274353888727,-0.04221808007130148,558.0,0.006518881610024277,10.856008244084624
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,115.0,114.46739979351268,-0.0614078336447539,272.0,0.007606933182394685,11.889913791140302
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,125.0,124.17610056950495,-0.07854125216746559,130.0,0.010067601691066444,12.923819338195981
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,135.0,134.1490664395419,-0.07726289502302693,55.0,0.015619051630329617,13.95772488525166
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,145.0,143.74942961193267,-0.07603555880043478,21.0,0.02693209338057325,14.991630432307337
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,155.0,153.32451820373535,-0.058412360958755016,8.0,0.09074348878774298,16.025535979363017
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,165.0,161.126953125,-0.03581443056464195,2.0,0.09438558340779349,17.059441526418695
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,175.0,172.08404541015625,-0.1692958027124405,1.0,0.0,18.093347073474373
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,185.0,188.74624633789062,-0.1692958027124405,1.0,0.0,19.12725262053005
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,195.0,,,0.0,,20.16115816758573
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,205.0,204.53821563720703,-0.1692958027124405,2.0,0.0,21.195063714641407
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,215.0,,,0.0,,22.228969261697088
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,225.0,,,0.0,,23.262874808752766
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,235.0,230.80577087402344,0.06630857288837433,1.0,0.0,24.296780355808444
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,245.0,245.1445770263672,0.0550600029528141,1.0,0.0,25.330685902864122
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,255.0,252.37705993652344,-0.1692958027124405,1.0,0.0,26.3645914499198
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,265.0,,,0.0,,27.398496996975478
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,275.0,272.7123107910156,-0.1692958027124405,1.0,0.0,28.432402544031156
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,285.0,,,0.0,,29.466308091086837
7250_liver_sham_Male_26-U1,secondary_senescence,tierA_p95,ALL,295.0,,,0.0,,30.500213638142515
