sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,5.0,7.608783440247643,-0.031821160852246656,13305.0,0.001142219080955,0.7413239395183187
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,15.0,15.088768296272082,-0.0028321630837499605,36170.0,0.0007305478791028171,2.223971818554956
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,25.0,24.77099761027266,-0.004842430114154073,31068.0,0.0007924017898467676,3.706619697591593
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,35.0,34.570276629176625,-0.01147183190019957,20475.0,0.0009588206159975619,5.189267576628231
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,45.0,44.44258509214621,-0.016932810790394163,11214.0,0.0012826766917600552,6.671915455664868
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,55.0,54.25022662983814,-0.031144658516637887,5263.0,0.0018485263049637373,8.154563334701505
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,65.0,64.26828320491083,-0.03195343279687785,2119.0,0.0029974360347447076,9.637211213738142
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,75.0,74.28857641130965,-0.05750973447639154,856.0,0.004689776081477291,11.11985909277478
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,85.0,84.19284406884924,-0.08995311554406418,308.0,0.007833453495849591,12.602506971811417
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,95.0,94.47627977224496,-0.12043754078555279,104.0,0.014625909283326969,14.085154850848054
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,105.0,103.94352461162366,-0.182593927669682,38.0,0.011641321587484274,15.56780272988469
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,115.0,113.88551527454007,-0.20122272473189137,31.0,0.011659506900512413,17.050450608921327
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,125.0,124.71883010864258,-0.1976204671793514,18.0,0.013733982955396604,18.533098487957965
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,135.0,134.80128139919705,-0.18599986740284497,9.0,0.029048387721227087,20.015746366994602
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,145.0,143.9218266805013,-0.2280344491203626,6.0,0.012575774652278578,21.49839424603124
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,155.0,155.17937774658202,-0.20075859278440475,10.0,0.011654782387296884,22.981042125067876
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,165.0,164.48133341471353,-0.2163072700301806,6.0,0.020211194336908312,24.463690004104514
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,175.0,175.9162343343099,-0.22261586288611093,3.0,0.027787461990292566,25.94633788314115
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,185.0,186.1177749633789,-0.20103641599416733,2.0,0.009229564499650575,27.42898576217779
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,195.0,193.27931213378906,-0.05550733208656311,1.0,0.0,28.911633641214426
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,205.0,,,0.0,,30.394281520251063
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,215.0,,,0.0,,31.8769293992877
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,225.0,,,0.0,,33.35957727832434
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,235.0,,,0.0,,34.84222515736097
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,245.0,245.53905487060547,-0.1605200320482254,2.0,0.009100305383623728,36.32487303639761
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,255.0,250.6612548828125,-0.2671891152858734,1.0,0.0,37.807520915434246
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,265.0,267.4521789550781,-0.2505851089954376,2.0,0.011740805442831239,39.29016879447089
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,275.0,274.70660400390625,-0.1225852221250534,1.0,0.0,40.77281667350752
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,285.0,,,0.0,,42.25546455254416
7259_liver_sbr_Male_26-U1,downstream_arrest,tierA_p95,ALL,295.0,,,0.0,,43.738112431580795
