sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,5.0,7.608783440247643,-0.005386234495500181,13305.0,0.0015396595079379392,0.7413239395183187
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,15.0,15.088768296272082,0.0012426291396140283,36170.0,0.0008873319880648314,2.223971818554956
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,25.0,24.77099761027266,-0.004718777003649939,31068.0,0.0009255981944789453,3.706619697591593
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,35.0,34.570276629176625,-0.01341525138043274,20475.0,0.0011320375796787993,5.189267576628231
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,45.0,44.44258509214621,-0.017121357266447,11214.0,0.0015273570020257932,6.671915455664868
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,55.0,54.25022662983814,-0.024982753226012407,5263.0,0.0022492094835322484,8.154563334701505
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,65.0,64.26828320491083,-0.036124671488014196,2119.0,0.003561050078947622,9.637211213738142
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,75.0,74.28857641130965,-0.05557564638204376,856.0,0.005340789514429404,11.11985909277478
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,85.0,84.19284406884924,-0.09093487948725792,308.0,0.009688504454024482,12.602506971811417
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,95.0,94.47627977224496,-0.14843507122490196,104.0,0.015220252135030598,14.085154850848054
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,105.0,103.94352461162366,-0.19174037658070264,38.0,0.01514961259145658,15.56780272988469
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,115.0,113.88551527454007,-0.2381989913241517,31.0,0.01604631283824203,17.050450608921327
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,125.0,124.71883010864258,-0.24542481773015526,18.0,0.015898380572181403,18.533098487957965
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,135.0,134.80128139919705,-0.20950919632903403,9.0,0.029327994815278396,20.015746366994602
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,145.0,143.9218266805013,-0.2239424263437589,6.0,0.02432745061222916,21.49839424603124
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,155.0,155.17937774658202,-0.22890852987766266,10.0,0.020328226596041398,22.981042125067876
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,165.0,164.48133341471353,-0.21285147281984487,6.0,0.05328806444260084,24.463690004104514
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,175.0,175.9162343343099,-0.27080034216245014,3.0,0.020249271421552344,25.94633788314115
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,185.0,186.1177749633789,-0.2956005334854126,2.0,0.0,27.42898576217779
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,195.0,193.27931213378906,-0.18122801184654236,1.0,0.0,28.911633641214426
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,205.0,,,0.0,,30.394281520251063
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,215.0,,,0.0,,31.8769293992877
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225.0,,,0.0,,33.35957727832434
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,235.0,,,0.0,,34.84222515736097
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,245.0,245.53905487060547,-0.0696540866047144,2.0,0.07719051346940796,36.32487303639761
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,255.0,250.6612548828125,-0.14699909090995789,1.0,0.0,37.807520915434246
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,265.0,267.4521789550781,-0.2956005334854126,2.0,0.0,39.29016879447089
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,275.0,274.70660400390625,-0.24012793600559235,1.0,0.0,40.77281667350752
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,285.0,,,0.0,,42.25546455254416
7259_liver_sbr_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,295.0,,,0.0,,43.738112431580795
