sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,5.0,7.608783440247643,-0.011137851718651044,13305.0,0.0012574004556410445,0.7413239395183187
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,15.0,15.088768296272082,0.0005958844281391074,36170.0,0.0007409503633929613,2.223971818554956
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,25.0,24.77099761027266,-0.004003795914331942,31068.0,0.0007797267468946449,3.706619697591593
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,35.0,34.570276629176625,-0.012202988120625166,20475.0,0.0009504705925614678,5.189267576628231
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,45.0,44.44258509214621,-0.015126632445238713,11214.0,0.0012841317483095107,6.671915455664868
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,55.0,54.25022662983814,-0.02613460510597368,5263.0,0.0018592564383490052,8.154563334701505
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,65.0,64.26828320491083,-0.029763794018088215,2119.0,0.0029915279236587496,9.637211213738142
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,75.0,74.28857641130965,-0.051311312426601335,856.0,0.00474278276297646,11.11985909277478
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,85.0,84.19284406884924,-0.08498563157702953,308.0,0.007725610215796733,12.602506971811417
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,95.0,94.47627977224496,-0.1330763565873405,104.0,0.011253549766025982,14.085154850848054
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,105.0,103.94352461162366,-0.19044415339043266,38.0,0.01022737751105955,15.56780272988469
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,115.0,113.88551527454007,-0.20317436562430474,31.0,0.012755767746013882,17.050450608921327
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,125.0,124.71883010864258,-0.2129326562086741,18.0,0.016407512092866144,18.533098487957965
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,135.0,134.80128139919705,-0.2340302069981893,9.0,0.01556590815723402,20.015746366994602
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,145.0,143.9218266805013,-0.22383692612250647,6.0,0.011406394268124008,21.49839424603124
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,155.0,155.17937774658202,-0.21614670529961585,10.0,0.019770668230176928,22.981042125067876
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,165.0,164.48133341471353,-0.2170364254464706,6.0,0.05016595744918663,24.463690004104514
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,175.0,175.9162343343099,-0.2674206743637721,3.0,0.007404491713238174,25.94633788314115
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,185.0,186.1177749633789,-0.2764892876148224,2.0,0.0,27.42898576217779
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,195.0,193.27931213378906,-0.2764892876148224,1.0,0.0,28.911633641214426
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,205.0,,,0.0,,30.394281520251063
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,215.0,,,0.0,,31.8769293992877
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,225.0,,,0.0,,33.35957727832434
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,235.0,,,0.0,,34.84222515736097
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,245.0,245.53905487060547,-0.08832936361432076,2.0,0.009983816598067439,36.32487303639761
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,255.0,250.6612548828125,-0.21767635643482208,1.0,0.0,37.807520915434246
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,265.0,267.4521789550781,-0.20912858098745346,2.0,0.04763121244173018,39.29016879447089
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,275.0,274.70660400390625,-0.10733786970376968,1.0,0.0,40.77281667350752
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,285.0,,,0.0,,42.25546455254416
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,295.0,,,0.0,,43.738112431580795
