sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,5.0,7.921960137038805,0.06409803538717748,6025.0,0.0031674228663757086,0.5099632443466476
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,15.0,15.16070251390961,0.0038187770180087293,27623.0,0.0010095429253898596,1.529889733039943
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,25.0,24.97025959003178,-0.01062504422793008,28656.0,0.0008753013566124206,2.5498162217332383
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,35.0,34.80703771039684,-0.01737503642073028,25226.0,0.0008824311581730761,3.569742710426534
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,45.0,44.64847000435584,-0.02138189718849792,18154.0,0.0010167560297440624,4.589669199119829
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,55.0,54.60960564343495,-0.02637480379961544,11804.0,0.001234479090016446,5.609595687813124
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,65.0,64.65010686450837,-0.026969147266316607,6998.0,0.001642206991068531,6.62952217650642
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,75.0,74.47675463433802,-0.03319744919693823,3887.0,0.002171409178788931,7.649448665199715
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,85.0,84.36239926895163,-0.040500893385009874,2053.0,0.002943652083254928,8.66937515389301
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,95.0,94.3390591445847,-0.03914835050684575,1005.0,0.003898868900861641,9.689301642586306
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,105.0,104.44343610079784,-0.04274859644015724,477.0,0.006013777451261295,10.709228131279602
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,115.0,114.20108565023122,-0.051394543015688646,242.0,0.00964807917497468,11.729154619972897
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,125.0,124.09115255103922,-0.03934544964225629,106.0,0.013332671954849933,12.749081108666191
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,135.0,134.54295894077845,-0.06720125049053292,56.0,0.01591732249651926,13.769007597359487
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,145.0,143.82050120035808,-0.08330060873801509,30.0,0.02095647114512949,14.788934086052782
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,155.0,154.514163547092,-0.12339291752626498,18.0,0.016497731917056217,15.808860574746078
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,165.0,165.04654439290366,-0.08640950843174425,9.0,0.029039366566156674,16.828787063439375
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,175.0,174.5242665608724,-0.15424191703399023,6.0,0.02406988630106693,17.84871355213267
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,185.0,189.4875946044922,-0.04973337799310684,1.0,0.0,18.868640040825962
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,195.0,193.18759155273438,-0.1866341009736061,4.0,0.022138384092113012,19.88856652951926
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,205.0,203.99474334716797,-0.18843071162700653,2.0,0.010691622869425299,20.908493018212553
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,215.0,213.73538208007812,-0.2162526547908783,3.0,0.011281141807117728,21.92841950690585
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,225.0,226.73477935791016,-0.13053452223539352,2.0,0.004751419698519574,22.948345995599144
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,235.0,236.20465850830078,-0.2182656079530716,2.0,0.008346382557460855,23.96827248429244
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,245.0,,,0.0,,24.988198972985735
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,255.0,255.61097717285156,-0.1829986274242401,1.0,0.0,26.008125461679032
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,265.0,,,0.0,,27.028051950372326
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,275.0,279.861328125,-0.20470073819160461,1.0,0.0,28.047978439065623
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,285.0,281.8061218261719,-0.191323384642601,1.0,0.0,29.067904927758917
7352_liver_sham_Male_2-U1,emt_ecm,tierA_p95,ALL,295.0,296.08848353794644,-0.12923837825655937,7.0,0.03106585883572336,30.087831416452214
