n_cells,n_senders,prevalence_real,median_nn_um,lam_true,beta_true,med_d_sender,match_rate,max_smd_before,max_smd_after,smd_pass,u_sender_mean,u_decoy_mean,u_all_mean,lam_naive,beta_naive,se_lam_naive,se_beta_naive,lam_nuis,beta_nuis,se_lam_nuis,lam_decoy,beta_decoy,se_lam_decoy,lam_decoy_scale,beta_decoy_term,lam_decoy_nuis,beta_decoy_nuis,lam_decoyS,beta_decoyS,beta_decoyS_term,lam_decoyS_nuis,beta_decoyS_nuis,lam_naive_bin,beta_naive_bin,lam_decoy_only,beta_decoy_only,beta_true_minus_decoy,ci_lam_naive_iid_lo,ci_lam_naive_iid_hi,ci_lam_nuis_iid_lo,ci_lam_nuis_iid_hi,ci_lam_decoy_iid_lo,ci_lam_decoy_iid_hi,ci_lam_naive_blk_lo,ci_lam_naive_blk_hi,ci_lam_nuis_blk_lo,ci_lam_nuis_blk_hi,ci_lam_decoy_blk_lo,ci_lam_decoy_blk_hi,ci_beta_naive_blk_lo,ci_beta_naive_blk_hi,ci_beta_decoy_blk_lo,ci_beta_decoy_blk_hi,boot_sd_lam_naive,boot_sd_lam_nuis,boot_sd_lam_decoy,ci_lam_decoyS_blk_lo,ci_lam_decoyS_blk_hi,ci_beta_decoyS_blk_lo,ci_beta_decoyS_blk_hi,se_ratio_naive,cover_lam_naive_iid,cover_lam_nuis_iid,cover_lam_decoy_iid,cover_lam_naive_blk,cover_lam_nuis_blk,cover_lam_decoy_blk,cover_beta_naive_blk,cover_beta_decoy_blk,cover_lam_decoyS_blk,cover_beta_decoyS_blk,cover_beta_nuis_blk,bias_lam_naive,relbias_lam_naive,relbias_beta_naive,bias_lam_naive_bin,relbias_lam_naive_bin,relbias_beta_naive_bin,bias_lam_nuis,relbias_lam_nuis,relbias_beta_nuis,bias_lam_decoy,relbias_lam_decoy,relbias_beta_decoy,bias_lam_decoy_nuis,relbias_lam_decoy_nuis,relbias_beta_decoy_nuis,bias_lam_decoyS,relbias_lam_decoyS,relbias_beta_decoyS,bias_lam_decoyS_nuis,relbias_lam_decoyS_nuis,relbias_beta_decoyS_nuis,signal_retained_naive,signal_retained_nuis,signal_retained_decoy,signal_retained_decoy_nuis,signal_retained_decoyS,signal_retained_decoyS_nuis,signal_retained_subtract,decoy_cost_vs_naive,ripley50,sweep,cfg_id,rep,clustering,autocorr_len_um,conf_strength,prevalence,window_um,beta_true_cfg,ell_over_lambda,ell_ratio
11787,589,0.04997030626961907,11.620029537749202,30.0,1.0,71.1352985152637,0.9966044142614601,0.7060590286163059,0.04052127573765913,1.0,1.3201607432043347,0.7302989347946431,0.29942111050109876,31.428400990212552,2.201880852642094,2.0826650202908756,0.09020179079339272,21.8016064437119,1.5000729377506892,2.086875160548848,29.415974382290962,2.076141501513308,2.0303909049520716,135.6240445466867,2.6049712973818187,21.836956801043716,1.5036539709719103,40.19909397371012,1.8227210584008409,1.6881941241533982,21.86638917240395,1.5056835841519223,33.56095413897069,2.2114990906430854,101.36904986007947,2.6452671566164305,-0.43376806597334516,27.346377550442437,35.51042442998267,17.711331129036157,25.891881758387644,25.4364082085849,33.39554055599702,21.260156241320924,68.48292000272527,15.184351287940075,36.62578134860723,21.360481292248167,53.377861334568394,1.8801753923761542,2.5823119476309313,1.69989167738,2.4465709813663086,15.03980226333953,5.056643778065094,8.797951676554197,29.43246695349908,71.43761050461208,1.4527083673481622,2.1679017006883337,7.2214216481337905,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.4284009902125518,0.04761336634041839,1.2018808526420939,3.5609541389706934,0.11869847129902311,1.2114990906430854,-8.1983935562881,-0.27327978520960333,0.5000729377506892,-0.5840256177090382,-0.01946752059030127,1.076141501513308,-8.163043198956284,-0.27210143996520947,0.5036539709719103,10.19909397371012,0.33996979912367065,0.8227210584008409,-8.133610827596051,-0.27112036091986835,0.5056835841519223,2.201880852642094,1.5000729377506892,2.076141501513308,1.5036539709719103,1.8227210584008409,1.5056835841519223,-0.43376806597334516,0.942894570803907,6.236931661823876,main,9,0,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11763,588,0.04998724815098189,11.659362148879392,30.0,1.0,71.28686222296417,1.0,0.6771783351939991,0.039092326565621095,1.0,1.3322478265987396,0.6669679760490164,0.289405313803256,35.78806022019819,2.249242756669087,2.2355351603822773,0.08010544629951834,24.556067533858347,1.6476513327193016,2.0963946469891956,29.649706135749394,2.1330148781797362,1.9834926469657508,194.4962018954265,2.7654301679166324,24.256656382360816,1.653024251863105,42.06284327048109,1.844825608228474,1.501264847145205,24.579025379434405,1.651338091601156,36.59083456391106,2.253002260255318,134.1650370580767,2.689636490017112,-0.4366342297617938,31.406411305848927,40.16970913454745,20.447134025759524,28.66500104195717,25.76206054769652,33.53735172380227,27.594900645066804,52.16271568938459,18.484560412702344,33.42931442702951,23.00657314125368,41.0387550388514,1.918294811952943,2.5152610565092863,1.7889570252722806,2.3935526744897584,6.0829483135568925,4.071772383314735,4.572386511880721,32.52265960301821,60.18778001505523,1.461336536335257,2.1612154207757457,2.721025560840075,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.78806022019819,0.192935340673273,1.2492427566690871,6.590834563911059,0.219694485463702,1.2530022602553181,-5.4439324661416535,-0.18146441553805512,0.6476513327193016,-0.35029386425060594,-0.011676462141686864,1.1330148781797362,-5.743343617639184,-0.19144478725463945,0.6530242518631051,12.062843270481089,0.40209477568270297,0.844825608228474,-5.420974620565595,-0.18069915401885314,0.651338091601156,2.249242756669087,1.6476513327193016,2.1330148781797362,1.653024251863105,1.844825608228474,1.651338091601156,-0.4366342297617938,0.9483257740211762,7.777230959075219,main,9,1,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11797,590,0.050012715097058576,11.617893067940157,30.0,1.0,69.374724940515,0.9983050847457627,0.7124094698741064,0.03860147438179087,1.0,1.0652018444477713,0.7203436824472992,0.29486184239492813,77.04740061685307,1.9769829461842505,7.913877222997612,0.06137584390267903,31.711138793358593,1.0728397820329605,3.954683878746054,51.52431637897776,1.5805520577068537,5.131483800627211,360.8481133449273,4.487211339527472,31.253496658832184,1.0751150855537908,116.78968896128377,1.7149227916629788,2.092876956968296,31.27209552559484,1.0725071154351182,83.15052988869652,2.0066376434132605,283.1714883332594,4.629420688425215,-2.6227830450119547,61.53620125977775,92.55859997392838,23.95995839101633,39.46231919570086,41.46660812974842,61.582024628207094,43.66534177181942,399.9999999999999,18.763630393586524,168.67314260919247,31.21778804729137,213.37422187341213,1.6121169899535654,4.545665279132205,1.3009069648271268,2.490865688033538,80.13521344744174,53.38356986841527,54.928612512706025,59.6385983674749,324.17640647955847,1.3395706345143596,3.0490699500804594,10.125910623754685,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,47.04740061685307,1.5682466872284355,0.9769829461842505,53.150529888696525,1.7716843296232174,1.0066376434132605,1.711138793358593,0.05703795977861977,0.07283978203296049,21.52431637897776,0.7174772126325919,0.5805520577068537,1.2534966588321836,0.041783221961072786,0.07511508555379076,86.78968896128377,2.8929896320427924,0.7149227916629788,1.272095525594839,0.04240318418649463,0.07250711543511823,1.9769829461842505,1.0728397820329605,1.5805520577068537,1.0751150855537908,1.7149227916629788,1.0725071154351182,-2.6227830450119547,0.7994768294574605,7.873078598525342,main,9,2,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11862,593,0.049991569718428594,11.602645453258297,30.0,1.0,70.23850211450903,1.0,0.6721390208752583,0.11332338906343516,0.0,1.1457083751717392,0.6953868896580231,0.2961784070071932,77.65561889471414,2.022315615207773,6.989769674918818,0.05619482479245715,40.772388189271226,1.1304063628412735,4.5385915874583125,64.60597400843592,1.8524231594937703,5.5356963163811725,65.94590387506669,1.5369629894680603,40.68811755161979,1.1421580475483226,64.61425207118609,1.8524231594937703,1.5369629894680603,39.626737143754674,1.1581650027403012,78.07236157246683,2.09206317211194,60.81693872172155,1.872827092995279,0.21923607911666076,63.95567033187326,91.35556745755503,31.876748677852934,49.66802770068952,53.75600922832882,75.45593878854302,46.52174615172213,148.0695773552372,25.36375137132941,66.72611346439507,41.25252604273762,109.3931721687556,1.6932825791827728,2.7208419263445287,1.5752425128389296,2.253754991835704,27.09865441920456,10.847950324626108,17.68200255344089,49.04035482631722,95.99288291142548,1.546313173879275,2.2081073689256328,3.8769023414951507,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,47.65561889471414,1.5885206298238046,1.022315615207773,48.07236157246683,1.6024120524155612,1.0920631721119398,10.772388189271226,0.35907960630904084,0.1304063628412735,34.60597400843592,1.1535324669478642,0.8524231594937703,10.68811755161979,0.356270585053993,0.14215804754832262,34.61425207118609,1.1538084023728696,0.8524231594937703,9.626737143754674,0.3208912381251558,0.1581650027403012,2.022315615207773,1.1304063628412735,1.8524231594937703,1.1421580475483226,1.8524231594937703,1.1581650027403012,0.21923607911666076,0.9159911269851181,7.808010456783574,main,9,3,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11684,584,0.0499828825744608,11.681337068085053,30.0,1.0,69.31385691041697,1.0,0.9558963458950481,0.038588621400368735,1.0,1.1465348180335124,0.7554036931766545,0.2932677955895379,30.114260405710912,2.122183409743761,2.119496692929529,0.09851690194191119,23.162037408281186,1.6173370924395691,2.0384529347440394,26.193992033950384,2.0860257543069904,1.9364086791213695,56.50469000989531,1.1827493003302765,22.952072204457426,1.6258069137146751,32.32845426610292,1.8922855062722665,1.1904023853653476,22.817446120767116,1.6807383597039216,30.30174125171187,2.1611858198256795,60.80795685691505,1.5107776414937486,0.6504081783319309,25.960046887569035,34.26847392385279,19.16666965618287,27.157405160379504,22.3986310228725,29.989353045028267,20.953322519396977,42.787536566704816,17.39507955626138,31.619495636438934,18.458660087484514,35.55246697742422,1.874850131987619,2.473590551752363,1.7732344229456347,2.446441882316884,5.332603242168822,3.7004054386326817,4.347449243219351,23.9640675115097,46.475499489771025,1.49296629512777,2.274430037546323,2.515976203198598,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.11426040571091178,0.003808680190363726,1.1221834097437609,0.3017412517118707,0.010058041723729023,1.1611858198256795,-6.837962591718814,-0.22793208639062712,0.6173370924395691,-3.8060079660496164,-0.12686693220165388,1.0860257543069904,-7.047927795542574,-0.23493092651808578,0.6258069137146751,2.3284542661029235,0.07761514220343078,0.8922855062722665,-7.182553879232884,-0.23941846264109615,0.6807383597039216,2.122183409743761,1.6173370924395691,2.0860257543069904,1.6258069137146751,1.8922855062722665,1.6807383597039216,0.6504081783319309,0.9829620497122178,8.263675406732922,main,9,4,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11793,590,0.0500296786229119,11.633696638242927,30.0,1.0,65.61981066375851,1.0,0.5969429957165329,0.07731310429982453,1.0,1.1660324815483727,0.6739340581496611,0.3052680870593295,53.1994319090829,2.0427899003365,4.0191466214525775,0.05847217937018712,27.32181018891511,1.2785804681916637,2.8774173299130092,41.00021891959533,1.8711885338990883,3.1740393322430718,278.92379023340874,3.4348810664817093,27.097701446962663,1.2819010400554944,60.03311072418496,1.775539036300545,1.4414618750753085,27.31885275994584,1.2799790319582056,52.86610287192206,2.1656939550003247,243.06994196867572,4.29332509230295,-2.127631137302625,45.32190453103584,61.07695928712995,21.682072222285612,32.961548155544605,34.779101828398915,47.22133601079175,33.881466232685746,97.85400885628698,18.708362723148717,42.34919675725075,27.959134604513242,64.64548925701952,1.7099093025404208,2.481960466968556,1.5726034306697108,2.2355700555080853,18.73911642772856,6.21026090523811,9.605100086094927,42.4447998306668,123.34662775334347,1.4358505972759712,2.202616797230091,4.662461510537272,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23.199431909082897,0.7733143969694299,1.0427899003365,22.86610287192206,0.7622034290640687,1.1656939550003247,-2.6781898110848914,-0.08927299370282972,0.2785804681916637,11.000218919595333,0.36667396398651114,0.8711885338990883,-2.902298553037337,-0.09674328510124457,0.28190104005549443,30.033110724184958,1.0011036908061652,0.775539036300545,-2.681147240054159,-0.08937157466847197,0.2799790319582056,2.0427899003365,1.2785804681916637,1.8711885338990883,1.2819010400554944,1.775539036300545,1.2799790319582056,-2.127631137302625,0.9159965660643101,7.805335909177804,main,9,5,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11782,589,0.04999151247665931,11.713198373829476,30.0,1.0,69.61175065173143,1.0,0.5452078345377112,0.046160220283458585,1.0,1.1662099165146713,0.6303639004715724,0.28882187484811145,39.63186273322207,1.8312755909037792,2.992622162218481,0.07085988745669265,32.12625699732715,1.2019669756802858,3.275697176128282,33.957526388968226,1.7016852520039734,2.7450160154474257,122.3492014972006,1.8882831946238823,33.05025454835465,1.1784540833364854,44.242164566246345,1.58462384490537,1.319335453739129,33.084464701001984,1.1749990899331686,42.18448168194024,1.8437561280218469,167.44886859956495,2.916850461765243,-1.0730943337433962,33.76632329527385,45.49740217117029,25.705890532115713,38.54662346253858,28.577294998691272,39.33775777924518,30.703191447013456,53.77367267571682,22.475018894023094,43.615502055295316,26.227974251258935,43.654960209497766,1.5271735313426646,2.1276356816463307,1.4287618453448125,2.0117743773214594,5.957897289798826,5.834045201281723,4.6337433126439835,34.01770616218447,58.44783749053067,1.3121428344605408,1.8822202900317402,1.9908618485208758,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.631862733222071,0.32106209110740236,0.8312755909037792,12.184481681940241,0.40614938939800804,0.8437561280218469,2.126256997327147,0.07087523324423822,0.20196697568028577,3.957526388968226,0.13191754629894087,0.7016852520039734,3.0502545483546513,0.10167515161182171,0.17845408333648538,14.242164566246345,0.4747388188748782,0.58462384490537,3.084464701001984,0.10281549003339947,0.1749990899331686,1.8312755909037792,1.2019669756802858,1.7016852520039734,1.1784540833364854,1.58462384490537,1.1749990899331686,-1.0730943337433962,0.9292349335384033,7.152750155268209,main,9,6,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11716,586,0.0500170706725845,11.631594468859033,30.0,1.0,82.86760503045974,1.0,0.7348649463182959,0.059973618232932006,1.0,1.2810590125474879,0.721652185596509,0.3027835316460721,63.894254066398055,1.8955282577900974,4.638789896951709,0.05169183881878884,37.69958740946344,1.4239620509927013,3.0984981177995743,45.128391158245186,1.7374315992451788,3.3740740226462544,142.79219441275728,2.000246870680447,37.43196527503983,1.4239926014841182,63.75892644050672,1.6443997770193708,1.4226161429249906,37.77998570641644,1.423803237798071,58.1461353705126,1.8984634541748304,133.13300243662442,2.424456908438868,-0.5259934542640374,54.8022258683727,72.98628226442341,31.626531098576276,43.77264372035061,38.51520607385853,51.741576242631844,36.498139498673744,150.46674229085372,27.170880640448317,62.32297959681153,29.274105397270667,84.32939354096409,1.5987521333247745,2.4351426829671174,1.3924982856128907,2.1426993173255595,30.732717550090182,8.700171064967353,14.553230531491536,43.26952070867755,101.12811260550308,1.3493392161427429,2.009848743228236,6.625158334997149,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.894254066398055,1.1298084688799352,0.8955282577900974,28.146135370512603,0.9382045123504201,0.8984634541748304,7.69958740946344,0.25665291364878134,0.42396205099270134,15.128391158245186,0.5042797052748396,0.7374315992451788,7.431965275039829,0.24773217583466098,0.4239926014841182,33.75892644050672,1.1252975480168907,0.6443997770193708,7.77998570641644,0.259332856880548,0.42380323779807094,1.8955282577900974,1.4239620509927013,1.7374315992451788,1.4239926014841182,1.6443997770193708,1.423803237798071,-0.5259934542640374,0.9165949344752921,8.292885199823681,main,9,7,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11900,595,0.05,11.54519586001252,30.0,1.0,78.4047245567654,1.0,0.9569543658722488,0.036053132801839194,1.0,1.1591564068199602,0.848577468285531,0.2859233660611455,45.60129605996327,2.0310296915726074,2.959664048359974,0.0625674374430112,25.914702795801254,1.5865375381461346,2.197376791506953,34.797548199390846,1.9403077133044804,2.43156894964631,65.94590387506669,0.9930847074136437,25.735298916689043,1.5845289093030317,39.77203547641749,1.8780506001970927,0.960208136701228,25.626412246501644,1.5846464050337588,44.527258343469164,2.0754691292220193,56.33141619580028,1.5268403554729923,0.548628773749027,39.80035452517772,51.40223759474882,21.607844284447626,30.221561307154882,30.031673058084078,39.56342334069761,33.02345241657786,82.3075895674546,18.900265715480153,38.280177276138026,24.660980812054323,61.11907074969857,1.7074728487820818,2.3711518873488613,1.5759046696509473,2.3231664360051245,12.79680076164686,5.080005070890695,9.63578030065322,30.34960015518709,68.93499459586086,1.5483623649332388,2.2173601622654577,4.323734232180135,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.601296059963268,0.5200432019987756,1.0310296915726074,14.527258343469164,0.4842419447823055,1.0754691292220193,-4.085297204198746,-0.1361765734732915,0.5865375381461346,4.797548199390846,0.1599182733130282,0.9403077133044804,-4.264701083310957,-0.1421567027770319,0.5845289093030317,9.772035476417493,0.3257345158805831,0.8780506001970927,-4.373587753498356,-0.1457862584499452,0.5846464050337588,2.0310296915726074,1.5865375381461346,1.9403077133044804,1.5845289093030317,1.8780506001970927,1.5846464050337588,0.548628773749027,0.9553320275697783,7.059147002901975,main,9,8,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
11763,588,0.04998724815098189,11.62063039703716,30.0,1.0,72.09584364786092,1.0,0.6997376919141112,0.0865285465845784,1.0,1.173485815327486,0.7400903259836376,0.29831765718135045,62.93249456439699,2.018135456912753,4.150765492043484,0.051538764643494585,30.039635880400606,1.2924406419529981,2.891691185890045,42.032837884990634,1.7752272944884144,3.0944000377437657,166.650951013172,2.055984683002691,29.444125982824485,1.3185364479771071,56.18021317932757,1.6897402587179935,1.3199290739015743,29.788287382278796,1.2905258291295802,56.327628349711716,2.0302945580010134,203.90584907555697,3.241780665787252,-1.2114861077862384,54.79699419999176,71.06799492880222,24.371921156056118,35.707350604745095,35.96781381101285,48.097861958968416,36.43601069959445,130.6629045401766,17.74457667466234,55.14747047357972,27.618921391328488,81.56936826417171,1.7038824137665867,2.5238447016712424,1.4599254874488314,2.137509323027231,22.93918632220544,9.678497146346984,14.001283046024591,38.55616720950367,88.70434944064299,1.3297468284842093,2.0913817021914096,5.52649538167769,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.93249456439699,1.097749818813233,1.018135456912753,26.327628349711716,0.8775876116570572,1.0302945580010134,0.03963588040060628,0.0013211960133535428,0.2924406419529981,12.032837884990634,0.40109459616635446,0.7752272944884144,-0.5558740171755154,-0.018529133905850516,0.3185364479771071,26.180213179327573,0.8726737726442525,0.6897402587179935,-0.2117126177212043,-0.007057087257373477,0.29052582912958025,2.018135456912753,1.2924406419529981,1.7752272944884144,1.3185364479771071,1.6897402587179935,1.2905258291295802,-1.2114861077862384,0.8796373347525801,6.983480943202656,main,9,9,1.5,120.0,1.0,0.05,2000.0,1.0,4.0,4.0
