n_cells,n_senders,prevalence_real,median_nn_um,lam_true,beta_true,med_d_sender,match_rate,max_smd_before,max_smd_after,smd_pass,u_sender_mean,u_decoy_mean,u_all_mean,lam_naive,beta_naive,se_lam_naive,se_beta_naive,lam_nuis,beta_nuis,se_lam_nuis,lam_decoy,beta_decoy,se_lam_decoy,lam_decoy_scale,beta_decoy_term,lam_decoy_nuis,beta_decoy_nuis,lam_decoyS,beta_decoyS,beta_decoyS_term,lam_decoyS_nuis,beta_decoyS_nuis,lam_naive_bin,beta_naive_bin,lam_decoy_only,beta_decoy_only,beta_true_minus_decoy,ci_lam_naive_iid_lo,ci_lam_naive_iid_hi,ci_lam_nuis_iid_lo,ci_lam_nuis_iid_hi,ci_lam_decoy_iid_lo,ci_lam_decoy_iid_hi,ci_lam_naive_blk_lo,ci_lam_naive_blk_hi,ci_lam_nuis_blk_lo,ci_lam_nuis_blk_hi,ci_lam_decoy_blk_lo,ci_lam_decoy_blk_hi,ci_beta_naive_blk_lo,ci_beta_naive_blk_hi,ci_beta_decoy_blk_lo,ci_beta_decoy_blk_hi,boot_sd_lam_naive,boot_sd_lam_nuis,boot_sd_lam_decoy,ci_lam_decoyS_blk_lo,ci_lam_decoyS_blk_hi,ci_beta_decoyS_blk_lo,ci_beta_decoyS_blk_hi,se_ratio_naive,cover_lam_naive_iid,cover_lam_nuis_iid,cover_lam_decoy_iid,cover_lam_naive_blk,cover_lam_nuis_blk,cover_lam_decoy_blk,cover_beta_naive_blk,cover_beta_decoy_blk,cover_lam_decoyS_blk,cover_beta_decoyS_blk,cover_beta_nuis_blk,bias_lam_naive,relbias_lam_naive,relbias_beta_naive,bias_lam_naive_bin,relbias_lam_naive_bin,relbias_beta_naive_bin,bias_lam_nuis,relbias_lam_nuis,relbias_beta_nuis,bias_lam_decoy,relbias_lam_decoy,relbias_beta_decoy,bias_lam_decoy_nuis,relbias_lam_decoy_nuis,relbias_beta_decoy_nuis,bias_lam_decoyS,relbias_lam_decoyS,relbias_beta_decoyS,bias_lam_decoyS_nuis,relbias_lam_decoyS_nuis,relbias_beta_decoyS_nuis,signal_retained_naive,signal_retained_nuis,signal_retained_decoy,signal_retained_decoy_nuis,signal_retained_decoyS,signal_retained_decoyS_nuis,signal_retained_subtract,decoy_cost_vs_naive,ripley50,sweep,cfg_id,rep,clustering,autocorr_len_um,conf_strength,prevalence,window_um,beta_true_cfg,ell_over_lambda
11758,588,0.05000850484776322,11.70815668549655,30.0,0.0,66.13786072574388,1.0,0.3660106079802283,0.037654375249027275,1.0,1.0738630266934495,0.4733188875119197,0.2877397666264867,15.976050741825834,0.9792001516908586,3.2987566334654455,0.20180531910992644,8.893989756099748,0.6514483301881909,4.734182764049256,15.04679147292384,0.9674861436424615,3.2773392056506183,251.62280868185434,1.944821427202451,8.88902680190533,0.6513611918993572,31.543090573104287,0.5360798945341013,0.7478248089211932,8.456174646261626,0.701811522428526,14.771145977905663,1.1098919227880935,309.4082665467946,2.48033660412968,-1.3704446813415865,9.510487740233561,22.441613743418106,-0.38500846143679546,18.17298797363629,8.623206629848628,21.47037631599905,8.920079638099399,26.473182044193255,5.852199158369035,399.9999999999999,8.397422814737135,24.964768600748005,0.6137665452884083,1.7404639016534156,0.600944947412404,1.7602346558291686,4.428884130970313,171.5787162280097,19.66558202918623,18.476787001878186,399.9999999999999,0.05477494854007825,0.9644482048694353,1.3425919590550799,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-14.023949258174166,-0.4674649752724722,,-15.228854022094337,-0.5076284674031446,,-21.10601024390025,-0.7035336747966751,,-14.95320852707616,-0.498440284235872,,-21.11097319809467,-0.7036991066031556,,1.543090573104287,0.051436352436809565,,-21.543825353738374,-0.7181275117912791,,,,,,,,,0.9880371668364536,5.581521836204072,null,1,0,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11767,588,0.049970255800118976,11.691419186005646,30.0,0.0,65.89886781221291,1.0,0.4975226259922424,0.03086941662520364,1.0,1.072585958168421,0.5736965337832257,0.29039111049505667,26.26349894768963,1.0069113963259253,3.860122784630728,0.10348374213480872,399.9999999999999,0.5858039645562038,726.9813623664031,23.969277297118957,1.029763214543508,3.5276738580646407,59.491137490359385,1.1054045658156009,399.9999999999999,0.5965175051601984,37.37187676135024,0.8092566946540248,1.0502876818225964,13.286385475863108,0.608360585539493,25.218806414516855,1.0720622040874748,51.963628191352385,1.2163474425602536,-0.14428523847277885,18.697658289813404,33.829339605565856,-1024.88347023815,1824.88347023815,17.05503653531226,30.883518058925652,16.163450771370982,399.9999999999999,5.219781133168392,399.9999999999999,15.821185961794027,399.9999999999999,0.7491562894125134,1.596482208621888,0.7299630648491227,1.4568939813657482,81.5353600459773,185.03620123070874,76.77119125173947,24.254932796522546,118.35011162741941,0.5675571188330035,1.1456672740021574,21.122478375717584,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-3.73650105231037,-0.12455003507701233,,-4.781193585483145,-0.15937311951610483,,369.9999999999999,12.33333333333333,,-6.030722702881043,-0.20102409009603478,,369.9999999999999,12.33333333333333,,7.3718767613502365,0.24572922537834122,,-16.713614524136894,-0.5571204841378965,,,,,,,,,1.022694964324533,5.0115442651415405,null,1,1,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11821,591,0.04999577023940445,11.678255922148637,30.0,0.0,64.21555083609154,1.0,0.5283233736247408,0.028917202216904584,1.0,1.1517004184702135,0.5609627736914115,0.29058701962898476,20.523066712678137,0.872824878756901,3.950483183588299,0.140075154847094,5.32647223023611,1.249520648202363,3.535215429951918,15.286748146016102,0.9102840930553063,3.4376771056424746,53.66816181034961,1.0171531708844654,5.4299026033469024,1.1518615247850408,34.733733172692176,0.5145759391820377,0.9732870616985366,6.870936351674464,0.7565411543802636,22.356424459549704,0.8456153591831364,51.64138625937887,1.1534450005135801,-0.30782964133044377,12.780119672845071,28.266013752511203,-1.6025500124696492,12.25549447294187,8.548901018956851,22.024595273075352,10.063029604297684,38.00605231562561,3.0000000000000004,399.9999999999999,7.570202507980508,27.513426927549265,0.5886710308496604,1.5110578521161022,0.5751503564576032,1.9470503961735885,7.410033213984269,171.62514808723722,5.490412141812637,23.18598744183728,54.972171874250016,0.29489467229833416,0.8232639220392405,1.8757283273013694,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-9.476933287321863,-0.3158977762440621,,-7.643575540450296,-0.2547858513483432,,-24.67352776976389,-0.8224509256587963,,-14.713251853983898,-0.49044172846612993,,-24.570097396653097,-0.8190032465551033,,4.733733172692176,0.15779110575640587,,-23.129063648325534,-0.7709687882775178,,,,,,,,,1.0429172165116967,5.502481537525803,null,1,2,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11788,589,0.0499660671869698,11.679698782087895,30.0,0.0,63.504226887898696,1.0,0.4898762878141676,0.04057480744776475,1.0,1.1294006503129734,0.5507025045147883,0.2902017504550676,15.516632128074622,0.9327017830081362,3.393368130831003,0.2082589984224126,9.083642399248141,0.7231640336207427,4.142872403134783,14.598528494417694,0.9509441377688199,3.275898593086379,26.09563408705545,0.7286282440987861,9.156696287995588,0.7429238062690363,18.64598839056361,0.7968433090753592,0.8547626369996788,8.592652503954131,0.8577156876712764,15.390431563199428,0.9858830692178339,26.80226773282608,0.7997040702563675,0.1861789989614664,8.865630591645857,22.167633664503388,0.9636124891039675,17.203672309392317,8.177767251968392,21.019289736866995,10.926911896210123,25.49343069155931,5.932625841691516,399.9999999999999,10.350416433855292,24.059699927831723,0.6330930608541218,1.3015768654971112,0.6546092283260493,1.3311012878356645,3.5904430711466038,134.40541760322847,3.1869148162482746,12.818814059938257,34.11491436171995,0.44539201173209153,1.1782928273555664,1.0580764988405014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-14.483367871925378,-0.48277892906417924,,-14.609568436800572,-0.48698561456001904,,-20.91635760075186,-0.6972119200250619,,-15.401471505582306,-0.5133823835194102,,-20.843303712004413,-0.6947767904001471,,-11.354011609436391,-0.3784670536478797,,-21.40734749604587,-0.7135782498681956,,,,,,,,,1.0195586146537092,5.498917891024368,null,1,3,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11757,588,0.050012758356723655,11.615242258796743,30.0,0.0,61.94703097915958,1.0,0.27618293390518367,0.04183510363026005,1.0,1.047810633499629,0.522907126549171,0.3034315309087957,33.302201380273225,0.5646376840925827,8.426730057877895,0.08057522820139093,9.961927403786131,0.2748375105217915,10.463742117612444,28.89376391591828,0.5983530705298178,7.067402464498263,53.66816181034961,0.7712545215851027,9.888357979426345,0.28270199559927334,40.99533041507303,0.519906166479284,0.7420419495520668,9.303982567634238,0.30324803085055974,28.79988620837408,0.6411325999026508,54.030498632548905,0.8843104426784042,-0.24317784277575338,16.78581046683255,49.8185922937139,-10.54700714673426,30.47086195430652,15.041655085501686,42.745872746334875,17.487245776533886,399.9999999999999,5.6228159837776515,399.9999999999999,15.889338681720764,399.9999999999999,0.34279428903160303,1.1576697285129152,0.4006970190077344,1.2869188208073117,130.65696157154022,150.82599999467087,144.20980029719473,24.560924781744472,399.9999999999999,0.23954230485459127,1.1001994400307409,15.505060761901703,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.3022013802732246,0.11007337934244082,,-1.2001137916259204,-0.040003793054197344,,-20.03807259621387,-0.667935753207129,,-1.1062360840817185,-0.03687453613605728,,-20.111642020573655,-0.6703880673524552,,10.995330415073028,0.36651101383576756,,-20.696017432365764,-0.6898672477455254,,,,,,,,,1.0597115413779339,4.612692885382538,null,1,4,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11804,590,0.049983056590986105,11.684016542500899,30.0,0.0,60.61303972272103,1.0,0.45079176091371553,0.018427788722405764,1.0,1.1260780242746418,0.5541796410123713,0.2829877018394913,40.40808730793894,0.6866568913153035,9.218274893571559,0.06821704934375289,9.597828325338291,0.7298257245532361,4.107679581359225,27.576648360297767,0.6648607857837693,6.4950076182962535,39.401255758809576,0.7786320767714401,9.483399401824549,0.787122856840573,33.17222024553993,0.6099119864856919,0.7843723252422936,9.389605723812007,0.787122856840573,35.17844121727106,0.6706860245550262,37.08172517738309,0.8392874880623655,-0.1686014635073393,22.340268516538686,58.4759060993392,1.5467763458742105,17.648880304802372,14.846433428437111,40.306863292158425,18.305873182686938,196.4466807939274,4.861375628324391,38.943839670479576,12.151237647417064,399.9999999999999,0.5252696349646621,1.103934729303918,0.4631144274795938,1.2677480169790944,58.08537993562008,44.08183551821926,64.7002799720632,19.59895842181606,81.43181471900675,0.359353828762152,0.9383542836502224,6.301111716263355,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.408087307938942,0.3469362435979647,,5.178441217271057,0.17261470724236858,,-20.40217167466171,-0.6800723891553903,,-2.4233516397022328,-0.08077838799007443,,-20.51660059817545,-0.6838866866058484,,3.1722202455399326,0.10574067485133108,,-20.610394276187993,-0.6870131425395998,,,,,,,,,0.9682576468579768,5.75599763742523,null,1,5,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11720,586,0.05,11.704024882713362,30.0,0.0,61.01601380647368,0.9982935153583617,0.4326518591615721,0.05765299369022248,1.0,1.1010864236986007,0.5401600016464267,0.2948140108604388,17.084017538391258,1.0016753359433799,3.317544112184084,0.18600007400245322,5.1643425432310295,2.1460951488028432,2.1391418188900544,13.987505892443906,1.1129699560232662,2.8413764496646117,342.73358428412723,2.89876043939866,5.177439724710169,2.159394675911158,43.94514673564758,0.5396629760550814,0.8965280568267403,5.3129722259771635,2.1586528505265017,15.631530213305034,1.0684811998210917,399.9999999999999,3.279592938799063,-2.211111738977971,10.581631078510453,23.58640399827206,0.9716245782065229,9.357060508255536,8.418408051101267,19.556603733786545,9.562468092724021,62.298768101746866,3.0000000000000004,399.9999999999999,7.602076743081494,49.752562175057214,0.5823830094535851,1.7979027728176022,0.5929106464530295,2.169323025187284,25.602676657412058,114.69941900148321,17.24245143771935,20.60204064011195,399.9999999999999,0.28463156909661275,1.1387188227882585,7.71735832038619,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-12.915982461608742,-0.4305327487202914,,-14.368469786694966,-0.4789489928898322,,-24.83565745676897,-0.8278552485589656,,-16.012494107556094,-0.5337498035852032,,-24.82256027528983,-0.8274186758429943,,13.945146735647583,0.46483822452158613,,-24.687027774022837,-0.8229009258007612,,,,,,,,,1.111108476056335,6.031018005758904,null,1,6,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11787,589,0.04997030626961907,11.6765505095134,30.0,0.0,61.22943789704007,1.0,0.47104932570245484,0.04083976468438589,1.0,1.1725496857208288,0.5212897600242891,0.2922536988459793,23.750587922007163,0.8331183124424916,4.438249170544137,0.11512375482142566,8.128603391706886,0.9434694039080675,3.301297993608299,17.25032764797696,0.9016741042135071,3.538568382217194,150.33920315060246,1.5994713522642452,8.309609478682956,0.9189264903577307,55.81626230877045,0.48602260529531605,0.9976762387475284,13.46274655266478,0.48849767357029794,24.117827448663316,0.9180573504045659,133.78795172651334,1.7337787430088547,-0.8157213926042888,15.051619547740655,32.44955629627367,1.6580593242346193,14.599147459179152,10.314733618831259,24.18592167712266,14.223844316222943,67.40947071483355,4.052981056628214,235.5467577171692,11.04473267935616,34.000704912821575,0.5363627981853463,1.1796770172420754,0.5423629185158114,1.2667569021186948,19.665883989745463,63.31825334730485,6.148818798581982,30.470340601478956,114.90577918789877,0.245174767727091,0.8181122028616703,4.4310004314909595,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.249412077992837,-0.20831373593309455,,-5.882172551336684,-0.19607241837788944,,-21.871396608293114,-0.7290465536097704,,-12.74967235202304,-0.424989078400768,,-21.690390521317042,-0.7230130173772348,,25.816262308770447,0.860542076959015,,-16.537253447335218,-0.5512417815778405,,,,,,,,,1.082288182539197,4.411994242199437,null,1,7,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11776,589,0.050016983695652176,11.697435764743386,30.0,0.0,60.065389626325334,1.0,0.24602505254357615,0.04828219817713799,1.0,1.0849036063804731,0.44969164527805344,0.28644275268869135,15.876177050938018,0.8942219906748391,3.4806352747267137,0.1922070579561552,6.200498972428176,1.5230837642147212,2.383825719753281,14.801779081380095,0.9478366576487813,3.208494701252988,65.94590387506669,0.9784829316838839,6.2964945653853,1.5570381691540107,39.3618021563814,0.5241934961048578,0.861338735504602,6.457111108388488,1.4136306529200744,23.498626614362667,0.7007862934000901,104.00095960671172,1.333792923372206,-0.6330066299721158,9.05413191247366,22.69822218940238,1.5282005617117456,10.872797383144606,8.513129466924239,21.090428695835953,7.396200914630324,399.9999999999999,4.146309532330809,399.9999999999999,7.314030928600265,399.9999999999999,0.5197694874532736,1.8815755975525015,0.5333412209430244,2.0138709781216444,100.95288538663486,74.77486515559998,88.78786871124954,19.581013149191502,399.9999999999999,0.3106566480879998,1.1013821342316301,29.004155109173656,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.123822949061982,-0.47079409830206603,,-6.501373385637333,-0.2167124461879111,,-23.799501027571825,-0.7933167009190608,,-15.198220918619905,-0.5066073639539969,,-23.703505434614698,-0.79011684782049,,9.361802156381401,0.31206007187938006,,-23.54288889161151,-0.7847629630537171,,,,,,,,,1.0599567753120018,4.53519536217873,null,1,8,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
11794,590,0.05002543666270985,11.6770477982064,30.0,0.0,67.24380542648575,1.0,0.7728696860696822,0.02557432118446582,1.0,1.1289804148591314,0.5113157332306536,0.291964126300236,16.361708616446982,0.8832005334545998,3.7057248670263383,0.20068945134109897,8.23909971655935,0.6734399608690465,4.783824525323696,14.15397063060417,0.8707225164960044,3.682223616330748,76.96462430176948,0.6989980345792814,8.214337764885924,0.6693266499810615,24.14863385505536,0.5550862747734775,0.6741409921194659,8.17170592726398,0.7248631073692593,18.17882804926723,0.9749511070507867,62.51833382912981,0.8625924937135697,0.11235861333721697,9.09848787707536,23.624929355818605,-1.137196353075094,17.615395786193794,6.936812342595905,21.371128918612435,9.798656221288857,399.9999999999999,5.846452356660054,399.9999999999999,7.848055572361079,399.9999999999999,-0.5272269060172221,1.342341207450107,-0.7837315687034119,1.3613664647414776,62.671664420167346,178.40104159219308,96.53555340884392,16.332434659377842,399.9999999999999,-0.75784563864287,0.959158299891386,16.91212021103398,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-13.638291383553018,-0.4546097127851006,,-11.821171950732769,-0.3940390650244256,,-21.760900283440648,-0.725363342781355,,-15.84602936939583,-0.528200978979861,,-21.785662235114074,-0.7261887411704692,,-5.851366144944642,-0.1950455381648214,,-21.82829407273602,-0.727609802424534,,,,,,,,,0.9858718190422868,6.7296754410997455,null,1,9,1.5,30.0,1.0,0.05,2000.0,0.0,1.0
