n_cells,n_senders,prevalence_real,median_nn_um,lam_true,beta_true,med_d_sender,match_rate,max_smd_before,max_smd_after,smd_pass,u_sender_mean,u_decoy_mean,u_all_mean,lam_naive,beta_naive,se_lam_naive,se_beta_naive,lam_nuis,beta_nuis,se_lam_nuis,lam_decoy,beta_decoy,se_lam_decoy,lam_decoy_scale,beta_decoy_term,lam_decoy_nuis,beta_decoy_nuis,lam_decoyS,beta_decoyS,beta_decoyS_term,lam_decoyS_nuis,beta_decoyS_nuis,lam_naive_bin,beta_naive_bin,lam_decoy_only,beta_decoy_only,beta_true_minus_decoy,ci_lam_naive_iid_lo,ci_lam_naive_iid_hi,ci_lam_nuis_iid_lo,ci_lam_nuis_iid_hi,ci_lam_decoy_iid_lo,ci_lam_decoy_iid_hi,ci_lam_naive_blk_lo,ci_lam_naive_blk_hi,ci_lam_nuis_blk_lo,ci_lam_nuis_blk_hi,ci_lam_decoy_blk_lo,ci_lam_decoy_blk_hi,ci_beta_naive_blk_lo,ci_beta_naive_blk_hi,ci_beta_decoy_blk_lo,ci_beta_decoy_blk_hi,boot_sd_lam_naive,boot_sd_lam_nuis,boot_sd_lam_decoy,ci_lam_decoyS_blk_lo,ci_lam_decoyS_blk_hi,ci_beta_decoyS_blk_lo,ci_beta_decoyS_blk_hi,se_ratio_naive,cover_lam_naive_iid,cover_lam_nuis_iid,cover_lam_decoy_iid,cover_lam_naive_blk,cover_lam_nuis_blk,cover_lam_decoy_blk,cover_beta_naive_blk,cover_beta_decoy_blk,cover_lam_decoyS_blk,cover_beta_decoyS_blk,cover_beta_nuis_blk,bias_lam_naive,relbias_lam_naive,relbias_beta_naive,bias_lam_naive_bin,relbias_lam_naive_bin,relbias_beta_naive_bin,bias_lam_nuis,relbias_lam_nuis,relbias_beta_nuis,bias_lam_decoy,relbias_lam_decoy,relbias_beta_decoy,bias_lam_decoy_nuis,relbias_lam_decoy_nuis,relbias_beta_decoy_nuis,bias_lam_decoyS,relbias_lam_decoyS,relbias_beta_decoyS,bias_lam_decoyS_nuis,relbias_lam_decoyS_nuis,relbias_beta_decoyS_nuis,signal_retained_naive,signal_retained_nuis,signal_retained_decoy,signal_retained_decoy_nuis,signal_retained_decoyS,signal_retained_decoyS_nuis,signal_retained_subtract,decoy_cost_vs_naive,ripley50,sweep,cfg_id,rep,clustering,autocorr_len_um,conf_strength,prevalence,window_um,beta_true_cfg,ell_over_lambda
11903,595,0.04998739813492397,11.613018001126012,30.0,1.0,57.915199919098164,1.0,0.5355884387577652,0.03848046624561029,1.0,1.1341788186520338,0.4912551307546994,0.2889658235426107,27.772247129554938,1.736305717554493,2.362142538255849,0.093091908021286,20.654600221738093,1.4001418051228816,2.201200130705203,24.920531059342647,1.7836932328460693,2.086650007275733,89.82443253995854,1.5180013439982427,20.481493134188685,1.4261303198699022,33.60239686169276,1.5422692253780181,1.1953673072547402,21.46605032114571,1.372383516481742,28.71182173523369,1.743972491997028,75.0822893809282,1.4925971646688,0.251375327328228,23.142447754573475,32.4020465045364,16.340247965555896,24.96895247792029,20.83069704508221,29.010365073603083,20.857798689281015,39.24774679113417,15.29016694224744,29.29489334137184,19.624646519780114,33.98035733532185,1.456787876987146,2.0278120991908555,1.5072444771837472,2.0743724775716177,4.721509534159985,3.6548377499757216,3.571505810290307,27.723929300623094,43.62828651539675,1.2978509397815836,1.8071866902532525,1.998824989471735,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.2277528704450624,-0.07425842901483541,0.7363057175544929,-1.2881782647663087,-0.04293927549221029,0.7439724919970281,-9.345399778261907,-0.31151332594206355,0.40014180512288156,-5.079468940657353,-0.1693156313552451,0.7836932328460693,-9.518506865811315,-0.3172835621937105,0.42613031986990224,3.6023968616927604,0.12007989538975868,0.5422692253780181,-8.533949678854292,-0.2844649892951431,0.37238351648174195,1.736305717554493,1.4001418051228816,1.7836932328460693,1.4261303198699022,1.5422692253780181,1.372383516481742,0.251375327328228,1.0272921495405312,5.1031812894259865,prev,3,0,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11776,589,0.050016983695652176,11.651780845505433,30.0,1.0,62.14937443756022,0.9915110356536503,0.6329708342285729,0.054193024257678996,1.0,1.1798215345678562,0.5668976063989447,0.2997043456158666,25.666294132293853,1.8055083326406685,2.263326998610576,0.11100877763133178,20.95972093816057,1.4365071756842327,2.270651889826827,24.954570116930608,1.8571224320366546,2.140007407256651,293.6657744906124,2.1785548213897665,20.965154333600026,1.4403914557835573,29.280812900429506,1.70547221745679,0.8284334091662384,20.93046865833187,1.43917821376305,26.862874070342826,1.8449268857161116,146.57210613094048,1.3977187093080938,0.4472081764080178,21.230173215017125,30.10241504957058,16.509243234099987,25.41019864222115,20.760155598707573,29.148984635153642,19.139563555679082,36.54759845583343,15.754224213858327,27.18435791905725,19.100020590942204,35.199984652384224,1.5957507272530433,2.1235769108071625,1.622973586513302,2.1447066408419864,4.03792549622723,3.127731741248,3.6903528140074555,23.027260837168082,40.140623075101644,1.4804953025729746,1.932146626564897,1.7840663318672267,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-4.333705867706147,-0.14445686225687157,0.8055083326406685,-3.1371259296571736,-0.1045708643219058,0.8449268857161116,-9.040279061839431,-0.30134263539464773,0.4365071756842327,-5.045429883069392,-0.16818099610231307,0.8571224320366546,-9.034845666399974,-0.3011615222133325,0.4403914557835573,-0.7191870995704939,-0.023972903319016463,0.70547221745679,-9.069531341668132,-0.3023177113889377,0.43917821376305,1.8055083326406685,1.4365071756842327,1.8571224320366546,1.4403914557835573,1.70547221745679,1.43917821376305,0.4472081764080178,1.0285870181061405,6.181313615395261,prev,3,1,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11758,588,0.05000850484776322,11.668579893850545,30.0,1.0,61.56232996463786,1.0,0.5615446988397713,0.07976735887295257,1.0,1.1564042651644302,0.5325792751967372,0.29196449374818956,28.47224958945848,1.7828374531915843,2.3248295921169713,0.09591759271155283,21.010992177048298,1.5310271965768771,2.0934763150028863,25.36488028537566,1.809733662228474,2.1176278254996537,69.4313486839866,0.9595506066410681,20.75979628616752,1.5320240927592583,29.850935717617553,1.6383430721762997,0.8550351810104827,20.908516719561966,1.5323154713277696,29.23100875908311,1.855195395969366,88.23908523739384,1.4645962627727065,0.3905991331966594,23.915583588909218,33.02891559000774,16.90777859964264,25.114205754453955,21.214329747396338,29.51543082335498,19.210555832849973,44.64531164762378,14.437526958154859,31.96680324754811,17.153130769759287,41.30249215370409,1.511580941700157,2.198339949687696,1.4854433939555254,2.278038829729671,6.429019366738611,4.5919548972222,5.701461635891865,21.070788577326827,42.66448400370054,1.3886244972007844,1.9889698311525494,2.7653723045070144,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.5277504105415183,-0.050925013684717274,0.7828374531915843,-0.7689912409168898,-0.025633041363896325,0.8551953959693659,-8.989007822951702,-0.2996335940983901,0.5310271965768771,-4.6351197146243415,-0.15450399048747804,0.8097336622284741,-9.240203713832479,-0.30800679046108265,0.5320240927592583,-0.1490642823824473,-0.004968809412748243,0.6383430721762997,-9.091483280438034,-0.3030494426812678,0.5323154713277696,1.7828374531915843,1.5310271965768771,1.809733662228474,1.5320240927592583,1.6383430721762997,1.5323154713277696,0.3905991331966594,1.015086181294173,4.735005720897076,prev,3,2,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11748,587,0.04996595165134491,11.671382242740254,30.0,1.0,62.86475252418552,1.0,0.3318812439556226,0.06797280010038559,1.0,1.1325247173181805,0.5520927472580122,0.3057084040483874,23.651795827112213,1.9053057603981194,1.9715820023848314,0.11838368412557358,20.28667002717048,1.4847277304128956,2.087824503543098,24.000334617442526,1.8530397895688209,2.01599991744669,399.9999999999999,4.2719066417036515,20.38015542293881,1.4898283673310246,30.646420374778398,1.6210857792709004,1.0654648404755385,20.40247928177887,1.4913376302245516,23.67576806512468,1.946455597755168,399.9999999999999,4.8132512420453955,-2.866795644290227,19.787495102437944,27.516096551786482,16.194534000226007,24.378806054114953,20.048974779247015,27.951694455638037,18.931592954795505,31.80064887080889,15.399638965356601,28.670801363843427,19.24996859589307,31.28468180296803,1.5340762778880672,2.2808681758725973,1.5030790158167495,2.175020540256307,3.2794532133345515,3.6300951516101336,3.2264420976104886,23.705307955843377,42.659317677592504,1.2790732225919013,1.972198925905318,1.663361305473328,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-6.348204172887787,-0.21160680576292623,0.9053057603981194,-6.324231934875321,-0.2108077311625107,0.9464555977551681,-9.71332997282952,-0.323777665760984,0.48472773041289563,-5.999665382557474,-0.19998884608524914,0.8530397895688209,-9.61984457706119,-0.3206614859020397,0.48982836733102464,0.6464203747783976,0.021547345825946588,0.6210857792709004,-9.59752071822113,-0.31991735727403764,0.49133763022455157,1.9053057603981194,1.4847277304128956,1.8530397895688209,1.4898283673310246,1.6210857792709004,1.4913376302245516,-2.866795644290227,0.9725681977582551,4.997315992427641,prev,3,3,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11853,593,0.05002952838943727,11.66128846163079,30.0,1.0,65.13259252602593,0.9983136593591906,0.3640347048858548,0.06292299116052565,1.0,1.0808115347270035,0.4499270387190752,0.29093995002936435,23.194429121785173,2.008354089521325,1.8127619264273216,0.11965410451497296,18.523451860858092,1.7346328268041538,1.7437781591616828,22.514118834205338,2.1023219882901927,1.6900573964279033,399.9999999999999,3.2915074129825044,18.511361809486687,1.7299506936567408,26.270250598856183,1.9111786149361172,0.8290000982724576,18.532992013470643,1.7308039681545622,24.879730560237515,2.0081212206307315,399.9999999999999,3.546431231027353,-1.5383100103966214,19.641415745987622,26.747442497582725,15.105646668901194,21.94125705281499,19.20160633720665,25.826631331204027,18.69995472199489,29.94882974719002,14.468692282000012,23.840508390677304,18.572214896664295,28.03418998257543,1.7338616986814894,2.303155713629476,1.8167599132164864,2.38463523464681,2.9495107486209995,2.4919384139482177,2.527647615514461,20.890292277523127,34.43163492996532,1.6229503424170064,2.161695438975868,1.627081143762787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.8055708782148265,-0.22685236260716088,1.0083540895213252,-5.120269439762485,-0.17067564799208282,1.0081212206307315,-11.476548139141908,-0.3825516046380636,0.7346328268041538,-7.4858811657946625,-0.2495293721931554,1.1023219882901927,-11.488638190513313,-0.38295460635044376,0.7299506936567408,-3.729749401143817,-0.12432498003812723,0.9111786149361172,-11.467007986529357,-0.3822335995509786,0.7308039681545622,2.008354089521325,1.7346328268041538,2.1023219882901927,1.7299506936567408,1.9111786149361172,1.7308039681545622,-1.5383100103966214,1.0467885116768747,5.512092580811325,prev,3,4,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11763,588,0.04998724815098189,11.635786063854317,30.0,1.0,62.40135967709542,0.9965986394557823,0.5566053587185531,0.04848358903532717,1.0,1.044573259148734,0.5327309174893287,0.28240618797584843,28.333614316523224,1.7283196703842876,2.43217599488327,0.09736652210538888,20.509119141945188,1.5387843544129007,2.0573419952203738,27.0850199583548,1.7272698153040353,2.340059970721629,41.48373388526971,0.8127073116656591,20.503250911683505,1.5516260017056331,28.669570764352123,1.688947615298585,0.8384722253307295,20.13608413788431,1.5508262522043037,28.418215330893723,1.7784021308175324,47.767663674661264,0.998838896011626,0.7795632348059064,23.566549366552017,33.10067926649443,16.476728831313256,24.54150945257712,22.498502415740408,31.67153750096919,21.997518125729474,38.70218124688841,16.008061594719862,27.27079981229937,21.23993870160972,36.562120524527,1.4997666953983928,2.1006341326348283,1.5119952966756869,2.0680119194302446,4.21800043517618,2.884510092841499,3.6912750582533445,23.32465765540131,36.902799463571995,1.4479875222543894,2.022972680235176,1.73424967767541,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.6663856834767756,-0.055546189449225854,0.7283196703842876,-1.581784669106277,-0.052726155636875896,0.7784021308175324,-9.490880858054812,-0.31636269526849375,0.5387843544129007,-2.914980041645201,-0.09716600138817337,0.7272698153040353,-9.496749088316495,-0.31655830294388315,0.5516260017056331,-1.3304292356478769,-0.04434764118826256,0.688947615298585,-9.86391586211569,-0.3287971954038563,0.5508262522043037,1.7283196703842876,1.5387843544129007,1.7272698153040353,1.5516260017056331,1.688947615298585,1.5508262522043037,0.7795632348059064,0.9993925573502159,5.381165763490473,prev,3,5,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11810,590,0.04995766299745978,11.678265655756277,30.0,1.0,62.64961426619977,1.0,0.41097857501536045,0.07657067365994648,1.0,1.1418271189501512,0.5735554265947427,0.2862737828539199,21.952784151867302,2.033881121462928,1.766446266292031,0.13051835811104895,20.989942955988862,1.5330527034422785,2.0751548349139504,22.367283330965563,1.9871955499112848,1.800950173423546,59.491137490359385,1.1537908648666104,21.231587020801815,1.5439043691951742,26.606831119016512,1.8172429735717721,1.1315458503184386,20.66253479144737,1.6005069073584344,22.251170378602787,2.0710060797252696,71.02899042316918,1.3533039849352408,0.7177020947900288,18.490549469934923,25.41501883379968,16.92263947955752,25.057246432420204,18.837420991055414,25.897145670875712,15.775637748647044,28.247044264873946,15.462426323189101,26.432745474588064,16.204593151442353,29.65937977124569,1.8032008664511214,2.461050662205346,1.7498513748755717,2.3945337665990807,3.106629605446963,2.79034189060078,3.339113397518799,20.277327367600456,35.34290912772812,1.5751846664380913,2.072143944779265,1.758688993109384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.047215848132698,-0.2682405282710899,1.0338811214629282,-7.748829621397213,-0.25829432071324043,1.0710060797252696,-9.010057044011138,-0.3003352348003713,0.5330527034422785,-7.632716669034437,-0.2544238889678146,0.9871955499112848,-8.768412979198185,-0.2922804326399395,0.5439043691951742,-3.393168880983488,-0.11310562936611628,0.8172429735717721,-9.33746520855263,-0.31124884028508765,0.6005069073584344,2.033881121462928,1.5330527034422785,1.9871955499112848,1.5439043691951742,1.8172429735717721,1.6005069073584344,0.7177020947900288,0.977046066724852,5.2506144386320495,prev,3,6,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11664,583,0.049982853223593963,11.714025028207931,30.0,1.0,59.80324516397463,1.0,0.2796007721396473,0.10673566409566186,0.0,1.0470089462366203,0.5220009052413609,0.290763705966315,21.522014043294806,1.7482137584667028,2.0382092484202876,0.13155936354641545,19.30975279274487,1.4060290016335188,2.184256301068257,20.17002708884342,1.8586887464525725,1.8296177918195413,76.96462430176948,1.2992692599289988,19.072896404903965,1.442411960395022,27.39350879125496,1.5320523507011037,1.0904556542924562,19.875241695211045,1.3868027569987313,21.04367509307422,1.7448365029650599,76.79302151322895,1.2234410017157444,0.5213955012493154,17.52712391639104,25.516904170198572,15.028610442651086,23.590895142838654,16.58397621687712,23.75607796080972,15.700992039281367,32.29304330879176,13.467572636378092,31.14969186554156,15.098254692859621,28.575332707176386,1.4385468950431708,2.1990848063368524,1.5367871178235224,2.331673421424033,4.236071992142502,4.780878755789701,3.373695524263783,21.210429478237412,35.419039269877295,1.3161474413906469,1.827188700861959,2.0783302771418914,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.477985956705194,-0.2825995318901731,0.7482137584667028,-8.95632490692578,-0.29854416356419267,0.7448365029650599,-10.69024720725513,-0.356341573575171,0.40602900163351885,-9.829972911156581,-0.3276657637052194,0.8586887464525725,-10.927103595096035,-0.3642367865032012,0.44241196039502206,-2.606491208745041,-0.08688304029150136,0.5320523507011037,-10.124758304788955,-0.3374919434929652,0.38680275699873135,1.7482137584667028,1.4060290016335188,1.8586887464525725,1.442411960395022,1.5320523507011037,1.3868027569987313,0.5213955012493154,1.063193066323173,4.075517361062617,prev,3,7,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11810,590,0.04995766299745978,11.742272299052463,30.0,1.0,62.2154282611741,1.0,0.46023748955575616,0.05388204773796944,1.0,1.0828042056372063,0.5695696020389439,0.2874528136776578,20.509466209539998,2.0343311959035066,1.743881929539182,0.14587535567220378,20.55442491684267,1.4979209879886735,2.139026180055056,19.795253280928137,2.0086419942808145,1.7120519462550068,89.82443253995854,1.5283251556794881,20.45472340992917,1.5237950206442863,24.521710846091782,1.7408811785275902,1.2380879447132398,20.46878380801535,1.523276098591465,21.201636661231294,2.0457269425971574,77.32026318153052,1.473206090540438,0.5725208520567193,17.0914576276432,23.927474791436794,16.36193360393476,24.746916229750582,16.439631466268324,23.15087509558795,16.273114856825682,26.6522806937876,15.685492400173196,27.0243643470622,15.75280110768387,26.415758581145603,1.6396442188826073,2.4099713275887766,1.7272836869843904,2.413095129337256,2.5740454926677385,2.885203069562046,2.516778352673426,19.807515348574768,31.448537998706584,1.38496790116271,2.134906519426916,1.4760434459848586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.490533790460002,-0.31635112634866674,1.0343311959035066,-8.798363338768706,-0.29327877795895685,1.0457269425971574,-9.44557508315733,-0.314852502771911,0.49792098798867346,-10.204746719071863,-0.3401582239690621,1.0086419942808145,-9.54527659007083,-0.3181758863356944,0.5237950206442863,-5.478289153908218,-0.18260963846360725,0.7408811785275902,-9.531216191984651,-0.31770720639948835,0.5232760985914651,2.0343311959035066,1.4979209879886735,2.0086419942808145,1.5237950206442863,1.7408811785275902,1.523276098591465,0.5725208520567193,0.9873721635521188,6.3106705842181,prev,3,8,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
11768,588,0.049966009517335146,11.66136668419832,30.0,1.0,58.84667782830215,1.0,0.30658133802133253,0.05123191129945395,1.0,1.0320192793208405,0.4376461311421434,0.2897920560171925,22.68944210050471,1.8023931511575337,2.059510489522949,0.12448030358418996,18.760658193781964,1.4289422032108954,2.125947648544143,21.439368095281722,1.8282677597590435,1.9488027590820212,399.9999999999999,3.6930767972194793,18.678236101906588,1.4353588590192574,26.622462595788036,1.623773686467762,0.9218457559271829,18.807839768632846,1.4344460037922722,22.52946164900239,1.8663026060568444,399.9999999999999,4.160591869676594,-2.2942892636197496,18.65280154103973,26.72608265996969,14.593800802635444,22.927515584928486,17.61971468748096,25.259021503082483,17.278392970984598,32.66949209711256,14.223507137022452,26.75647183579093,16.48455039906635,31.166415707328433,1.4662297407103297,2.1165230485393773,1.5009632856834818,2.1863216107626564,4.03565538028563,3.4985674272977056,3.8908426627491814,20.21018592193961,38.84569230851769,1.3222013285107204,1.88850766011345,1.959521644009894,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-7.31055789949529,-0.24368526331650966,0.8023931511575337,-7.470538350997611,-0.2490179450332537,0.8663026060568444,-11.239341806218036,-0.3746447268739345,0.4289422032108954,-8.560631904718278,-0.2853543968239426,0.8282677597590435,-11.321763898093412,-0.37739212993644705,0.4353588590192574,-3.3775374042119637,-0.1125845801403988,0.6237736864677621,-11.192160231367154,-0.3730720077122385,0.43444600379227216,1.8023931511575337,1.4289422032108954,1.8282677597590435,1.4353588590192574,1.623773686467762,1.4344460037922722,-2.2942892636197496,1.0143556962502285,4.224664394901428,prev,3,9,1.5,30.0,1.0,0.05,2000.0,1.0,1.0
