n_cells,n_senders,prevalence_real,median_nn_um,lam_true,beta_true,med_d_sender,match_rate,max_smd_before,max_smd_after,smd_pass,u_sender_mean,u_decoy_mean,u_all_mean,lam_naive,beta_naive,se_lam_naive,se_beta_naive,lam_nuis,beta_nuis,se_lam_nuis,lam_decoy,beta_decoy,se_lam_decoy,lam_decoy_scale,beta_decoy_term,lam_decoy_nuis,beta_decoy_nuis,lam_decoyS,beta_decoyS,beta_decoyS_term,lam_decoyS_nuis,beta_decoyS_nuis,lam_naive_bin,beta_naive_bin,lam_decoy_only,beta_decoy_only,beta_true_minus_decoy,ci_lam_naive_iid_lo,ci_lam_naive_iid_hi,ci_lam_nuis_iid_lo,ci_lam_nuis_iid_hi,ci_lam_decoy_iid_lo,ci_lam_decoy_iid_hi,ci_lam_naive_blk_lo,ci_lam_naive_blk_hi,ci_lam_nuis_blk_lo,ci_lam_nuis_blk_hi,ci_lam_decoy_blk_lo,ci_lam_decoy_blk_hi,ci_beta_naive_blk_lo,ci_beta_naive_blk_hi,ci_beta_decoy_blk_lo,ci_beta_decoy_blk_hi,boot_sd_lam_naive,boot_sd_lam_nuis,boot_sd_lam_decoy,ci_lam_decoyS_blk_lo,ci_lam_decoyS_blk_hi,ci_beta_decoyS_blk_lo,ci_beta_decoyS_blk_hi,se_ratio_naive,cover_lam_naive_iid,cover_lam_nuis_iid,cover_lam_decoy_iid,cover_lam_naive_blk,cover_lam_nuis_blk,cover_lam_decoy_blk,cover_beta_naive_blk,cover_beta_decoy_blk,cover_lam_decoyS_blk,cover_beta_decoyS_blk,cover_beta_nuis_blk,bias_lam_naive,relbias_lam_naive,relbias_beta_naive,bias_lam_naive_bin,relbias_lam_naive_bin,relbias_beta_naive_bin,bias_lam_nuis,relbias_lam_nuis,relbias_beta_nuis,bias_lam_decoy,relbias_lam_decoy,relbias_beta_decoy,bias_lam_decoy_nuis,relbias_lam_decoy_nuis,relbias_beta_decoy_nuis,bias_lam_decoyS,relbias_lam_decoyS,relbias_beta_decoyS,bias_lam_decoyS_nuis,relbias_lam_decoyS_nuis,relbias_beta_decoyS_nuis,signal_retained_naive,signal_retained_nuis,signal_retained_decoy,signal_retained_decoy_nuis,signal_retained_decoyS,signal_retained_decoyS_nuis,signal_retained_subtract,decoy_cost_vs_naive,ripley50,sweep,cfg_id,rep,clustering,autocorr_len_um,conf_strength,prevalence,window_um,beta_true_cfg,ell_over_lambda,ell_ratio,regime
11810,590,0.04995766299745978,11.774205489087995,30.0,1.0,38.65510741595211,1.0,0.18879954125344603,0.034746682423885136,1.0,1.1672873760822444,0.39973602325883956,0.2704997269345815,24.052317016195047,1.4711203990077961,3.1229972329260574,0.09873128909461257,17.773220301372106,1.4615054208424512,2.2694245418646335,23.4211460541693,1.461125969858002,3.057737443317492,50.97402696302673,0.21638989142718146,17.777975685258163,1.4626487775123596,23.949201905099493,1.4643221080809992,0.21998664721933472,17.780754609386108,1.4612443188781898,26.022709015160356,1.4780326252470866,81.11956502197499,0.37026866965595573,1.107763955591131,17.931242439659975,30.17339159273012,13.325148199317425,22.221292403426787,17.427980665267015,29.414311443071583,17.99266745833524,34.386688496935676,13.698866979651852,22.707129652084653,17.426707042244235,33.540918487138015,1.2581892165443929,1.7700583693185887,1.258789512589338,1.761614784241847,4.229348736626106,2.458266112298556,4.154699046654516,17.982382818452145,34.13856831951093,1.2592664422706765,1.760328868166769,1.3542595209613633,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.9476829838049525,-0.1982560994601651,0.4711203990077961,-3.9772909848396445,-0.13257636616132148,0.47803262524708656,-12.226779698627894,-0.4075593232875965,0.46150542084245116,-6.578853945830701,-0.21929513152769003,0.4611259698580019,-12.222024314741837,-0.4074008104913946,0.46264877751235955,-6.050798094900507,-0.20169326983001692,0.46432210808099916,-12.219245390613892,-0.40730817968712973,0.46124431887818984,1.4711203990077961,1.4615054208424512,1.461125969858002,1.4626487775123596,1.4643221080809992,1.4612443188781898,1.107763955591131,0.9932062466426711,1.0871439205288145,main,0,0,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11778,589,0.0500084904058414,11.781622915552195,30.0,1.0,38.55550294005522,1.0,0.21000381103204888,0.058725288725000595,1.0,1.2416930498556848,0.45021153854716905,0.28237146039364663,27.132332970799677,1.3759513350035555,4.024385349192884,0.08385944030797945,23.245419367416403,1.312706392810647,3.2825753448371784,27.33530893172922,1.38020491636283,4.052078343642145,399.9999999999999,0.5932642065704576,23.257686465754325,1.3138945342382007,27.756138425787363,1.3797042676237965,0.11787228959467412,23.280652904025867,1.3145215896091482,27.621675879586824,1.426822954170342,399.9999999999999,0.7231270742855966,0.7036958798847455,19.244537686381626,35.02012825521773,16.811571691535534,29.679267043297273,19.393235378190617,35.27738248526782,21.309981517535338,35.10276281928064,17.784284176311655,29.87678327618966,21.479722120826434,35.42881560529635,1.2417039344638279,1.5336253733797944,1.2444167177980856,1.5390699082476542,3.682977026157173,3.1965350619310944,3.6714098561209414,21.89228564704583,36.845010094949934,1.2435355668750394,1.5301904396821076,0.9151651013976128,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.867667029200323,-0.0955889009733441,0.3759513350035555,-2.3783241204131755,-0.07927747068043918,0.4268229541703421,-6.754580632583597,-0.22515268775278657,0.31270639281064705,-2.6646910682707805,-0.08882303560902602,0.38020491636283005,-6.742313534245675,-0.22474378447485582,0.3138945342382007,-2.2438615742126373,-0.07479538580708792,0.3797042676237965,-6.719347095974133,-0.2239782365324711,0.3145215896091482,1.3759513350035555,1.312706392810647,1.38020491636283,1.3138945342382007,1.3797042676237965,1.3145215896091482,0.7036958798847455,1.0030913748553931,1.028574093634119,main,0,1,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11831,592,0.05003803566900516,11.69741145005244,30.0,1.0,38.734990493124315,1.0,0.23168101946519967,0.08607470269817781,1.0,1.2581956640461194,0.43324512293333495,0.28595323711358767,28.319210635714054,1.2913803385348779,4.319141834958129,0.0806992398656892,23.446285169770487,1.3149246653280617,3.2019615328810613,27.994840242479956,1.306132875158999,4.212991029258903,399.9999999999999,0.31707126425296334,23.48458997142184,1.3127893227104477,28.55957395108261,1.2916766012082483,0.05576594067933948,23.39266262409952,1.3101863156811084,31.0233866702948,1.3393016503149051,399.9999999999999,0.8160583615372115,0.5232432887776937,19.85369263919612,36.78472863223199,17.170440565323606,29.72212977421737,19.737377825132505,36.25230265982741,20.679376845650644,42.23957144311885,17.50204980516298,32.88766896816223,20.866483343626008,41.47444309553365,1.1273564972179575,1.5153907090200456,1.1275851330543663,1.514175170852987,5.6474543152393055,3.917113631275251,5.463220097418677,20.851066228684818,42.90804108440319,1.1239032259330837,1.509169744236719,1.3075408335818295,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.6807893642859462,-0.056026312142864874,0.2913803385348779,1.0233866702948013,0.03411288900982671,0.3393016503149051,-6.553714830229513,-0.21845716100765042,0.31492466532806174,-2.005159757520044,-0.06683865858400147,0.3061328751589989,-6.5154100285781595,-0.21718033428593866,0.3127893227104477,-1.4404260489173915,-0.04801420163057971,0.29167660120824834,-6.607337375900482,-0.22024457919668272,0.31018631568110844,1.2913803385348779,1.3149246653280617,1.306132875158999,1.3127893227104477,1.2916766012082483,1.3101863156811084,0.5232432887776937,1.0114238510405527,1.0549614840402355,main,0,2,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11795,590,0.05002119542178889,11.719578992799512,30.0,1.0,38.67228062562515,1.0,0.16009678772139227,0.06629090619911124,1.0,1.2383360112385051,0.4796022943340899,0.2780802593747595,30.53550785679059,1.3523653176501256,4.545945780256707,0.07250466898594445,24.789604224661765,1.2741278763939277,3.5080224035678005,30.04770976946611,1.3458844805428012,4.46240618945394,28.9270007207838,0.33480382625105526,24.800013322644727,1.277415062187722,29.98936683239692,1.3457619424900191,0.33147760492324235,23.932248816478378,1.3000470665363555,32.93309954350969,1.3799722992712595,39.35750427489878,0.39880575643631827,0.9811665428349412,21.625454127487444,39.44556158609374,17.913880313668876,31.665328135654654,21.30139363813639,38.79402590079583,21.37918508804947,47.4578901828285,18.373233495181218,32.2328139694008,20.456854622369075,46.981116369822296,1.1997366067292863,1.5850134716087498,1.197787294206168,1.592756207809053,7.020856810468119,3.4819356214231068,7.037580592022948,20.888656594662493,46.483466280964585,1.1878477600579551,1.5877197325521775,1.544421590103447,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5355078567905913,0.01785026189301971,0.3523653176501256,2.933099543509691,0.09776998478365637,0.37997229927125953,-5.210395775338235,-0.17367985917794115,0.27412787639392766,0.04770976946610972,0.001590325648870324,0.3458844805428012,-5.199986677355273,-0.1733328892451758,0.27741506218772205,-0.01063316760307842,-0.000354438920102614,0.3457619424900191,-6.067751183521622,-0.20225837278405406,0.3000470665363555,1.3523653176501256,1.2741278763939277,1.3458844805428012,1.277415062187722,1.3457619424900191,1.3000470665363555,0.9811665428349412,0.9952077763140321,1.1113224360315537,main,0,3,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11884,594,0.049983170649612926,11.71973989662217,30.0,1.0,38.43662876267482,1.0,0.21660451877461215,0.03607661214741186,1.0,1.2257047856909788,0.42699475371466683,0.26255024875630134,25.164203567265915,1.545005419818985,3.1963872508483204,0.09186421563494732,18.879206508177155,1.3986176092084368,2.4887988727889434,24.824813890840446,1.5406235244967972,3.1497298098399353,28.9270007207838,0.3452024355587984,18.94806830172289,1.4034131545902595,25.09791713947951,1.5412684205402734,0.35919708018641405,18.69699117547843,1.402404957159824,32.121559434398684,1.5251155059147048,64.50974658656543,0.4843209308372522,1.0407945750774525,18.899284555603206,31.429122578928624,14.001160717510826,23.757252298843483,18.651343463554173,30.998284318126718,18.7708458480823,36.595310568397835,14.118475037836303,25.531830156463656,18.50896670644173,35.56787486839686,1.3613806531185817,1.7804143734394149,1.3690162978833054,1.7781071609119667,4.7767879287828805,2.7136296663850525,4.575397814910607,18.871748917893225,35.67032155695387,1.3692319900519117,1.7987545348795275,1.4944334193283753,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-4.835796432734085,-0.16119321442446952,0.5450054198189851,2.1215594343986837,0.07071864781328946,0.5251155059147048,-11.120793491822845,-0.3706931163940948,0.3986176092084368,-5.175186109159554,-0.17250620363865182,0.5406235244967972,-11.051931698277109,-0.36839772327590364,0.4034131545902595,-4.9020828605204905,-0.16340276201734968,0.5412684205402734,-11.30300882452157,-0.37676696081738564,0.40240495715982405,1.545005419818985,1.3986176092084368,1.5406235244967972,1.4034131545902595,1.5412684205402734,1.402404957159824,1.0407945750774525,0.9971638317471395,1.1293172914044352,main,0,4,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11924,596,0.04998322710499832,11.721520491773472,30.0,1.0,38.45969315317916,1.0,0.22189321365614578,0.07250975102810815,1.0,1.2572697756326494,0.47339107499147143,0.282129825917476,28.44555485270464,1.3624260531152883,4.229078744577467,0.07860872058820416,22.968572863421045,1.255595417518636,3.326005588814673,27.615203078205514,1.37362036871683,4.029742261911925,16.415641858297096,0.44369357374745794,22.853220215851714,1.2882840865309162,26.77123787263314,1.3886050987081997,0.3478708584224866,22.059368589988487,1.2877439802114719,30.06199167756314,1.4336525806673202,37.344003081381224,0.46130860467336565,0.9723439759939545,20.156560513332806,36.73454919207647,16.44960190934429,29.4875438174978,19.716908244858143,35.51349791155289,21.77120665474746,41.059785334026024,18.373700857427337,29.4383096029215,21.322786336095067,39.60445730630094,1.2266586398509587,1.5271992295201913,1.2226701409335574,1.5289596546840398,5.079445896754712,2.9553036436698554,4.652308264470054,21.044213429781518,37.25427384203244,1.2185178715501168,1.5359989250517718,1.2010762162486541,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.554445147295361,-0.0518148382431787,0.3624260531152883,0.061991677563138836,0.002066389252104628,0.43365258066732015,-7.031427136578955,-0.23438090455263183,0.2555954175186359,-2.3847969217944858,-0.07949323072648286,0.37362036871683,-7.146779784148286,-0.2382259928049429,0.2882840865309162,-3.22876212736686,-0.107625404245562,0.3886050987081997,-7.9406314100115125,-0.2646877136670504,0.28774398021147185,1.3624260531152883,1.255595417518636,1.37362036871683,1.2882840865309162,1.3886050987081997,1.2877439802114719,0.9723439759939545,1.0082164573819952,1.087744300902602,main,0,5,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11814,591,0.050025393600812595,11.779346071898631,30.0,1.0,38.02288732021484,1.0,0.18417153201451655,0.04421325332953946,1.0,1.2276067146357843,0.3701694967634829,0.2678083310721825,28.586399928091605,1.3173489082179384,4.569174912288022,0.07848093992496782,19.845302067102917,1.1703700316284749,3.1600584494876784,28.28785442429023,1.3180101470045356,4.488780652426376,399.9999999999999,1.7511895465238223,20.09904000342777,1.1816241168171417,34.62809224446438,1.2937113730908725,0.4347936315386879,20.26514771670214,1.1785549608180919,31.61391948650399,1.347934510183681,399.9999999999999,2.1233351753376657,-0.7754006651539846,19.630817100007082,37.541982756176125,13.651587506107067,26.039016628098768,19.489844345534536,37.085864503045926,20.745718239819798,40.03654154798137,15.100838786302008,26.153777704951896,20.28885989948887,39.92805580280121,1.1808808060281142,1.5010097465581238,1.1849710611608564,1.5045551109363995,5.132488267626726,2.9330470918966665,5.173828653399807,23.023899365981283,53.99198798505476,1.1606788103742525,1.4701475599244969,1.1232855747815143,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.4136000719083945,-0.047120002396946484,0.3173489082179384,1.6139194865039883,0.05379731621679961,0.34793451018368104,-10.154697932897083,-0.33848993109656944,0.17037003162847486,-1.7121455757097692,-0.05707151919032564,0.31801014700453556,-9.90095999657223,-0.330031999885741,0.18162411681714175,4.6280922444643835,0.15426974148214612,0.2937113730908725,-9.734852283297862,-0.3244950761099287,0.17855496081809186,1.3173489082179384,1.1703700316284749,1.3180101470045356,1.1816241168171417,1.2937113730908725,1.1785549608180919,-0.7754006651539846,1.0005019465856557,1.0610212825508152,main,0,6,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11850,592,0.049957805907173,11.779685681634394,30.0,1.0,38.12571009318627,1.0,0.21671903474063653,0.015019062879081611,1.0,1.2648031158828121,0.4407986946376128,0.2649207959490787,24.859975080998133,1.4239811653250063,3.365824250883834,0.09436865771770961,18.64407253535997,1.4398804943546737,2.368251874737105,23.97975442632516,1.435245785994449,3.214718485140305,399.9999999999999,0.6472521419228142,18.543220994361377,1.4395722319594122,24.989023099265687,1.4182561647538163,0.1391074236900879,18.658819555322985,1.440663980337578,28.141427657721305,1.4368275863586315,399.9999999999999,1.310093981454009,0.1267336049046226,18.26295954926582,31.456990612730447,14.002298860875246,23.285846209844696,17.678906195450164,30.28060265720016,18.000639617926666,35.06067018314884,13.735302541981293,23.918650679998706,17.50656329687356,34.01090956113394,1.2849453344773025,1.6540189662933682,1.2806034777566009,1.6624880239812971,4.4774397579982494,2.812748435330673,4.240212213338007,18.310308517901028,35.52790468487642,1.2733482491588954,1.635356043213826,1.3302654637485947,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.140024919001867,-0.1713341639667289,0.4239811653250063,-1.8585723422786948,-0.06195241140928983,0.4368275863586315,-11.355927464640029,-0.37853091548800094,0.4398804943546737,-6.020245573674838,-0.20067485245582795,0.43524578599444896,-11.456779005638623,-0.38189263352128744,0.4395722319594122,-5.010976900734313,-0.16703256335781044,0.41825616475381633,-11.341180444677015,-0.3780393481559005,0.44066398033757803,1.4239811653250063,1.4398804943546737,1.435245785994449,1.4395722319594122,1.4182561647538163,1.440663980337578,0.1267336049046226,1.0079106528539454,1.088420386212729,main,0,7,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11799,590,0.05000423764725824,11.64207935341779,30.0,1.0,39.32908407801907,1.0,0.1243896104658479,0.02660899787938098,1.0,1.2178646279094465,0.44727101657300117,0.27864680031417893,29.90715853457109,1.3399445039942728,4.389742018037842,0.07345594817292433,23.829332606898657,1.2036974575120063,3.5111513075120895,30.675658978514612,1.3468354925600505,4.524816935522732,399.9999999999999,0.7547416116504112,23.534777477086312,1.1982316032888911,30.982385338573135,1.3464478973660055,0.18374883504957518,23.814661546817696,1.1998474768614988,32.56912791231628,1.349398114446988,399.9999999999999,0.6700898227559995,0.6793082916909885,21.303264179216917,38.51105288992526,16.947476044174962,30.71118916962235,21.807017784890057,39.54430017213917,23.08313723216256,42.484317632309434,17.873720316650115,32.89701209296717,23.404575094819258,43.77741025877863,1.193453065339585,1.5244634028602004,1.1997104741007147,1.5267441011769314,5.188825794759402,3.8397993624794444,5.501542292891814,22.949256555311475,46.9708139630615,1.1981096248899392,1.5238284047218937,1.182034336741898,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.09284146542891136,-0.0030947155142970455,0.3399445039942728,2.569127912316283,0.08563759707720943,0.349398114446988,-6.170667393101343,-0.2056889131033781,0.2036974575120063,0.6756589785146119,0.022521965950487062,0.34683549256005053,-6.465222522913688,-0.21550741743045626,0.1982316032888911,0.9823853385731347,0.032746177952437824,0.34644789736600545,-6.185338453182304,-0.20617794843941012,0.19984747686149884,1.3399445039942728,1.2036974575120063,1.3468354925600505,1.1982316032888911,1.3464478973660055,1.1998474768614988,0.6793082916909885,1.0051427417667196,1.2697308786595523,main,0,8,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
11779,589,0.050004244842516345,11.800770936827135,30.0,1.0,39.258566412146,1.0,0.22891172638108373,0.02744960084097324,1.0,1.2766345541141906,0.43900053616316703,0.2764251825629656,20.343921874112386,1.5942088226648596,2.347213753333118,0.1229467729985464,16.688680390670537,1.5665352570022772,1.9802972142274804,19.559456946642133,1.6350760530801531,2.211871098584356,399.9999999999999,1.555977573883494,16.82287613839729,1.5855029226703539,21.78656421173453,1.5519055081119615,0.4233433001140265,16.78370732172397,1.5807345640093509,24.496724301468273,1.5491924780790334,399.9999999999999,1.9438891167458716,-0.39469663866683824,15.743382917579474,24.944460830645298,12.807297850784675,20.5700629305564,15.224189593416796,23.89472429986747,15.931532626420411,26.41985372175912,13.1915441203774,21.817074550107804,15.59918939852104,25.07216183092752,1.370257974834382,1.8575845176564,1.4010223134453592,1.8974201294290334,2.777007885607558,2.1611894309687436,2.562209664932931,17.11190939937983,28.608685366860655,1.335547040769218,1.7980583117309776,1.1831082199753298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.656078125887614,-0.32186927086292044,0.5942088226648596,-5.503275698531727,-0.1834425232843909,0.5491924780790334,-13.311319609329463,-0.44371065364431544,0.5665352570022772,-10.440543053357867,-0.3480181017785956,0.6350760530801531,-13.177123861602709,-0.4392374620534236,0.5855029226703539,-8.213435788265471,-0.2737811929421824,0.5519055081119615,-13.21629267827603,-0.44054308927586766,0.5807345640093509,1.5942088226648596,1.5665352570022772,1.6350760530801531,1.5855029226703539,1.5519055081119615,1.5807345640093509,-0.39469663866683824,1.02563480381885,1.2438405614965902,main,0,9,0.0,7.5,1.0,0.05,2000.0,1.0,0.25,0.25,
