gene,corr_zonation,detection_rate
A1cf,0.112272896,0.5583391373476007
A2m,0.004190264,0.00028140675235502273
Aatf,0.0141328825,0.06344315231843987
Abca1,0.0019197067,0.18244303272057014
Abca13,-0.00031029782,0.0012452248791709757
Abca3,-0.0059085144,0.15127723489725137
Abca4,-0.003385923,0.0007035168808875569
Abca7,-0.014570433,0.036934636246596736
Abca8a,-0.09399811,0.3135856144868196
Abca8b,-0.019233998,0.11897877489570362
Abcb1a,0.0022787722,0.01484420618672745
Abcb1b,0.04295063,0.0029899467437721166
Abcb4,0.19442792,0.5469703045524578
Abcb8,-0.0059855743,0.025031130621979276
Abcc1,-0.014300674,0.005698486735189211
Abcc6,0.028638598,0.23823895654376226
Abcc8,-0.0007122008,8.442202570650683e-05
Abcc9,0.04599506,0.04411050843164982
Abcd2,-0.047881834,0.05169442040761768
Abcd3,-0.007689024,0.6904666427470927
Abcf1,-0.00344016,0.11610139085287352
Abcg2,0.043152656,0.18472946258345468
Abcg8,0.054873876,0.19249628894845333
Abhd17c,0.0010402398,0.30070422039776845
Abhd4,-0.0023969945,0.059355719240483176
Abhd5,-0.008825867,0.08449237739459559
Abi1,-0.0062370542,0.11473656810395165
Abi3bp,0.025178097,0.012649233518358272
Abitram,-0.005501712,0.008871347867992093
Abl1,-0.0054402025,0.08442202570650682
Abracl,-0.019598957,0.027584896899601107
Abraxas1,-0.0019014848,0.0062472299022815056
Abraxas2,-0.0065800427,0.07571952188992775
Acaa2,-0.021547051,0.8923900578994393
Acaca,-0.09878258,0.2603645624476759
Acacb,-0.044335835,0.13644006387933277
Acan,8.988445e-05,0.00014070337617751137
Ace,-0.0073411255,0.004854266478124143
Ace2,-0.02938513,0.0036864284558507984
Acer1,0.00041676007,0.00010552753213313353
Ache,-0.007326545,0.005705521903998086
Ackr1,-0.017791059,0.010440190512371344
Ackr2,0.0070402417,0.0013507524113041092
Ackr3,-0.0033225098,0.000914571945153824
Ackr4,0.008068691,0.004748738945991009
Acly,-0.3575877,0.48343569503950246
Acod1,-0.002244741,0.0015618074755703764
Acot6,0.014700244,0.003264318327318264
Acox1,0.121060535,0.9697206334465995
Acp2,0.0036998175,0.10915767923851333
Acp5,-0.06341393,0.25574949170905353
Acr,-0.0023851783,0.0002743715835461472
Acsl1,0.035805207,0.7969931688510866
Acsl4,0.0039373306,0.1813596167240033
Acsl6,0.011411954,0.000865325763491695
Acss1,-0.0025147756,0.0020190934481472884
Acss2,-0.075163685,0.2896660405366427
Acss3,-0.023713088,0.11285817803198188
Acta2,0.008446418,0.020254251000752763
Actc1,-0.005813569,0.0010200994772869576
Actg2,0.0067041903,0.003229142483273886
Actl6a,0.0016536525,0.04769140935536748
Actl6b,-0.0023286052,0.0001618088826041381
Actn1,-0.041084446,0.07066827068515509
Actn2,0.0054451097,0.001779897708645519
Actr1a,0.00084093824,0.07216676164144559
Actr1b,0.012966456,0.129981778912785
Actr2,-0.04182783,0.35771019325608716
Acvr1,0.014503463,0.033480368361438834
Acvr1b,-0.003908012,0.018551740149004875
Acvr1c,0.0125037795,0.0002462309083106449
Acvr2a,0.00065077475,0.09725417361389586
Acvr2b,0.019597558,0.021731636450616633
Acvrl1,-0.01946976,0.012037173831986098
Ada,-0.0012701281,0.010468331187606846
Adad1,-0.0022137894,0.00014773854498638695
Adad2,0.001265211,0.0001336682073686358
Adam10,-0.013802803,0.12968630182281224
Adam17,-0.0053543136,0.029132634037553732
Adam18,0.00183387,0.000309547427590525
Adam28,0.0018927326,0.0004291452973414097
Adamdec1,-0.02430113,0.007619087820012241
Adamts1,-0.06219922,0.08012353756428385
Adamts13,-0.023516696,0.02027535650717939
Adamts14,-0.0107465945,0.004460297024827111
Adamts18,-0.0053649168,0.00017587922022188921
Adamts20,0.0033539021,0.0001336682073686358
Adamts3,0.0030353377,0.0019135659160141548
Adamts4,-0.006677691,0.002040198954573915
Adamts5,0.025648884,0.004347734323885102
Adamts6,0.0013126644,0.006071350682059616
Adamts9,-0.012464672,0.01642008399991558
Adar,-0.014150198,0.0327698163117424
Adarb1,-0.013939711,0.025882386047853218
Adcy1,-0.00078919943,0.0008442202570650683
